,Date,Open,High,Low,Close
1763,2020-12-14,16.83,17.46,16.5,17.2
1762,2020-12-11,17.45,17.49,16.86,17.03
1761,2020-12-10,16.35,17.38,16.07,17.25
1760,2020-12-09,16.18,17.01,15.8674,16.36
1759,2020-12-08,16.2,16.73,15.926,16.2
1758,2020-12-07,16.5,16.55,15.71,16.35
1757,2020-12-04,16.16,16.64,16.16,16.43
1756,2020-12-03,15.42,16.16,15.42,16.02
1755,2020-12-02,15.44,15.89,15.11,15.32
1754,2020-12-01,17.5,17.5,15.38,15.45
1753,2020-11-30,17.4,17.5,16.52,17.14
1752,2020-11-27,16.23,17.01,15.99,16.89
1751,2020-11-25,15.84,16.52,15.33,16.22
1750,2020-11-24,15.82,16.36,15.45,15.87
1749,2020-11-23,15.19,15.6,14.8,15.52
1748,2020-11-20,14.9,15.25,14.62,15.16
1747,2020-11-19,14.22,15.32,14.02,15.08
1746,2020-11-18,14.06,15.07,14.06,14.31
1745,2020-11-17,13.38,14.298,13.02,14.02
1744,2020-11-16,13.32,13.63,12.66,13.55
1743,2020-11-13,12.33,13.155,12.33,12.92
1742,2020-11-12,12.39,12.4322,11.94,12.18
1741,2020-11-11,13.38,13.4,12.08,12.59
1740,2020-11-10,13.25,13.36,12.8,13.24
1739,2020-11-09,12.84,13.5436,12.57,13.08
1738,2020-11-06,11.83,12.43,11.81,12.03
1737,2020-11-05,11.55,11.94,11.4,11.62
1736,2020-11-04,11.21,11.81,11.02,11.42
1735,2020-11-03,11.06,11.56,10.8,11.48
1734,2020-11-02,11.18,11.5621,10.98,11.08
1733,2020-10-30,11.13,11.275,10.7,10.98
1732,2020-10-29,11.02,11.435,10.74,11.01
1731,2020-10-28,11.84,11.84,11.06,11.18
1730,2020-10-27,13.76,14.08,12.0,12.11
1729,2020-10-26,13.76,14.24,13.52,14.2
1728,2020-10-23,14.24,14.27,13.75,14.18
1727,2020-10-22,14.56,14.88,14.08,14.12
1726,2020-10-21,14.87,15.36,14.34,14.74
1725,2020-10-20,13.51,14.99,13.51,14.92
1724,2020-10-19,14.95,15.225,13.61,13.65
1723,2020-10-16,16.51,16.55,14.98,15.06
1722,2020-10-15,14.55,16.79,14.43,16.58
1721,2020-10-14,14.36,15.1104,14.36,14.73
1720,2020-10-13,14.39,14.39,13.97,14.27
1719,2020-10-12,15.47,15.47,14.155,14.39
1718,2020-10-09,15.89,15.89,15.0659,15.54
1717,2020-10-08,14.91,15.9,14.91,15.67
1716,2020-10-07,15.09,15.38,14.56,14.81
1715,2020-10-06,16.11,16.11,14.99,15.04
1714,2020-10-05,15.7,16.3,15.63,15.79
1713,2020-10-02,14.47,15.53,14.2002,15.41
1712,2020-10-01,14.38,14.91,13.96,14.88
1711,2020-09-30,13.95,14.35,13.85,14.16
1710,2020-09-29,13.58,14.21,13.27,13.76
1709,2020-09-28,13.2,13.6,12.75,13.37
1708,2020-09-25,12.48,13.62,12.4,12.87
1707,2020-09-24,11.6,12.76,10.85,12.49
1706,2020-09-23,12.62,12.67,11.67,11.69
1705,2020-09-22,12.86,13.12,11.72,12.14
1704,2020-09-21,13.71,13.71,12.76,12.83
1703,2020-09-18,14.55,14.86,14.08,14.22
1702,2020-09-17,13.91,14.89,13.8515,14.41
1701,2020-09-16,13.21,14.1,13.11,14.1
1700,2020-09-15,13.11,13.47,13.02,13.22
1699,2020-09-14,13.27,13.42,12.77,13.11
1698,2020-09-11,12.9,13.47,12.832,13.06
1697,2020-09-10,12.57,13.0,12.55,12.79
1696,2020-09-09,12.66,12.66,12.2699,12.52
1695,2020-09-08,12.9,12.9765,12.54,12.58
1694,2020-09-04,12.75,13.29,12.32,13.0
1693,2020-09-03,12.9,13.18,12.37,12.58
1692,2020-09-02,13.73,13.8,12.815,12.96
1691,2020-09-01,13.76,14.12,13.65,13.73
1690,2020-08-31,14.32,14.32,13.8669,13.97
1689,2020-08-28,13.84,14.44,13.66,14.31
1688,2020-08-27,14.62,14.71,13.7,13.71
1687,2020-08-26,15.25,15.32,14.63,14.66
1686,2020-08-25,14.9,15.18,14.65,15.13
1685,2020-08-24,14.57,15.02,14.4,14.92
1684,2020-08-21,14.57,14.65,14.21,14.45
1683,2020-08-20,14.44,14.73,14.225,14.57
1682,2020-08-19,16.02,16.2299,14.61,14.85
1681,2020-08-18,16.41,16.5,16.05,16.21
1680,2020-08-17,16.24,16.57,15.68,16.57
1679,2020-08-14,15.68,16.97,15.24,16.11
1678,2020-08-13,14.85,15.98,14.8,15.68
1677,2020-08-12,14.95,15.2326,14.47,14.85
1676,2020-08-11,13.9,14.89,13.65,14.66
1675,2020-08-10,13.0,14.18,13.0,13.55
1674,2020-08-07,13.13,13.21,12.57,12.95
1673,2020-08-06,12.85,13.82,12.85,13.22
1672,2020-08-05,13.0,13.31,12.5,12.91
1671,2020-08-04,14.15,14.2,12.62,12.82
1670,2020-08-03,14.66,15.16,14.32,14.67
1669,2020-07-31,14.79,14.95,14.17,14.66
1668,2020-07-30,14.9,15.195,14.71,15.04
1667,2020-07-29,14.19,15.4,14.19,15.2
1666,2020-07-28,13.87,14.27,13.68,13.98
1665,2020-07-27,14.15,14.28,13.76,14.13
1664,2020-07-24,13.61,14.36,13.61,14.21
1663,2020-07-23,13.35,13.85,13.22,13.79
