,Date,Open,High,Low,Close
5314,2020-12-14,32.32,32.42,31.68,31.72
5313,2020-12-11,31.89,32.21,31.81,32.13
5312,2020-12-10,32.3,32.48,31.87,32.27
5311,2020-12-09,32.9,33.15,32.25,32.66
5310,2020-12-08,32.79,33.3,32.49,32.65
5309,2020-12-07,33.36,33.36,32.64,33.02
5308,2020-12-04,32.63,33.4,32.31,33.25
5307,2020-12-03,32.47,32.71,32.1506,32.26
5306,2020-12-02,32.26,32.6977,31.97,32.55
5305,2020-12-01,32.38,32.61,32.07,32.31
5304,2020-11-30,32.38,32.425,31.62,31.815
5303,2020-11-27,32.75,32.76,32.31,32.57
5302,2020-11-25,33.42,33.68,32.67,32.8
5301,2020-11-24,33.22,33.895,32.98,33.65
5300,2020-11-23,32.12,32.75,31.22,32.72
5299,2020-11-20,31.59,32.11,31.28,31.7
5298,2020-11-19,31.18,31.86,30.94,31.82
5297,2020-11-18,32.71,32.93,31.94,31.96
5296,2020-11-17,32.38,32.69,31.18,32.64
5295,2020-11-16,32.86,33.33,32.71,32.93
5294,2020-11-13,31.29,32.39,31.19,32.26
5293,2020-11-12,30.79,31.21,30.35,30.84
5292,2020-11-11,30.9694,32.472,30.61,31.06
5291,2020-11-10,28.65,29.92,28.65,29.75
5290,2020-11-09,27.82,29.31,27.485,28.71
5289,2020-11-06,26.34,26.78,26.22,26.7
5288,2020-11-05,25.34,26.29,25.1353,26.24
5287,2020-11-04,25.07,25.32,24.65,25.11
5286,2020-11-03,25.53,25.71,25.04,25.46
5285,2020-11-02,24.85,25.06,24.34,24.88
5284,2020-10-30,24.33,24.75,24.14,24.44
5283,2020-10-29,24.01,24.78,23.8,24.55
5282,2020-10-28,24.42,25.29,24.1,24.17
5281,2020-10-27,25.22,25.76,24.95,25.16
5280,2020-10-26,26.15,26.15,24.91,25.25
5279,2020-10-23,26.27,26.535,25.9,26.43
5278,2020-10-22,26.22,26.5,25.76,26.15
5277,2020-10-21,26.69,27.05,26.08,26.08
5276,2020-10-20,26.99,27.26,26.5,26.54
