,Date,Open,High,Low,Close
315,2020-12-14,39.59,39.98,35.0,35.71
314,2020-12-11,39.32,40.0,36.78,37.91
313,2020-12-10,39.22,42.6,38.17,41.9
312,2020-12-09,40.0,44.41,36.15,43.0
311,2020-12-08,38.35,38.98,35.44,38.56
310,2020-12-07,35.0,37.59,34.15,36.37
309,2020-12-04,32.0,34.0,30.41,32.9
308,2020-12-03,31.39,32.9,30.09,32.56
307,2020-12-02,26.14,31.79,24.56,29.5
306,2020-12-01,35.36,35.48,29.0,29.35
305,2020-11-30,39.1,39.1167,32.56,33.61
304,2020-11-27,36.77,37.75,36.0,37.13
303,2020-11-25,34.69,36.67,33.1,34.94
302,2020-11-24,39.62,42.3,33.6,36.88
301,2020-11-23,29.83,35.88,29.53,34.08
300,2020-11-20,25.96,28.7,25.51,26.16
299,2020-11-19,20.15,25.43,19.87,24.7
298,2020-11-18,20.64,20.66,19.5,19.68
297,2020-11-17,18.51,20.99,17.99,19.48
296,2020-11-16,17.2,18.64,16.8455,18.2
295,2020-11-13,16.9,17.48,15.87,16.55
294,2020-11-12,16.9,17.1,16.1,16.37
293,2020-11-11,17.03,17.15,16.28,17.0
292,2020-11-10,17.32,17.37,15.34,16.96
291,2020-11-09,17.85,18.0,16.6,16.88
290,2020-11-06,15.6,16.86,15.58,16.11
289,2020-11-05,14.79,15.4,14.77,15.33
288,2020-11-04,15.12,15.2,13.15,14.2
287,2020-11-03,14.18,15.3999,13.875,14.9
286,2020-11-02,13.8,14.18,13.01,13.71
285,2020-10-30,13.6,13.6001,12.8,13.23
284,2020-10-29,13.44,14.02,13.05,13.6
283,2020-10-28,13.5,13.79,12.75,13.32
282,2020-10-27,14.2,14.55,13.91,13.95
281,2020-10-26,15.6,15.6,14.1,14.16
280,2020-10-23,16.38,16.38,15.12,15.61
279,2020-10-22,16.15,16.51,15.4,15.94
278,2020-10-21,16.5,16.87,16.0,16.2
277,2020-10-20,16.5,17.5992,16.0,16.04
276,2020-10-19,15.71,16.49,15.55,16.09
275,2020-10-16,15.39,16.15,15.08,15.21
274,2020-10-15,14.46,15.2,14.45,15.14
273,2020-10-14,14.54,14.85,13.945,14.85
272,2020-10-13,15.0,15.0399,14.11,14.42
271,2020-10-12,15.0,15.6,14.85,15.05
270,2020-10-09,15.1,15.14,14.35,14.66
269,2020-10-08,13.98,15.38,13.7512,14.72
268,2020-10-07,14.17,14.39,13.25,13.71
267,2020-10-06,14.63,14.63,13.66,13.9
266,2020-10-05,15.47,15.4935,14.5,14.96
265,2020-10-02,14.45,15.39,14.36,15.39
264,2020-10-01,16.0,16.1,15.21,15.38
263,2020-09-30,15.54,16.24,15.05,15.6
262,2020-09-29,15.75,15.795,14.8,15.21
261,2020-09-28,15.21,16.45,15.2,15.53
260,2020-09-25,12.72,13.94,12.64,13.84
259,2020-09-24,12.33,13.16,11.11,12.46
258,2020-09-23,13.1,13.15,11.9,12.18
257,2020-09-22,13.75,13.9,13.11,13.19
256,2020-09-21,14.17,14.23,13.2,13.79
255,2020-09-18,14.0,14.25,13.55,14.25
254,2020-09-17,13.93,14.35,13.31,14.25
253,2020-09-16,10.42,13.7099,10.27,13.3
252,2020-09-15,10.45,10.46,10.4101,10.45
251,2020-09-14,10.32,10.4,10.25,10.37
250,2020-09-11,10.4,10.4,10.27,10.35
249,2020-09-10,10.4,10.4,10.36,10.38
248,2020-09-09,10.4,10.4,10.35,10.4
247,2020-09-08,10.35,10.45,10.2901,10.35
246,2020-09-04,10.19,10.36,10.19,10.35
245,2020-09-03,10.3,10.3,10.2,10.265
244,2020-09-02,10.25,10.25,10.1,10.25
243,2020-09-01,10.1,10.2,10.1,10.2
242,2020-08-31,10.16,10.205,10.05,10.2
241,2020-08-28,10.21,10.2399,10.17,10.2
240,2020-08-27,10.24,10.27,10.18,10.245
239,2020-08-26,10.2,10.25,10.19,10.25
238,2020-08-25,10.25,10.25,10.2,10.24
237,2020-08-24,10.21,10.25,10.15,10.2
236,2020-08-21,10.21,10.21,10.16,10.2
235,2020-08-20,10.19,10.315,10.19,10.25
234,2020-08-19,10.35,10.35,10.19,10.19
233,2020-08-18,10.275,10.35,10.275,10.3
232,2020-08-17,10.36,10.36,10.31,10.35
231,2020-08-14,10.37,10.37,10.2,10.31
230,2020-08-13,10.25,10.35,10.21,10.35
229,2020-08-12,10.2,10.28,10.19,10.2
228,2020-08-11,10.24,10.24,10.24,10.24
227,2020-08-10,10.35,10.35,10.21,10.21
226,2020-08-07,10.36,10.36,10.28,10.28
225,2020-08-06,10.36,10.36,10.3198,10.35
224,2020-08-05,10.32,10.36,10.32,10.34
223,2020-08-04,10.35,10.38,10.24,10.32
222,2020-08-03,10.2,10.33,10.1724,10.33
221,2020-07-31,10.16,10.2591,10.1392,10.2
220,2020-07-30,10.23,10.29,10.21,10.25
219,2020-07-29,10.24,10.25,10.2,10.2
218,2020-07-28,10.21,10.33,10.21,10.28
217,2020-07-27,10.2,10.31,10.15,10.3
