,Date,Open,High,Low,Close
4231,2020-12-14,11.78,11.81,11.66,11.69
4230,2020-12-11,11.64,11.73,11.6,11.69
4229,2020-12-10,11.69,11.78,11.65,11.69
4228,2020-12-09,11.87,11.8976,11.7,11.76
4227,2020-12-08,11.82,11.9,11.79,11.84
4226,2020-12-07,11.8,11.8623,11.78,11.83
4225,2020-12-04,11.69,11.85,11.69,11.83
4224,2020-12-03,11.6,11.87,11.5454,11.68
4223,2020-12-02,11.5,11.62,11.44,11.59
4222,2020-12-01,11.44,11.56,11.41,11.51
4221,2020-11-30,11.34,11.39,11.27,11.33
4220,2020-11-27,11.45,11.46,11.38,11.39
4219,2020-11-25,11.38,11.39,11.32,11.36
4218,2020-11-24,11.31,11.45,11.31,11.4
4217,2020-11-23,11.14,11.2452,11.1201,11.2
4216,2020-11-20,11.1,11.19,11.07,11.07
4215,2020-11-19,10.94,11.1498,10.94,11.12
4214,2020-11-18,11.08,11.26,11.05,11.09
4213,2020-11-17,10.96,11.11,10.92,11.04
4212,2020-11-16,10.86,11.09,10.86,11.04
4211,2020-11-13,10.69,10.85,10.69,10.81
4210,2020-11-12,10.78,10.78,10.65,10.66
4209,2020-11-11,10.76,10.82,10.73,10.78
4208,2020-11-10,10.74,10.77,10.59,10.76
4207,2020-11-09,10.77,10.99,10.72,10.76
4206,2020-11-06,10.55,10.55,10.44,10.45
4205,2020-11-05,10.35,10.59,10.35,10.51
4204,2020-11-04,10.01,10.28,10.01,10.19
4203,2020-11-03,9.87,10.009,9.851,9.95
4202,2020-11-02,9.78,9.9289,9.76,9.76
4201,2020-10-30,9.83,9.83,9.69,9.7
4200,2020-10-29,9.78,9.92,9.7695,9.87
4199,2020-10-28,10.0,10.04,9.79,9.79
4198,2020-10-27,10.23,10.3195,10.1801,10.21
4197,2020-10-26,10.36,10.3801,10.2,10.24
4196,2020-10-23,10.53,10.53,10.42,10.43
4195,2020-10-22,10.4,10.49,10.33,10.49
4194,2020-10-21,10.33,10.44,10.33,10.36
4193,2020-10-20,10.34,10.5,10.34,10.38
4192,2020-10-19,10.56,10.63,10.3,10.3
4191,2020-10-16,10.62,10.6628,10.54,10.54
4190,2020-10-15,10.4,10.62,10.28,10.62
4189,2020-10-14,10.66,10.78,10.65,10.71
4188,2020-10-13,10.69,10.69,10.58,10.66
4187,2020-10-12,10.61,10.73,10.5978,10.73
4186,2020-10-09,10.65,10.659,10.5,10.61
4185,2020-10-08,10.57,10.61,10.5,10.61
4184,2020-10-07,10.38,10.51,10.2901,10.51
4183,2020-10-06,10.46,10.53,10.31,10.33
4182,2020-10-05,10.38,10.48,10.36,10.46
4181,2020-10-02,10.09,10.36,10.06,10.36
4180,2020-10-01,10.31,10.38,10.13,10.19
4179,2020-09-30,10.09,10.32,10.09,10.2
4178,2020-09-29,10.16,10.176,10.08,10.12
4177,2020-09-28,10.11,10.25,10.11,10.11
4176,2020-09-25,9.88,10.01,9.79,10.01
4175,2020-09-24,9.89,9.98,9.782,9.94
4174,2020-09-23,10.2,10.264,9.89,9.92
4173,2020-09-22,10.31,10.36,10.13,10.19
4172,2020-09-21,10.69,10.71,10.4,10.61
