,Date,Open,High,Low,Close
4065,2020-12-14,11.27,11.29,10.8,10.88
4064,2020-12-11,10.78,11.12,10.71,11.03
4063,2020-12-10,10.52,10.89,10.34,10.82
4062,2020-12-09,11.04,11.2,10.92,11.04
4061,2020-12-08,10.74,11.055,10.74,10.99
4060,2020-12-07,11.28,11.48,10.79,10.84
4059,2020-12-04,11.15,11.49,11.15,11.34
4058,2020-12-03,11.12,11.34,10.945,11.0
4057,2020-12-02,10.55,11.15,10.37,11.06
4056,2020-12-01,10.75,10.76,10.55,10.63
4055,2020-11-30,10.76,10.84,10.5,10.5
4054,2020-11-27,10.86,10.9,10.72,10.85
4053,2020-11-25,10.73,10.95,10.525,10.92
4052,2020-11-24,10.84,11.08,10.725,10.79
4051,2020-11-23,10.2,10.67,10.03,10.58
4050,2020-11-20,10.74,10.74,10.25,10.33
4049,2020-11-19,10.33,10.85,10.15,10.8
4048,2020-11-18,10.73,10.82,10.42,10.43
4047,2020-11-17,10.0,10.82,9.96,10.71
4046,2020-11-16,10.43,10.52,9.885,10.15
4045,2020-11-13,9.57,9.99,9.42,9.94
4044,2020-11-12,9.61,9.74,9.37,9.49
4043,2020-11-11,10.0,10.11,9.57,9.8
4042,2020-11-10,10.01,10.35,9.96,10.01
4041,2020-11-09,9.08,10.81,9.08,9.86
4040,2020-11-06,8.26,8.405,7.85,7.96
4039,2020-11-05,8.06,8.29,7.94,8.21
4038,2020-11-04,7.97,8.12,7.7,8.05
4037,2020-11-03,7.78,8.17,7.78,8.09
4036,2020-11-02,7.52,7.66,7.355,7.66
4035,2020-10-30,7.46,7.61,7.3,7.42
4034,2020-10-29,7.25,7.51,7.12,7.49
4033,2020-10-28,7.46,7.58,7.25,7.27
4032,2020-10-27,7.9,8.02,7.64,7.64
4031,2020-10-26,8.17,8.24,7.86,7.95
4030,2020-10-23,8.34,8.5,8.28,8.28
4029,2020-10-22,7.98,8.28,7.98,8.24
4028,2020-10-21,7.71,7.98,7.61,7.98
4027,2020-10-20,7.64,7.845,7.57,7.74
4026,2020-10-19,7.67,7.745,7.48,7.55
4025,2020-10-16,7.67,7.72,7.55,7.65
4024,2020-10-15,7.34,7.8,7.26,7.68
4023,2020-10-14,7.61,7.715,7.44,7.46
4022,2020-10-13,7.96,7.96,7.59,7.66
4021,2020-10-12,8.15,8.18,8.02,8.05
4020,2020-10-09,8.31,8.44,8.135,8.19
4019,2020-10-08,8.35,8.37,8.12,8.27
4018,2020-10-07,8.21,8.28,8.14,8.23
4017,2020-10-06,8.26,8.37,8.115,8.15
4016,2020-10-05,8.34,8.37,8.06,8.18
4015,2020-10-02,7.82,8.29,7.78,8.25
4014,2020-10-01,8.02,8.09,7.83,8.08
4013,2020-09-30,7.98,8.17,7.81,7.94
4012,2020-09-29,8.33,8.33,7.835,7.96
4011,2020-09-28,7.92,8.14,7.83,8.04
4010,2020-09-25,7.45,7.8,7.43,7.76
4009,2020-09-24,7.27,7.59,7.185,7.48
4008,2020-09-23,7.69,7.925,7.26,7.3
4007,2020-09-22,7.63,7.725,7.5,7.54
4006,2020-09-21,7.91,7.91,7.51,7.6
4005,2020-09-18,8.45,8.45,8.11,8.11
4004,2020-09-17,8.54,8.67,8.385,8.41
4003,2020-09-16,8.64,8.83,8.365,8.65
4002,2020-09-15,8.36,8.68,8.34,8.61
4001,2020-09-14,8.07,8.35,7.99,8.32
4000,2020-09-11,8.0,8.02,7.765,7.94
3999,2020-09-10,8.19,8.25,7.99,8.0
3998,2020-09-09,8.23,8.23,8.0,8.13
3997,2020-09-08,8.5,8.51,8.17,8.17
3996,2020-09-04,8.51,8.585,8.28,8.57
3995,2020-09-03,8.36,8.65,8.34,8.37
3994,2020-09-02,8.33,8.435,8.2,8.33
3993,2020-09-01,8.26,8.485,8.12,8.38
3992,2020-08-31,8.59,8.65,8.27,8.33
3991,2020-08-28,8.585,8.69,8.42,8.62
3990,2020-08-27,8.05,8.59,8.05,8.49
3989,2020-08-26,8.06,8.11,7.945,8.01
3988,2020-08-25,8.17,8.22,7.965,8.1
3987,2020-08-24,7.79,8.1,7.68,8.09
3986,2020-08-21,7.84,7.925,7.68,7.75
3985,2020-08-20,7.8,8.03,7.7502,7.87
3984,2020-08-19,7.91,8.04,7.795,7.87
3983,2020-08-18,8.05,8.07,7.82,7.9
3982,2020-08-17,8.35,8.35,8.03,8.1
3981,2020-08-14,8.29,8.46,8.26,8.31
3980,2020-08-13,8.65,8.81,8.36,8.38
3979,2020-08-12,8.7,8.805,8.545,8.7
3978,2020-08-11,8.63,8.88,8.62,8.62
3977,2020-08-10,8.32,8.49,8.12,8.45
3976,2020-08-07,7.59,8.13,7.555,8.08
3975,2020-08-06,7.59,7.7,7.56,7.65
3974,2020-08-05,7.74,7.8,7.4,7.6
3973,2020-08-04,7.13,7.7162,7.13,7.66
3972,2020-08-03,7.42,7.42,7.245,7.3
3971,2020-07-31,7.48,7.56,7.15,7.48
3970,2020-07-30,7.45,7.51,7.31,7.51
3969,2020-07-29,7.64,7.68,7.36,7.63
3968,2020-07-28,7.25,7.44,7.21,7.39
3967,2020-07-27,7.2,7.37,7.19,7.3
3966,2020-07-24,7.01,7.34,7.0,7.27
3965,2020-07-23,7.39,7.48,7.22,7.42
3964,2020-07-22,7.39,7.51,7.31,7.5
3963,2020-07-21,7.38,7.53,7.35,7.47
3962,2020-07-20,7.46,7.52,7.19,7.29
3961,2020-07-17,7.87,7.87,7.52,7.53
3960,2020-07-16,7.96,7.97,7.77,7.86
3959,2020-07-15,7.7,8.19,7.68,8.08
3958,2020-07-14,7.8,7.81,7.48,7.49
3957,2020-07-13,7.87,8.1,7.72,7.84
3956,2020-07-10,7.61,7.83,7.55,7.8
3955,2020-07-09,7.71,7.77,7.38,7.6
3954,2020-07-08,7.73,7.89,7.61,7.73
3953,2020-07-07,7.92,7.94,7.68,7.73
3952,2020-07-06,8.2,8.31,7.89,8.06
3951,2020-07-02,8.24,8.32,7.97,7.98
3950,2020-07-01,8.2,8.54,7.98,8.0
3949,2020-06-30,8.2,8.29,8.04,8.15
3948,2020-06-29,8.01,8.35,7.93,8.16
3947,2020-06-26,8.0,8.13,7.88,7.94
3946,2020-06-25,8.12,8.255,7.92,8.1
3945,2020-06-24,8.26,8.33,7.915,8.23
3944,2020-06-23,8.65,8.71,8.34,8.48
3943,2020-06-22,8.64,8.73,8.34,8.54
3942,2020-06-19,8.85,9.03,8.64,8.69
3941,2020-06-18,8.95,9.01,8.52,8.73
3940,2020-06-17,9.7,9.77,9.14,9.17
3939,2020-06-16,9.99,10.06,9.41,9.67
3938,2020-06-15,9.28,9.62,9.16,9.48
3937,2020-06-12,9.84,9.87,9.315,9.76
3936,2020-06-11,9.21,9.72,8.93,9.37
3935,2020-06-10,10.46,10.64,9.655,10.23
3934,2020-06-09,10.22,10.665,10.015,10.65
3933,2020-06-08,10.16,10.63,10.16,10.54
3932,2020-06-05,10.35,10.805,9.755,9.86
3931,2020-06-04,9.5,9.75,9.31,9.69
3930,2020-06-03,9.27,9.67,9.05,9.54
3929,2020-06-02,9.1,9.23,8.945,9.06
3928,2020-06-01,8.82,9.19,8.75,8.96
3927,2020-05-29,8.84,9.045,8.69,8.85
3926,2020-05-28,9.43,9.51,8.89,9.01
3925,2020-05-27,9.39,9.61,9.14,9.29
3924,2020-05-26,9.03,9.18,8.98,9.05
3923,2020-05-22,8.76,8.79,8.365,8.53
3922,2020-05-21,8.58,8.8,8.57,8.68
3921,2020-05-20,8.6,8.66,8.43,8.61
3920,2020-05-19,8.45,8.7,8.26,8.44
3919,2020-05-18,7.74,8.56,7.74,8.53
3918,2020-05-15,7.29,7.47,7.03,7.39
3917,2020-05-14,6.87,7.35,6.68,7.34
3916,2020-05-13,7.24,7.27,6.79,7.04
3915,2020-05-12,7.87,8.08,7.37,7.4
3914,2020-05-11,8.28,8.37,7.82,7.85
3913,2020-05-08,8.86,9.0,8.135,8.47
3912,2020-05-07,8.28,8.78,8.18,8.67
3911,2020-05-06,8.6,8.73,8.09,8.11
3910,2020-05-05,8.88,9.05,8.53,8.57
3909,2020-05-04,8.45,8.775,8.44,8.68
3908,2020-05-01,8.88,9.02,8.645,8.73
3907,2020-04-30,9.28,9.28,9.02,9.19
3906,2020-04-29,9.25,9.96,9.22,9.6
3905,2020-04-28,9.24,9.365,8.83,9.02
3904,2020-04-27,8.45,8.995,8.38,8.94
3903,2020-04-24,8.23,8.49,8.08,8.37
3902,2020-04-23,8.03,8.47,7.99,8.17
3901,2020-04-22,8.15,8.29,7.94,8.0
3900,2020-04-21,7.9,8.23,7.9,7.99
3899,2020-04-20,8.41,8.57,8.23,8.26
3898,2020-04-17,8.65,8.95,8.53,8.65
3897,2020-04-16,8.49,8.63,8.1,8.34
3896,2020-04-15,8.41,8.73,8.05,8.53
3895,2020-04-14,8.8,9.04,8.49,8.75
3894,2020-04-13,8.89,8.92,8.47,8.61
3893,2020-04-09,9.14,9.52,8.87,8.93
3892,2020-04-08,8.32,8.86,8.17,8.75
3891,2020-04-07,9.0,9.3525,7.99,8.15
3890,2020-04-06,8.29,8.79,8.24,8.39
3889,2020-04-03,8.0,8.24,7.52,7.77
3888,2020-04-02,8.12,8.66,7.88,8.09
3887,2020-04-01,8.16,8.39,7.82,8.38
3886,2020-03-31,8.67,9.275,8.13,8.71
3885,2020-03-30,8.74,8.86,8.135,8.67
3884,2020-03-27,8.7,9.105,8.135,8.83
3883,2020-03-26,8.97,9.54,8.77,9.14
3882,2020-03-25,8.34,9.0,7.64,8.82
3881,2020-03-24,8.4,8.78,7.85,8.19
3880,2020-03-23,7.44,7.94,7.22,7.84
3879,2020-03-20,7.31,8.13,7.15,7.48
3878,2020-03-19,6.86,7.59,6.42,7.19
3877,2020-03-18,7.54,7.73,5.75,6.99
3876,2020-03-17,8.0,8.12,6.865,8.12
