,Date,Open,High,Low,Close
722,2020-12-14,9.4621,9.4621,9.01,9.15
721,2020-12-11,8.8,9.24,8.75,9.21
720,2020-12-10,9.345,9.345,8.76,8.97
719,2020-12-09,10.02,10.1399,9.01,9.205
718,2020-12-08,9.4,10.15,9.383,9.9938
717,2020-12-07,9.54,9.54,9.36,9.38
716,2020-12-04,9.16,9.5828,9.16,9.4
715,2020-12-03,9.24,9.65,8.99,9.04
714,2020-12-02,9.335,9.335,9.05,9.17
713,2020-12-01,8.91,9.3999,8.91,9.202
712,2020-11-30,8.5,9.05,8.45,9.0
711,2020-11-27,8.34,8.378,8.27,8.27
710,2020-11-25,8.27,8.6499,8.2,8.41
709,2020-11-24,8.1,8.15,7.95,8.04
708,2020-11-23,8.05,8.1,7.93,8.02
707,2020-11-20,8.07,8.07,7.93,8.04
706,2020-11-19,8.185,8.185,7.93,8.04
705,2020-11-18,8.07,8.155,7.77,7.9
704,2020-11-17,8.25,8.37,7.89,7.89
703,2020-11-16,8.5,8.5,8.25,8.26
702,2020-11-13,8.61,8.76,8.51,8.69
701,2020-11-12,8.55,8.7286,8.5,8.52
700,2020-11-11,7.855,9.12,7.25,8.53
699,2020-11-10,8.11,8.1812,7.96,8.08
698,2020-11-09,8.51,8.51,8.01,8.15
697,2020-11-06,7.72,8.0531,7.72,7.99
696,2020-11-05,8.13,8.13,7.71,8.08
695,2020-11-04,7.79,7.995,7.71,7.78
694,2020-11-03,8.1605,8.1998,7.72,8.0
693,2020-11-02,8.02,8.1,7.685,8.1
692,2020-10-30,8.01,8.165,7.8,8.05
691,2020-10-29,8.02,8.24,8.0,8.04
690,2020-10-28,8.08,8.12,7.8,8.09
689,2020-10-27,8.2863,8.3199,8.16,8.3199
688,2020-10-26,8.22,8.55,8.04,8.47
687,2020-10-23,8.37,8.4282,8.25,8.42
686,2020-10-22,8.5697,8.7,8.36,8.54
685,2020-10-21,8.325,8.6585,8.18,8.54
684,2020-10-20,8.245,8.27,8.05,8.18
683,2020-10-19,8.33,8.33,8.1,8.12
682,2020-10-16,8.2,8.33,8.2,8.2
681,2020-10-15,7.86,8.2017,7.86,8.2017
680,2020-10-14,8.9,8.9,7.74,7.82
679,2020-10-13,7.49,8.7,7.4222,8.52
678,2020-10-12,7.44,7.44,7.37,7.44
677,2020-10-09,7.36,7.5449,7.2,7.52
676,2020-10-08,7.35,7.55,7.31,7.35
675,2020-10-07,7.23,7.34,7.18,7.34
674,2020-10-06,7.2767,7.4468,7.1,7.3
673,2020-10-05,7.15,7.35,7.1,7.275
672,2020-10-02,7.1,7.15,7.06,7.15
671,2020-10-01,7.33,7.33,7.06,7.11
670,2020-09-30,7.18,7.25,7.07,7.24
669,2020-09-29,7.24,7.3716,7.11,7.24
668,2020-09-28,7.3,7.4408,7.05,7.3062
667,2020-09-25,7.1,7.32,7.1,7.29
666,2020-09-24,7.12,7.37,7.06,7.15
665,2020-09-23,7.35,7.42,7.121,7.17
664,2020-09-22,7.28,7.4742,7.27,7.35
663,2020-09-21,7.46,7.47,7.275,7.31
662,2020-09-18,7.62,7.82,7.3,7.53
661,2020-09-17,7.5135,8.06,7.51,7.75
660,2020-09-16,7.55,7.8,7.55,7.79
659,2020-09-15,7.49,7.64,7.39,7.55
658,2020-09-14,7.55,7.79,7.28,7.49
657,2020-09-11,7.79,7.8,7.0,7.58
656,2020-09-10,7.605,7.605,7.545,7.58
655,2020-09-09,7.62,7.8,7.4606,7.65
654,2020-09-08,7.43,7.67,7.3,7.67
653,2020-09-04,7.58,7.58,7.4,7.52
652,2020-09-03,7.72,7.89,7.6073,7.67
651,2020-09-02,7.78,8.09,7.65,8.09
650,2020-09-01,7.78,7.8899,7.51,7.51
649,2020-08-31,7.81,7.93,7.6949,7.89
648,2020-08-28,7.58,7.83,7.55,7.81
647,2020-08-27,7.54,7.87,7.5,7.5
646,2020-08-26,7.81,7.8799,7.5,7.6
645,2020-08-25,7.56,7.79,7.5,7.74
644,2020-08-24,8.0,8.0,7.46,7.78
643,2020-08-21,8.06,8.1,7.87,8.0
642,2020-08-20,7.85,8.18,7.7,8.18
641,2020-08-19,7.74,7.92,7.7,7.82
640,2020-08-18,7.78,8.09,7.76,7.89
639,2020-08-17,7.88,7.979,7.619,7.86
638,2020-08-14,7.52,7.98,7.4201,7.97
637,2020-08-13,7.94,8.02,7.5573,7.65
636,2020-08-12,8.42,8.47,7.76,7.95
635,2020-08-11,8.54,8.54,8.05,8.37
634,2020-08-10,7.64,8.53,7.51,7.89
633,2020-08-07,7.396,7.4255,7.27,7.36
632,2020-08-06,7.79,7.8,7.5,7.5
631,2020-08-05,8.0,8.29,7.5811,7.8
630,2020-08-04,7.82,7.91,7.63,7.9
629,2020-08-03,7.32,8.0,7.29,7.79
628,2020-07-31,7.25,7.5,7.25,7.32
627,2020-07-30,7.4,7.4,7.215,7.325
626,2020-07-29,7.45,7.89,7.27,7.4
625,2020-07-28,7.4173,7.4173,7.26,7.4
624,2020-07-27,7.17,7.47,7.16,7.16
623,2020-07-24,7.26,7.26,7.1,7.15
622,2020-07-23,7.54,7.54,7.16,7.31
621,2020-07-22,7.675,7.79,7.2301,7.25
620,2020-07-21,7.33,7.838,7.33,7.58
619,2020-07-20,7.2,7.47,7.2,7.32
618,2020-07-17,7.13,7.47,7.13,7.24
617,2020-07-16,7.85,7.9,7.26,7.26
616,2020-07-15,7.86,8.08,7.76,7.76
615,2020-07-14,7.91,8.11,7.75,7.83
614,2020-07-13,8.2,8.2,7.9,7.99
613,2020-07-10,8.09,8.55,8.04,8.18
612,2020-07-09,8.36,8.36,8.04,8.06
611,2020-07-08,8.56,8.56,8.25,8.37
610,2020-07-07,8.67,8.67,8.31,8.57
609,2020-07-06,9.0,9.0,8.56,8.57
608,2020-07-02,8.7,8.9,8.5,8.69
607,2020-07-01,8.97,8.97,8.66,8.73
606,2020-06-30,8.8,8.98,8.64,8.95
605,2020-06-29,9.0,9.54,8.8,8.81
604,2020-06-26,9.2,9.49,8.65,8.77
603,2020-06-25,9.18,9.3971,9.0137,9.35
602,2020-06-24,9.99,9.99,8.25,8.6449
601,2020-06-23,8.5,9.5,8.3435,9.405
600,2020-06-22,8.098,8.75,8.0,8.44
599,2020-06-19,8.19,8.4,8.182,8.25
598,2020-06-18,8.2001,8.3,8.11,8.2
597,2020-06-17,8.2,8.25,8.01,8.23
596,2020-06-16,8.27,8.27,7.86,8.02
595,2020-06-15,7.82,8.24,7.78,8.05
594,2020-06-12,7.96,8.1535,7.75,8.06
593,2020-06-11,8.27,8.27,7.65,7.9009
592,2020-06-10,8.01,8.1862,7.57,8.07
591,2020-06-09,7.98,8.1993,7.55,7.8
590,2020-06-08,8.39,8.4,7.97,8.19
589,2020-06-05,7.79,8.4,7.79,8.33
588,2020-06-04,7.95,8.0895,7.95,7.98
587,2020-06-03,8.1,8.175,7.97,8.05
586,2020-06-02,8.05,8.1,7.8,8.08
585,2020-06-01,7.58,8.01,7.58,7.91
584,2020-05-29,7.7,8.08,7.7,7.72
583,2020-05-28,8.4,8.4,7.5301,7.65
582,2020-05-27,8.41,8.56,8.0205,8.38
581,2020-05-26,8.49,8.59,8.0,8.29
580,2020-05-22,8.395,8.4,8.0,8.125
579,2020-05-21,8.3,8.3,7.89,8.1
578,2020-05-20,8.72,8.78,8.13,8.15
577,2020-05-19,8.27,8.725,8.085,8.63
576,2020-05-18,7.87,8.4373,7.87,8.2
575,2020-05-15,7.89,7.89,7.45,7.45
574,2020-05-14,8.24,8.44,8.0201,8.03
573,2020-05-13,8.87,8.87,8.24,8.35
572,2020-05-12,8.95,8.95,8.5,8.7
571,2020-05-11,8.7,8.99,8.7,8.95
570,2020-05-08,8.89,8.99,8.5866,8.74
569,2020-05-07,8.69,8.9,8.36,8.89
568,2020-05-06,8.49,8.79,8.375,8.79
567,2020-05-05,8.09,8.4,7.85,8.39
566,2020-05-04,8.06,8.11,7.75,7.75
565,2020-05-01,8.21,8.71,7.8,8.0
564,2020-04-30,8.5,8.72,8.21,8.25
563,2020-04-29,8.68,8.83,8.5,8.5
562,2020-04-28,8.4379,8.64,8.41,8.43
561,2020-04-27,8.34,8.6,8.21,8.43
560,2020-04-24,8.23,8.306,8.1801,8.23
559,2020-04-23,8.06,8.24,7.97,8.12
558,2020-04-22,8.13,8.7248,7.8742,8.17
557,2020-04-21,7.98,7.99,7.5785,7.82
556,2020-04-20,7.86,8.18,7.86,8.03
555,2020-04-17,8.24,8.25,8.07,8.19
554,2020-04-16,7.5287,8.29,7.5287,8.04
553,2020-04-15,8.195,8.2407,7.8,8.0
552,2020-04-14,7.69,8.46,7.67,8.09
551,2020-04-13,7.16,7.67,7.16,7.5
550,2020-04-09,7.1814,7.38,6.99,7.12
549,2020-04-08,6.94,7.3,6.6148,7.2
548,2020-04-07,7.17,7.38,6.69,6.93
547,2020-04-06,6.32,7.25,6.32,6.92
546,2020-04-03,6.58,6.58,6.0,6.15
545,2020-04-02,6.49,6.83,6.3,6.47
544,2020-04-01,6.97,7.02,6.32,6.44
543,2020-03-31,7.0,7.275,6.96,7.06
542,2020-03-30,7.64,7.78,6.6,6.95
541,2020-03-27,7.59,7.81,6.78,7.51
540,2020-03-26,7.58,8.3295,7.5,7.6701
539,2020-03-25,7.25,7.75,6.28,7.56
538,2020-03-24,7.1,7.39,6.3474,7.23
537,2020-03-23,7.0,7.0,6.23,6.925
536,2020-03-20,7.07,8.29,6.86,7.12
535,2020-03-19,6.05,6.98,5.8957,6.75
534,2020-03-18,6.4,6.4,5.69,5.88
533,2020-03-17,6.7,6.7,5.61,6.5
532,2020-03-16,6.5,7.2119,5.0,6.52
531,2020-03-13,7.53,8.27,7.19,7.46
530,2020-03-12,7.75,7.885,6.68,7.21
529,2020-03-11,8.56,9.12,7.81,8.25
528,2020-03-10,8.91,9.8,8.4,8.6
527,2020-03-09,8.88,9.3399,8.5,8.68
526,2020-03-06,10.05,10.1483,9.43,9.47
525,2020-03-05,10.12,10.69,10.06,10.22
524,2020-03-04,10.28,10.41,10.1,10.41
523,2020-03-03,10.32,10.73,10.06,10.18
522,2020-03-02,10.22,10.56,10.11,10.35
521,2020-02-28,10.32,10.55,10.1,10.16
520,2020-02-27,10.71,11.09,10.2,10.68
519,2020-02-26,10.75,11.32,10.75,10.82
518,2020-02-25,11.38,11.9,10.51,10.81
517,2020-02-24,11.71,11.77,11.0438,11.21
516,2020-02-21,11.85,12.4448,11.5,11.94
515,2020-02-20,12.02,12.8,11.5994,11.93
514,2020-02-19,11.73,12.0,11.2,11.87
513,2020-02-18,10.95,11.4,10.89,11.15
512,2020-02-14,11.11,11.4,10.57,10.6
511,2020-02-13,12.39,14.0,12.17,14.0
510,2020-02-12,11.76,13.46,11.6694,12.29
509,2020-02-11,10.03,12.13,10.03,11.85
508,2020-02-10,10.95,10.98,9.85,9.85
507,2020-02-07,11.77,11.9,10.88,10.88
506,2020-02-06,11.7,11.9,11.53,11.9
505,2020-02-05,12.43,12.9,11.5,11.58
504,2020-02-04,12.55,12.8605,12.35,12.35
503,2020-02-03,12.77,13.254,12.52,12.52
502,2020-01-31,13.0,13.125,12.75,12.83
501,2020-01-30,13.66,13.66,13.0,13.02
500,2020-01-29,13.26,13.62,13.248,13.56
499,2020-01-28,13.01,13.37,12.85,13.15
498,2020-01-27,12.89,13.24,12.51,12.91
497,2020-01-24,13.52,13.74,12.627,12.89
496,2020-01-23,13.23,13.43,12.52,13.43
495,2020-01-22,13.31,13.75,12.9,13.15
494,2020-01-21,14.25,14.25,13.32,13.41
493,2020-01-17,14.01,14.42,13.5,13.99
492,2020-01-16,13.94,14.22,13.5,14.09
491,2020-01-15,14.61,14.79,13.8524,13.98
490,2020-01-14,14.14,14.94,14.14,14.73
489,2020-01-13,14.99,14.99,14.14,14.47
488,2020-01-10,14.98,15.1477,14.8006,14.88
487,2020-01-09,14.99,15.248,14.5395,14.89
486,2020-01-08,14.82,15.49,14.38,14.91
485,2020-01-07,15.73,16.0,14.81,14.82
484,2020-01-06,15.9,16.0,15.24,15.43
483,2020-01-03,15.75,16.22,15.01,15.65
482,2020-01-02,17.5,17.845,15.55,15.75
481,2019-12-31,17.89,19.89,16.5,17.15
480,2019-12-30,20.93,21.0,14.2,14.6
479,2019-12-27,9.88,9.8952,9.23,9.23
478,2019-12-26,9.95,9.95,9.45,9.7999
477,2019-12-24,9.7,9.97,9.1501,9.96
476,2019-12-23,9.58,9.9592,9.3839,9.74
475,2019-12-20,9.7234,9.8844,9.37,9.39
474,2019-12-19,9.5001,9.8161,9.5,9.8161
473,2019-12-18,8.85,9.9003,8.77,9.5
472,2019-12-17,8.59,8.695,8.59,8.695
471,2019-12-16,8.66,8.75,8.35,8.5875
470,2019-12-13,8.6921,8.6921,8.5435,8.6877
469,2019-12-12,8.4625,8.74,8.33,8.74
468,2019-12-11,8.38,8.6799,8.38,8.6188
467,2019-12-10,8.39,8.63,8.3399,8.5
466,2019-12-09,8.25,8.76,8.25,8.51
465,2019-12-06,8.75,8.83,8.36,8.36
464,2019-12-05,8.5,8.97,8.4319,8.97
463,2019-12-04,8.3,8.55,8.29,8.5
462,2019-12-03,8.42,8.42,8.0,8.3
461,2019-12-02,8.29,8.6,8.2715,8.4176
460,2019-11-29,8.1196,8.3,8.0101,8.29
459,2019-11-27,8.02,8.29,7.96,8.06
458,2019-11-26,8.29,8.3,7.83,8.1724
457,2019-11-25,7.9,8.29,7.9,8.29
456,2019-11-22,8.15,8.3,7.82,7.92
455,2019-11-21,8.13,8.1947,7.9931,7.9931
454,2019-11-20,8.0,8.0,8.0,8.0
453,2019-11-19,8.0,8.02,7.76,8.0
452,2019-11-18,8.45,8.45,7.57,8.0
451,2019-11-15,7.83,8.19,7.78,8.0
