,Date,Open,High,Low,Close
3884,2020-12-14,49.21,49.21,49.21,49.21
3883,2020-12-11,49.21,49.21,49.21,49.21
3882,2020-12-10,49.2,49.2432,48.05,49.0
3881,2020-12-09,47.73,48.6,47.73,48.5
3880,2020-12-08,47.9,48.25,46.95,48.01
3879,2020-12-07,47.96,48.99,46.5,47.13
3878,2020-12-04,46.99,47.11,46.8418,46.92
3877,2020-12-03,46.5,48.25,46.11,46.95
3876,2020-12-02,47.89,47.89,46.85,47.0
3875,2020-12-01,46.45,46.54,45.48,46.5
3874,2020-11-30,45.43,47.8642,45.43,46.99
3873,2020-11-27,45.83,45.83,45.83,45.83
3872,2020-11-25,46.5296,46.7499,45.32,45.87
3871,2020-11-24,45.94,47.6162,45.22,45.23
3870,2020-11-23,44.85,46.13,44.38,45.97
3869,2020-11-20,44.9,45.15,44.9,45.1
3868,2020-11-19,44.84,45.09,44.81,45.09
3867,2020-11-18,44.0,45.125,44.0,45.05
3866,2020-11-17,45.08,45.2,45.08,45.18
3865,2020-11-16,45.1,45.25,44.87,45.15
3864,2020-11-13,45.25,45.25,44.9326,45.0
3863,2020-11-12,45.06,45.15,44.95,45.15
3862,2020-11-11,44.8,45.11,44.8,44.84
3861,2020-11-10,45.24,45.32,45.24,45.29
3860,2020-11-09,45.55,47.52,45.205,45.4
3859,2020-11-06,44.77,45.0133,44.77,44.97
3858,2020-11-05,45.0747,45.0747,45.0747,45.0747
3857,2020-11-04,45.1,45.23,44.95,44.95
3856,2020-11-03,44.95,45.4,44.9,44.95
3855,2020-11-02,45.25,45.25,44.92,44.92
3854,2020-10-30,44.91,45.96,44.85,45.68
3853,2020-10-29,44.6,44.8,44.6,44.8
3852,2020-10-28,44.4,44.75,44.4,44.6
3851,2020-10-27,44.36,44.695,44.36,44.6
3850,2020-10-26,42.0,45.35,42.0,44.3
3849,2020-10-23,37.93,37.93,36.93,37.0
3848,2020-10-22,34.5,36.15,34.5,36.0
3847,2020-10-21,34.22,34.5,33.31,34.5
3846,2020-10-20,34.91,34.91,34.775,34.89
3845,2020-10-19,34.8499,34.91,33.15,34.79
3844,2020-10-16,34.97,34.97,34.97,34.97
3843,2020-10-15,34.87,34.97,34.87,34.97
3842,2020-10-14,34.02,34.89,34.02,34.89
3841,2020-10-13,34.92,34.97,34.92,34.92
3840,2020-10-12,34.97,34.97,34.65,34.97
3839,2020-10-09,34.83,34.83,34.66,34.66
3838,2020-10-08,34.98,34.98,34.98,34.98
3837,2020-10-07,34.96,34.98,34.96,34.98
3836,2020-10-06,33.65,35.0,33.65,35.0
3835,2020-10-05,33.7,33.7,33.67,33.69
3834,2020-10-02,33.57,33.58,33.57,33.58
3833,2020-10-01,33.05,33.7,33.01,33.7
3832,2020-09-30,32.87,33.7,32.35,33.15
3831,2020-09-29,32.37,33.7,32.0,33.355
3830,2020-09-28,32.32,33.7,32.3,33.05
3829,2020-09-25,31.75,32.98,30.52,32.83
3828,2020-09-24,30.5,31.75,30.18,31.75
3827,2020-09-23,32.44,32.44,30.74,31.05
3826,2020-09-22,32.51,32.62,32.2,32.62
3825,2020-09-21,32.89,32.89,32.21,32.6497
3824,2020-09-18,32.6,33.0,32.56,33.0
3823,2020-09-17,32.25,32.7,32.25,32.6
3822,2020-09-16,32.85,33.45,32.78,32.8
3821,2020-09-15,32.8,32.8,32.8,32.8
3820,2020-09-14,32.8,32.8,32.8,32.8
3819,2020-09-11,32.85,33.005,32.38,32.38
3818,2020-09-10,33.5601,34.01,32.8,33.9593
3817,2020-09-09,33.5,33.95,33.01,33.56
3816,2020-09-08,33.98,33.98,33.98,33.98
3815,2020-09-04,33.98,33.98,33.98,33.98
3814,2020-09-03,34.205,35.0,34.205,34.5
3813,2020-09-02,35.45,35.52,35.45,35.52
3812,2020-09-01,35.2783,35.5,35.23,35.5
3811,2020-08-31,35.38,35.5,34.8,35.31
3810,2020-08-28,34.6,35.04,34.55,35.04
3809,2020-08-27,34.5,34.6,34.2886,34.59
3808,2020-08-26,34.48,34.6,34.13,34.54
3807,2020-08-25,34.21,34.48,33.84,34.46
3806,2020-08-24,34.03,34.61,34.0,34.45
3805,2020-08-21,33.6297,33.6297,33.6297,33.6297
3804,2020-08-20,32.8659,34.0,32.8659,34.0
3803,2020-08-19,33.58,33.7404,33.58,33.5801
3802,2020-08-18,33.55,33.55,31.5,32.96
3801,2020-08-17,33.3,33.505,33.25,33.25
3800,2020-08-14,33.42,33.42,33.42,33.42
3799,2020-08-13,33.42,33.42,33.42,33.42
3798,2020-08-12,32.5,33.33,32.5,33.17
3797,2020-08-11,32.7308,32.76,32.27,32.5
3796,2020-08-10,31.88,32.9,31.88,32.45
3795,2020-08-07,31.36,31.675,31.2,31.5806
3794,2020-08-06,31.11,31.6204,31.07,31.55
3793,2020-08-05,30.5,31.58,30.46,31.2
3792,2020-08-04,31.43,32.16,30.75,30.8
3791,2020-08-03,31.46,32.12,31.32,31.4
3790,2020-07-31,32.01,33.0,30.93,31.04
3789,2020-07-30,31.2,32.49,31.2,31.95
3788,2020-07-29,31.35,31.55,31.0,31.24
3787,2020-07-28,31.75,31.9,31.25,31.48
3786,2020-07-27,32.0,32.0,31.08,31.97
3785,2020-07-24,32.05,32.05,31.9999,31.9999
