,Date,Open,High,Low,Close
68,2020-12-14,20.06,21.0,18.92,18.92
67,2020-12-11,19.195,19.195,19.195,19.195
66,2020-12-10,19.195,19.195,19.195,19.195
65,2020-12-09,19.195,19.195,19.195,19.195
64,2020-12-08,21.91,21.91,19.8621,19.8621
63,2020-12-07,18.27,19.5,18.27,19.2
62,2020-12-04,17.25,17.25,17.25,17.25
61,2020-12-03,18.3,18.3,18.3,18.3
60,2020-12-02,18.3,18.3,18.3,18.3
59,2020-12-01,18.3,18.3,18.3,18.3
58,2020-11-30,17.99,18.99,17.98,18.0
57,2020-11-27,17.4926,17.4926,17.4926,17.4926
56,2020-11-25,17.4926,17.4926,17.4926,17.4926
55,2020-11-24,17.4926,17.4926,17.4926,17.4926
54,2020-11-23,16.7,16.7,16.7,16.7
53,2020-11-20,16.7,16.7,16.7,16.7
52,2020-11-19,16.7,16.7,16.7,16.7
51,2020-11-18,16.7,16.7,16.7,16.7
50,2020-11-17,16.7,16.7,16.7,16.7
49,2020-11-16,19.0,19.0,16.68,16.7
48,2020-11-13,19.99,19.99,19.99,19.99
47,2020-11-12,19.99,19.99,19.99,19.99
46,2020-11-11,19.99,19.99,19.99,19.99
45,2020-11-10,19.99,19.99,19.99,19.99
44,2020-11-09,18.0,19.99,17.98,19.99
43,2020-11-06,15.76,15.76,15.76,15.76
42,2020-11-05,15.0,15.76,15.0,15.76
41,2020-11-04,15.0,15.0,15.0,15.0
40,2020-11-03,15.0,15.0,15.0,15.0
39,2020-11-02,15.0,15.0,15.0,15.0
38,2020-10-30,15.0,15.0,15.0,15.0
37,2020-10-29,15.0,15.0,15.0,15.0
36,2020-10-28,15.0,15.0,15.0,15.0
35,2020-10-27,15.52,15.59,15.52,15.52
34,2020-10-26,15.5,15.5,15.5,15.5
33,2020-10-23,15.5,15.5,15.5,15.5
32,2020-10-22,15.5,15.5,15.5,15.5
31,2020-10-21,15.5,15.5,15.5,15.5
30,2020-10-20,15.5,15.5,15.5,15.5
29,2020-10-19,15.5,15.5,15.5,15.5
28,2020-10-16,15.5,15.5,15.5,15.5
27,2020-10-15,15.5,15.5,15.5,15.5
26,2020-10-14,16.41,16.41,16.41,16.41
25,2020-10-13,16.41,16.41,16.41,16.41
24,2020-10-12,16.41,16.41,16.41,16.41
23,2020-10-09,16.0,16.41,16.0,16.41
22,2020-10-08,16.44,16.44,16.44,16.44
21,2020-10-07,16.5,16.5,16.44,16.44
20,2020-10-06,16.05,16.99,16.05,16.525
19,2020-10-05,16.77,16.77,15.7503,15.7503
18,2020-10-02,16.88,16.88,16.88,16.88
17,2020-10-01,16.88,16.88,16.87,16.88
16,2020-09-30,17.3061,17.3061,17.3061,17.3061
15,2020-09-29,17.3061,17.3061,17.3061,17.3061
14,2020-09-28,17.3061,17.3061,17.3061,17.3061
13,2020-09-25,17.5,17.5,17.5,17.5
12,2020-09-24,17.5,17.5,17.5,17.5
11,2020-09-23,17.5,17.5,17.5,17.5
10,2020-09-22,17.5,17.5,17.5,17.5
9,2020-09-21,17.6,17.6,17.6,17.6
8,2020-09-18,18.5,18.5,18.5,18.5
7,2020-09-17,18.5,18.5,18.5,18.5
6,2020-09-16,18.48,18.74,18.48,18.5
5,2020-09-15,19.32,19.32,18.95,18.95
4,2020-09-14,19.5,19.5,19.5,19.5
3,2020-09-11,19.5,20.0,19.5,19.5
2,2020-09-10,19.0,19.0,19.0,19.0
1,2020-09-09,19.0,19.0,19.0,19.0
0,2020-09-08,19.5,20.5,19.5,19.5
