,Date,Open,High,Low,Close
2152,2020-12-14,4.76,4.79,4.55,4.55
2151,2020-12-11,4.66,4.73,4.64,4.72
2150,2020-12-10,4.51,4.68,4.51,4.68
2149,2020-12-09,4.65,4.7,4.51,4.55
2148,2020-12-08,4.55,4.69,4.54,4.6
2147,2020-12-07,4.71,4.71,4.54,4.6
2146,2020-12-04,4.54,4.75,4.54,4.73
2145,2020-12-03,4.37,4.51,4.35,4.47
2144,2020-12-02,4.23,4.37,4.1943,4.35
2143,2020-12-01,4.25,4.29,4.21,4.23
2142,2020-11-30,4.26,4.3299,4.2,4.22
2141,2020-11-27,4.37,4.39,4.26,4.29
2140,2020-11-25,4.33,4.37,4.27,4.35
2139,2020-11-24,4.35,4.43,4.3374,4.35
2138,2020-11-23,4.07,4.255,4.07,4.25
2137,2020-11-20,4.09,4.11,4.04,4.05
2136,2020-11-19,3.95,4.1,3.94,4.1
2135,2020-11-18,3.95,4.04,3.93,3.95
2134,2020-11-17,3.85,3.94,3.81,3.92
2133,2020-11-16,3.83,3.9171,3.83,3.88
2132,2020-11-13,3.73,3.81,3.73,3.8
2131,2020-11-12,3.77,3.81,3.701,3.71
2130,2020-11-11,3.85,3.8725,3.76,3.79
2129,2020-11-10,3.77,3.83,3.7179,3.81
2128,2020-11-09,3.65,3.84,3.63,3.73
2127,2020-11-06,3.57,3.57,3.44,3.47
2126,2020-11-05,3.55,3.6,3.55,3.58
2125,2020-11-04,3.52,3.59,3.48,3.52
2124,2020-11-03,3.52,3.55,3.49,3.52
2123,2020-11-02,3.48,3.51,3.46,3.46
2122,2020-10-30,3.49,3.5,3.42,3.45
2121,2020-10-29,3.44,3.51,3.41,3.51
2120,2020-10-28,3.57,3.57,3.44,3.47
2119,2020-10-27,3.62,3.64,3.57,3.6
2118,2020-10-26,3.66,3.6889,3.57,3.61
2117,2020-10-23,3.84,3.84,3.7,3.76
2116,2020-10-22,3.68,3.81,3.68,3.81
2115,2020-10-21,3.72,3.74,3.62,3.66
2114,2020-10-20,3.66,3.72,3.65,3.7
2113,2020-10-19,3.7,3.77,3.62,3.65
2112,2020-10-16,3.76,3.779,3.72,3.72
2111,2020-10-15,3.81,3.84,3.76,3.77
2110,2020-10-14,3.81,3.9,3.81,3.85
2109,2020-10-13,3.79,3.85,3.79,3.79
2108,2020-10-12,3.96,3.98,3.7866,3.84
2107,2020-10-09,3.96,3.99,3.87,3.91
2106,2020-10-08,3.8,3.95,3.8,3.95
2105,2020-10-07,3.66,3.75,3.65,3.75
2104,2020-10-06,3.77,3.84,3.63,3.67
2103,2020-10-05,3.61,3.78,3.5715,3.73
2102,2020-10-02,3.43,3.515,3.39,3.51
2101,2020-10-01,3.53,3.53,3.42,3.48
2100,2020-09-30,3.56,3.6,3.46,3.5
2099,2020-09-29,3.54,3.56,3.51,3.56
2098,2020-09-28,3.47,3.56,3.45,3.56
2097,2020-09-25,3.37,3.46,3.37,3.44
2096,2020-09-24,3.44,3.47,3.35,3.41
2095,2020-09-23,3.63,3.65,3.44,3.44
2094,2020-09-22,3.63,3.65,3.6,3.6
2093,2020-09-21,3.67,3.67,3.59,3.63
2092,2020-09-18,3.78,3.78,3.69,3.73
2091,2020-09-17,3.8,3.8,3.7254,3.78
2090,2020-09-16,3.76,3.9,3.76,3.8
2089,2020-09-15,3.88,3.9,3.74,3.75
2088,2020-09-14,3.8,3.88,3.7906,3.86
2087,2020-09-11,3.77,3.83,3.77,3.78
2086,2020-09-10,3.91,3.93,3.77,3.79
2085,2020-09-09,3.9,3.95,3.88,3.88
2084,2020-09-08,3.97,3.97,3.7999,3.9
2083,2020-09-04,4.0,4.0,3.92,4.0
2082,2020-09-03,4.03,4.065,3.86,3.98
2081,2020-09-02,4.05,4.09,3.99,4.04
2080,2020-09-01,4.07,4.12,4.03,4.07
2079,2020-08-31,4.12,4.12,4.02,4.08
2078,2020-08-28,4.07,4.15,4.035,4.14
2077,2020-08-27,4.04,4.04,3.95,4.04
2076,2020-08-26,4.15,4.15,3.97,4.01
2075,2020-08-25,4.22,4.22,4.07,4.12
2074,2020-08-24,4.19,4.22,4.12,4.17
2073,2020-08-21,4.24,4.24,4.11,4.18
2072,2020-08-20,4.28,4.28,4.19,4.23
2071,2020-08-19,4.32,4.34,4.245,4.28
2070,2020-08-18,4.27,4.32,4.2,4.32
2069,2020-08-17,4.33,4.34,4.24,4.26
2068,2020-08-14,4.3,4.41,4.295,4.31
2067,2020-08-13,4.4,4.41,4.3,4.3
2066,2020-08-12,4.35,4.55,4.35,4.37
2065,2020-08-11,4.34,4.375,4.27,4.3
2064,2020-08-10,4.15,4.3,4.15,4.27
2063,2020-08-07,4.2,4.2,4.09,4.13
2062,2020-08-06,4.16,4.26,4.16,4.18
2061,2020-08-05,4.2,4.33,4.16,4.2
2060,2020-08-04,4.03,4.14,3.98,4.14
2059,2020-08-03,3.95,4.07,3.9265,4.03
2058,2020-07-31,3.95,4.0055,3.88,3.97
2057,2020-07-30,4.02,4.07,3.9814,4.02
2056,2020-07-29,4.02,4.09,3.95,4.09
2055,2020-07-28,3.92,3.952,3.87,3.93
2054,2020-07-27,3.93,3.95,3.9,3.9
2053,2020-07-24,4.01,4.0101,3.94,3.97
2052,2020-07-23,4.13,4.14,3.9453,3.98
2051,2020-07-22,4.18,4.25,4.02,4.08
2050,2020-07-21,4.07,4.29,4.07,4.24
2049,2020-07-20,4.02,4.06,3.99,4.05
2048,2020-07-17,4.04,4.12,4.02,4.06
2047,2020-07-16,4.11,4.11,4.02,4.04
2046,2020-07-15,3.98,4.08,3.92,4.08
2045,2020-07-14,3.74,3.88,3.65,3.83
2044,2020-07-13,3.94,3.94,3.78,3.8
2043,2020-07-10,3.81,3.92,3.81,3.9
2042,2020-07-09,4.1,4.1,3.88,3.89
2041,2020-07-08,4.03,4.12,3.98,4.1
2040,2020-07-07,3.87,4.1,3.86,4.02
2039,2020-07-06,4.24,4.24,3.94,3.96
2038,2020-07-02,4.08,4.2,4.08,4.13
2037,2020-07-01,4.14,4.24,4.03,4.03
2036,2020-06-30,4.08,4.13,3.97,4.13
2035,2020-06-29,4.01,4.1,4.01,4.05
2034,2020-06-26,4.3,4.3,3.92,3.98
2033,2020-06-25,4.19,4.29,4.19,4.28
2032,2020-06-24,4.37,4.37,4.18,4.21
2031,2020-06-23,4.49,4.49,4.36,4.37
2030,2020-06-22,4.43,4.43,4.36,4.43
2029,2020-06-19,4.64,4.64,4.41,4.43
2028,2020-06-18,4.51,4.55,4.42,4.48
2027,2020-06-17,4.65,4.65,4.5,4.53
2026,2020-06-16,4.73,4.74,4.56,4.64
2025,2020-06-15,4.09,4.55,4.09,4.5
2024,2020-06-12,4.5,4.52,4.27,4.34
2023,2020-06-11,4.65,4.65,4.31,4.34
2022,2020-06-10,5.1,5.1,4.73,4.86
2021,2020-06-09,5.07,5.11,4.98,5.01
2020,2020-06-08,5.13,5.25,5.11,5.14
2019,2020-06-05,4.87,4.99,4.81,4.95
2018,2020-06-04,4.6,4.73,4.6,4.71
2017,2020-06-03,4.6,4.65,4.57,4.59
2016,2020-06-02,4.48,4.56,4.47,4.53
2015,2020-06-01,4.49,4.52,4.42,4.47
2014,2020-05-29,4.45,4.55,4.38,4.52
2013,2020-05-28,4.52,4.55,4.43,4.48
2012,2020-05-27,4.45,4.48,4.4,4.47
2011,2020-05-26,4.5,4.5,4.37,4.4
2010,2020-05-22,4.39,4.39,4.24,4.33
2009,2020-05-21,4.39,4.39,4.27,4.33
2008,2020-05-20,4.37,4.5,4.3,4.34
2007,2020-05-19,4.13,4.27,4.13,4.22
2006,2020-05-18,4.09,4.19,4.09,4.16
2005,2020-05-15,3.84,3.99,3.84,3.96
2004,2020-05-14,3.87,3.94,3.73,3.94
2003,2020-05-13,4.14,4.14,3.85,3.88
2002,2020-05-12,4.15,4.21,4.1,4.1
2001,2020-05-11,4.12,4.14,4.06,4.11
2000,2020-05-08,4.0,4.15,4.0,4.1
1999,2020-05-07,4.26,4.39,4.02,4.06
1998,2020-05-06,4.31,4.33,4.16,4.17
1997,2020-05-05,4.37,4.38,4.2,4.23
1996,2020-05-04,4.0,4.16,4.0,4.16
1995,2020-05-01,4.09,4.13,4.02,4.09
1994,2020-04-30,4.28,4.37,4.18,4.21
1993,2020-04-29,4.04,4.26,4.04,4.22
1992,2020-04-28,3.91,3.98,3.81,3.9
1991,2020-04-27,3.87,3.87,3.74,3.81
1990,2020-04-24,3.89,3.93,3.8,3.87
1989,2020-04-23,3.67,3.82,3.67,3.79
1988,2020-04-22,3.55,3.62,3.48,3.6
1987,2020-04-21,3.35,3.47,3.33,3.45
1986,2020-04-20,3.3,3.56,3.21,3.38
1985,2020-04-17,3.36,3.5,3.36,3.44
1984,2020-04-16,3.48,3.5,3.31,3.34
1983,2020-04-15,3.62,3.71,3.48,3.51
1982,2020-04-14,3.38,3.62,3.38,3.62
1981,2020-04-13,3.67,3.73,3.35,3.38
1980,2020-04-09,3.6,3.85,3.46,3.5
1979,2020-04-08,3.49,3.57,3.44,3.57
1978,2020-04-07,3.45,3.59,3.37,3.45
1977,2020-04-06,3.35,3.35,3.19,3.3
1976,2020-04-03,3.37,3.38,3.06,3.23
1975,2020-04-02,3.13,3.43,3.12,3.24
1974,2020-04-01,3.32,3.32,3.05,3.07
1973,2020-03-31,3.24,3.49,3.22,3.48
1972,2020-03-30,3.1,3.19,2.9,3.15
1971,2020-03-27,3.25,3.27,3.13,3.22
1970,2020-03-26,3.19,3.49,3.18,3.34
1969,2020-03-25,2.88,3.28,2.88,3.15
1968,2020-03-24,2.95,3.0,2.75,2.78
1967,2020-03-23,2.79,3.05,2.68,2.69
1966,2020-03-20,3.0,3.53,2.94,3.1
1965,2020-03-19,2.76,3.18,2.7,2.93
1964,2020-03-18,2.76,2.81,2.08,2.62
1963,2020-03-17,3.27,3.33,3.0,3.0
1962,2020-03-16,3.46,3.5,3.26,3.29
1961,2020-03-13,3.58,3.89,3.47,3.76
1960,2020-03-12,3.94,3.94,3.27,3.32
1959,2020-03-11,4.4,4.43,4.13,4.23
1958,2020-03-10,4.5,4.57,4.01,4.53
1957,2020-03-09,5.43,5.43,4.03,4.04
1956,2020-03-06,5.79,5.79,5.56,5.65
1955,2020-03-05,6.04,6.04,5.85,5.92
1954,2020-03-04,6.13,6.14,6.02,6.08
1953,2020-03-03,6.18,6.25,5.9,5.99
1952,2020-03-02,6.0,6.15,5.94,6.1
1951,2020-02-28,5.93,5.97,5.76,5.92
1950,2020-02-27,6.17,6.17,5.75,6.1
1949,2020-02-26,6.46,6.48,6.26,6.28
1948,2020-02-25,6.78,6.8,6.43,6.46
1947,2020-02-24,6.86,6.87,6.73,6.74
1946,2020-02-21,7.16,7.16,6.98,7.02
1945,2020-02-20,7.14,7.21,7.13,7.16
1944,2020-02-19,7.16,7.16,7.09,7.13
1943,2020-02-18,7.08,7.11,7.05,7.11
1942,2020-02-14,7.26,7.27,7.22,7.25
1941,2020-02-13,7.25,7.3,7.21,7.25
1940,2020-02-12,7.27,7.3,7.21,7.27
1939,2020-02-11,7.21,7.24,7.17,7.2
1938,2020-02-10,7.22,7.23,7.12,7.14
1937,2020-02-07,7.27,7.28,7.22,7.23
1936,2020-02-06,7.47,7.47,7.32,7.32
1935,2020-02-05,7.36,7.48,7.36,7.45
1934,2020-02-04,7.29,7.4,7.29,7.3
