,Date,Open,High,Low,Close
5303,2020-12-14,40.98,41.1507,40.27,40.33
5302,2020-12-11,40.13,40.23,39.82,39.95
5301,2020-12-10,41.0,41.53,40.87,41.04
5300,2020-12-09,41.01,41.05,40.51,40.9
5299,2020-12-08,40.99,41.14,40.655,41.1
5298,2020-12-07,40.61,41.16,40.57,40.9
5297,2020-12-04,40.94,41.51,40.86,41.5
5296,2020-12-03,40.01,40.46,39.93,40.38
5295,2020-12-02,40.39,40.44,39.88,40.12
5294,2020-12-01,40.81,40.95,40.36,40.49
5293,2020-11-30,39.61,39.6807,38.7,39.35
5292,2020-11-27,38.48,39.0,38.36,38.98
5291,2020-11-25,38.08,38.183,37.44,37.96
5290,2020-11-24,38.39,38.415,38.06,38.25
5289,2020-11-23,38.88,38.88,38.23,38.31
5288,2020-11-20,39.18,39.26,38.78,39.16
5287,2020-11-19,38.43,38.9,38.35,38.83
5286,2020-11-18,39.43,39.667,39.01,39.03
5285,2020-11-17,39.12,39.72,39.08,39.54
5284,2020-11-16,40.55,40.65,39.495,39.77
5283,2020-11-13,39.31,40.45,39.295,40.44
5282,2020-11-12,39.74,40.43,39.645,39.98
5281,2020-11-11,41.36,41.415,40.87,41.3
5280,2020-11-10,42.74,42.76,40.97,41.1
5279,2020-11-09,41.78,43.19,41.66,42.35
5278,2020-11-06,37.28,37.28,36.68,37.0
5277,2020-11-05,37.3,37.42,36.75,36.97
5276,2020-11-04,36.88,37.4,36.82,37.01
5275,2020-11-03,35.69,36.45,35.612,36.25
5274,2020-11-02,34.33,35.16,34.29,35.11
5273,2020-10-30,35.3,35.32,34.7085,35.07
5272,2020-10-29,35.72,35.91,35.28,35.61
5271,2020-10-28,35.99,36.27,35.59,35.65
5270,2020-10-27,37.57,37.87,37.22,37.23
5269,2020-10-26,37.83,38.1,37.61,38.02
5268,2020-10-23,38.38,38.48,38.11,38.48
5267,2020-10-22,38.11,38.55,38.07,38.48
5266,2020-10-21,38.04,38.23,37.94,38.05
5265,2020-10-20,38.8,38.9947,38.41,38.52
5264,2020-10-19,39.34,39.49,38.35,38.48
5263,2020-10-16,39.04,39.49,39.02,39.28
5262,2020-10-15,38.37,38.67,38.27,38.63
5261,2020-10-14,39.73,39.9,39.01,39.16
5260,2020-10-13,39.79,39.91,39.36,39.36
5259,2020-10-12,40.05,40.67,40.01,40.41
5258,2020-10-09,39.64,40.04,39.605,39.83
5257,2020-10-08,39.42,39.76,39.38,39.62
5256,2020-10-07,38.85,39.59,38.85,39.56
5255,2020-10-06,39.34,39.72,39.11,39.2
5254,2020-10-05,39.99,40.12,39.62,39.85
5253,2020-10-02,39.25,39.72,39.09,39.63
5252,2020-10-01,40.24,40.305,39.35,39.61
5251,2020-09-30,39.14,39.65,38.86,39.1
5250,2020-09-29,38.53,38.78,38.15,38.34
5249,2020-09-28,38.17,38.42,38.02,38.16
5248,2020-09-25,36.71,37.47,36.64,37.35
5247,2020-09-24,37.68,37.81,37.0217,37.42
5246,2020-09-23,38.34,38.48,37.53,37.68
5245,2020-09-22,37.18,37.82,37.04,37.72
5244,2020-09-21,37.72,37.75,37.06,37.6
5243,2020-09-18,39.76,40.34,39.22,39.31
5242,2020-09-17,40.37,40.62,39.9271,40.31
5241,2020-09-16,40.69,41.06,40.69,40.8
5240,2020-09-15,40.57,40.78,40.39,40.44
5239,2020-09-14,40.44,40.62,40.22,40.34
5238,2020-09-11,40.42,40.48,39.89,40.27
5237,2020-09-10,41.07,41.07,40.09,40.1
5236,2020-09-09,40.41,41.08,40.37,40.95
5235,2020-09-08,40.23,40.75,40.09,40.16
5234,2020-09-04,40.69,40.85,39.3,40.12
5233,2020-09-03,41.41,41.44,39.94,40.02
5232,2020-09-02,41.63,42.04,41.41,42.02
5231,2020-09-01,40.82,41.01,40.67,40.87
5230,2020-08-31,40.57,40.86,40.2,40.65
5229,2020-08-28,40.68,40.94,40.45,40.86
5228,2020-08-27,40.36,40.705,40.07,40.6
5227,2020-08-26,39.75,40.19,39.71,40.18
5226,2020-08-25,40.5,40.56,40.04,40.42
5225,2020-08-24,40.04,40.11,39.5,39.79
5224,2020-08-21,39.17,39.475,39.02,39.41
5223,2020-08-20,40.1,40.37,40.03,40.2
5222,2020-08-19,41.11,41.11,40.08,40.32
5221,2020-08-18,40.99,41.144,40.47,40.65
5220,2020-08-17,40.75,41.185,40.75,40.93
5219,2020-08-14,41.41,41.4741,40.94,41.07
5218,2020-08-13,41.84,42.13,41.76,41.99
5217,2020-08-12,41.72,42.4,41.61,42.13
5216,2020-08-11,41.52,41.57,40.9,40.9
5215,2020-08-10,41.56,41.64,40.8504,40.9
5214,2020-08-07,41.81,41.99,41.4657,41.82
5213,2020-08-06,40.7,40.97,40.57,40.97
5212,2020-08-05,40.92,41.16,40.765,40.91
5211,2020-08-04,39.75,40.56,39.7,40.17
5210,2020-08-03,40.4,40.735,40.29,40.68
5209,2020-07-31,41.12,41.18,39.56,39.81
5208,2020-07-30,39.76,40.99,39.73,40.92
5207,2020-07-29,41.66,42.42,41.55,42.16
5206,2020-07-28,42.19,42.3594,41.77,41.82
5205,2020-07-27,41.02,41.48,40.99,41.24
5204,2020-07-24,41.32,41.4,40.94,41.28
5203,2020-07-23,42.55,42.905,42.04,42.13
5202,2020-07-22,41.62,42.04,41.59,42.01
5201,2020-07-21,42.08,42.48,41.75,41.82
5200,2020-07-20,41.79,41.79,41.39,41.63
5199,2020-07-17,41.1,41.7,40.91,41.62
5198,2020-07-16,40.77,40.92,40.4,40.69
5197,2020-07-15,41.39,42.28,41.23,41.79
5196,2020-07-14,38.51,39.42,38.45,39.36
5195,2020-07-13,39.5,39.54,38.59,38.68
5194,2020-07-10,38.71,38.79,38.24,38.51
5193,2020-07-09,39.16,39.16,38.15,38.44
5192,2020-07-08,39.07,39.31,38.67,39.05
5191,2020-07-07,39.43,39.9,39.07,39.44
5190,2020-07-06,40.08,40.18,39.67,39.86
5189,2020-07-02,39.78,39.96,39.36,39.42
5188,2020-07-01,40.11,40.11,39.21,39.68
5187,2020-06-30,37.31,38.25,37.23,38.12
5186,2020-06-29,37.81,37.9,37.46,37.89
5185,2020-06-26,38.28,38.36,37.59,37.62
5184,2020-06-25,37.88,38.02,37.24,37.67
5183,2020-06-24,39.36,39.36,37.24,37.73
5182,2020-06-23,40.69,41.04,40.26,40.26
