,Date,Open,High,Low,Close
422,2020-12-14,13.45,13.9899,13.45,13.645
421,2020-12-11,13.51,13.84,12.91,13.585
420,2020-12-10,13.89,13.99,13.5001,13.6
419,2020-12-09,13.2,14.0,13.2,13.75
418,2020-12-08,12.745,13.25,12.65,13.0672
417,2020-12-07,13.21,14.587,12.8,12.95
416,2020-12-04,11.93,12.98,11.93,12.765
415,2020-12-03,11.41,12.9384,10.9,12.725
414,2020-12-02,11.475,12.08,10.9,11.62
413,2020-12-01,11.05,11.05,11.0,11.0
412,2020-11-30,11.0,11.59,11.0,11.59
411,2020-11-27,12.0,12.14,11.1,11.98
410,2020-11-25,12.62,12.62,12.0,12.0
409,2020-11-24,9.99,12.5,9.99,12.1698
408,2020-11-23,9.29,10.05,9.29,9.99
407,2020-11-20,8.77,9.5187,8.77,9.08
406,2020-11-19,8.78,8.78,8.55,8.57
405,2020-11-18,8.98,9.35,8.78,8.85
404,2020-11-17,8.6,8.7761,8.41,8.73
403,2020-11-16,8.57,8.66,7.7,8.59
402,2020-11-13,7.67,7.87,7.57,7.746
401,2020-11-12,8.89,8.89,7.79,7.79
400,2020-11-11,8.36,9.15,8.31,9.013
399,2020-11-10,8.77,9.4099,7.89,8.56
398,2020-11-09,8.0,8.885,7.48,8.77
397,2020-11-06,6.035,6.06,5.9,6.06
396,2020-11-05,5.99,6.07,5.82,6.0
395,2020-11-04,5.995,6.1,5.79,6.0
394,2020-11-03,5.88,6.01,5.7601,6.01
393,2020-11-02,5.52,6.0,5.17,6.0
392,2020-10-30,5.83,6.0293,5.78,5.9
391,2020-10-29,5.9,6.03,5.6075,6.03
390,2020-10-28,5.9,5.9,5.67,5.8
389,2020-10-27,5.93,6.1,5.86,6.08
388,2020-10-26,6.0,6.01,5.9,6.0
387,2020-10-23,6.15,6.15,5.78,6.04
386,2020-10-22,5.89,6.48,5.8801,6.2
385,2020-10-21,5.9,5.95,5.78,5.9
384,2020-10-20,5.51,6.0,5.4,5.87
383,2020-10-19,5.54,5.75,5.3673,5.75
382,2020-10-16,5.16,5.5,5.15,5.5
381,2020-10-15,5.26,5.35,5.16,5.33
380,2020-10-14,5.3,5.51,5.25,5.435
379,2020-10-13,5.52,5.68,5.52,5.52
378,2020-10-12,5.26,5.53,5.26,5.5243
377,2020-10-09,5.26,5.63,5.26,5.425
376,2020-10-08,5.452,5.452,5.26,5.43
375,2020-10-07,5.3267,5.5,5.3267,5.4999
374,2020-10-06,5.5,5.5712,5.36,5.5712
373,2020-10-05,5.8,5.8,5.26,5.44
372,2020-10-02,5.51,5.71,5.5,5.71
371,2020-10-01,5.28,5.66,5.28,5.66
