,Date,Open,High,Low,Close
904,2020-12-14,9.8,9.89,9.49,9.7
903,2020-12-11,9.06,9.62,8.94,9.61
902,2020-12-10,8.55,9.18,8.4817,9.15
901,2020-12-09,8.25,8.78,8.25,8.58
900,2020-12-08,7.63,8.22,7.58,8.21
899,2020-12-07,7.53,7.85,7.42,7.73
898,2020-12-04,7.4,7.76,7.26,7.65
897,2020-12-03,7.61,7.62,7.17,7.27
896,2020-12-02,6.9,7.18,6.9,7.15
895,2020-12-01,6.89,6.97,6.67,6.9
894,2020-11-30,6.9,6.91,6.7,6.72
893,2020-11-27,7.01,7.01,6.77,6.95
892,2020-11-25,7.31,7.49,6.94,7.07
891,2020-11-24,7.38,7.55,7.25,7.45
890,2020-11-23,6.93,7.32,6.93,7.17
889,2020-11-20,6.92,7.02,6.82,6.89
888,2020-11-19,6.8,7.05,6.7463,6.99
887,2020-11-18,6.96,7.22,6.87,6.87
886,2020-11-17,6.89,7.0,6.8,6.92
885,2020-11-16,6.83,7.05,6.75,6.95
884,2020-11-13,6.49,6.6,6.31,6.53
883,2020-11-12,6.6,6.73,6.38,6.44
882,2020-11-11,6.88,6.88,6.52,6.7
881,2020-11-10,6.67,6.93,6.5,6.82
880,2020-11-09,6.48,6.84,6.36,6.49
879,2020-11-06,5.86,5.98,5.76,5.94
878,2020-11-05,5.97,6.18,5.84,5.85
877,2020-11-04,6.05,6.24,5.77,5.96
876,2020-11-03,6.35,6.45,6.08,6.14
875,2020-11-02,5.95,6.35,5.91,6.18
874,2020-10-30,5.69,6.07,5.65,5.93
873,2020-10-29,5.71,5.86,5.55,5.8
872,2020-10-28,5.91,5.956,5.67,5.79
871,2020-10-27,6.04,6.09,5.97,6.0
870,2020-10-26,6.19,6.2,6.0,6.08
869,2020-10-23,6.29,6.4,6.18,6.3
868,2020-10-22,6.1,6.39,6.04,6.26
867,2020-10-21,6.32,6.37,6.05,6.05
866,2020-10-20,6.23,6.42,6.23,6.36
865,2020-10-19,6.3,6.52,6.2,6.21
864,2020-10-16,6.47,6.57,6.26,6.28
863,2020-10-15,6.34,6.56,6.25,6.55
862,2020-10-14,6.4,6.63,6.4,6.47
861,2020-10-13,6.5,6.57,6.35,6.4
860,2020-10-12,6.47,6.56,6.35,6.52
859,2020-10-09,6.63,6.65,6.48,6.49
858,2020-10-08,6.51,6.68,6.51,6.63
857,2020-10-07,6.47,6.54,6.37,6.42
856,2020-10-06,6.75,6.765,6.42,6.44
855,2020-10-05,6.52,6.72,6.48,6.67
854,2020-10-02,6.26,6.52,6.22,6.45
853,2020-10-01,6.26,6.5,6.245,6.49
852,2020-09-30,6.6,6.67,6.25,6.34
851,2020-09-29,6.41,6.59,6.3,6.58
850,2020-09-28,6.28,6.61,6.28,6.46
849,2020-09-25,6.19,6.27,6.095,6.18
848,2020-09-24,6.2,6.42,6.1,6.21
847,2020-09-23,6.46,6.5,6.15,6.21
846,2020-09-22,6.6,6.67,6.22,6.46
845,2020-09-21,6.51,6.62,6.33,6.61
844,2020-09-18,6.98,7.09,6.67,6.7
843,2020-09-17,6.85,7.04,6.765,6.96
842,2020-09-16,6.65,7.04,6.54,6.96
841,2020-09-15,6.57,6.8041,6.55,6.56
840,2020-09-14,6.65,6.6546,6.39,6.56
839,2020-09-11,6.94,6.94,6.6,6.64
838,2020-09-10,7.24,7.26,6.9,6.91
837,2020-09-09,7.38,7.51,7.21,7.24
836,2020-09-08,7.42,7.52,7.17,7.33
835,2020-09-04,7.72,7.735,7.47,7.57
834,2020-09-03,7.56,7.715,7.45,7.57
833,2020-09-02,7.7,7.75,7.6,7.63
832,2020-09-01,7.84,7.85,7.64,7.74
831,2020-08-31,7.99,7.99,7.72,7.78
830,2020-08-28,7.82,8.03,7.71,8.01
829,2020-08-27,7.81,7.8499,7.685,7.76
828,2020-08-26,7.91,7.91,7.72,7.78
827,2020-08-25,7.95,8.04,7.74,7.83
826,2020-08-24,7.62,7.92,7.53,7.89
825,2020-08-21,7.57,7.62,7.4,7.51
824,2020-08-20,7.6,7.72,7.46,7.65
823,2020-08-19,7.78,7.87,7.72,7.75
822,2020-08-18,8.0,8.04,7.72,7.81
821,2020-08-17,8.03,8.11,7.89,8.05
820,2020-08-14,7.89,8.15,7.84,8.08
819,2020-08-13,7.95,8.09,7.9,8.0
818,2020-08-12,8.27,8.27,8.01,8.2
817,2020-08-11,8.25,8.43,8.02,8.1
816,2020-08-10,7.87,8.14,7.85,8.11
815,2020-08-07,7.59,7.845,7.4648,7.83
814,2020-08-06,7.8,7.82,7.57,7.61
813,2020-08-05,7.41,7.75,7.4,7.74
812,2020-08-04,7.37,7.43,7.2599,7.3
811,2020-08-03,7.26,7.46,7.2,7.39
810,2020-07-31,7.21,7.44,6.85,7.26
809,2020-07-30,7.54,7.79,7.33,7.63
808,2020-07-29,7.6,7.79,7.44,7.77
807,2020-07-28,7.8,7.86,7.55,7.58
806,2020-07-27,7.92,8.05,7.77,7.84
805,2020-07-24,7.99,8.1399,7.77,7.89
804,2020-07-23,7.65,8.0,7.61,7.99
803,2020-07-22,7.52,7.75,7.33,7.67
802,2020-07-21,7.13,7.66,7.115,7.62
801,2020-07-20,7.06,7.2,6.93,6.99
800,2020-07-17,7.28,7.375,7.13,7.18
799,2020-07-16,7.34,7.41,7.14,7.24
798,2020-07-15,7.39,7.476,7.19,7.37
