,Date,Open,High,Low,Close
239,2020-12-14,16.75,16.75,15.6,15.81
238,2020-12-11,16.47,17.3,15.6,16.5
237,2020-12-10,16.45,17.1,16.16,16.89
236,2020-12-09,17.65,17.7399,15.32,16.92
235,2020-12-08,16.8495,17.98,16.46,16.74
234,2020-12-07,16.2,17.99,15.75,16.65
233,2020-12-04,14.36,16.2,14.3,15.75
232,2020-12-03,14.11,14.95,13.7,14.75
231,2020-12-02,12.51,13.55,12.25,13.5
230,2020-12-01,13.59,14.29,12.4,13.32
229,2020-11-30,13.89,14.39,12.28,13.34
228,2020-11-27,12.49,13.84,12.4,13.2
227,2020-11-25,10.75,11.87,10.72,11.86
226,2020-11-24,10.89,10.9,10.6647,10.75
225,2020-11-23,10.77,10.92,10.69,10.7
224,2020-11-20,10.98,11.18,10.69,10.77
223,2020-11-19,10.74,10.95,10.6,10.89
222,2020-11-18,10.5,10.74,10.45,10.7
221,2020-11-17,10.5,10.53,10.26,10.5
220,2020-11-16,10.4448,10.53,10.35,10.47
219,2020-11-13,10.2,10.36,10.15,10.34
218,2020-11-12,10.08,10.14,10.06,10.13
217,2020-11-11,10.17,10.17,10.07,10.08
216,2020-11-10,10.2,10.2,10.05,10.125
215,2020-11-09,10.35,10.5,10.02,10.11
214,2020-11-06,10.15,10.24,10.11,10.15
213,2020-11-05,10.16,10.24,10.07,10.24
212,2020-11-04,10.12,10.24,10.1,10.17
211,2020-11-03,10.11,10.2,10.05,10.17
210,2020-11-02,10.0,10.19,10.0,10.07
209,2020-10-30,10.1226,10.14,9.97,10.1
208,2020-10-29,10.2,10.2,10.09,10.16
207,2020-10-28,10.1,10.25,10.06,10.2
206,2020-10-27,10.26,10.38,10.22,10.25
205,2020-10-26,10.42,10.4215,10.1,10.22
204,2020-10-23,10.5,10.59,10.35,10.4
203,2020-10-22,10.72,10.74,10.3974,10.48
202,2020-10-21,10.89,10.97,10.55,10.56
201,2020-10-20,10.71,11.02,10.6305,10.67
200,2020-10-19,10.725,10.75,10.55,10.7
199,2020-10-16,10.52,10.64,10.41,10.61
198,2020-10-15,10.6,10.6,10.37,10.45
197,2020-10-14,10.5,10.5,10.35,10.4
196,2020-10-13,10.6,10.62,10.4,10.5
195,2020-10-12,10.51,10.75,10.45,10.64
194,2020-10-09,10.595,10.64,10.39,10.39
193,2020-10-08,10.39,10.58,10.3,10.58
192,2020-10-07,10.34,10.5,10.16,10.29
191,2020-10-06,10.03,10.8799,10.0,10.29
190,2020-10-05,10.27,10.75,10.27,10.28
189,2020-10-02,10.19,10.28,10.19,10.28
188,2020-10-01,10.09,10.2,10.055,10.2
187,2020-09-30,10.09,10.1,10.05,10.08
186,2020-09-29,10.02,10.05,10.02,10.05
185,2020-09-28,9.99,10.02,9.93,10.01
184,2020-09-25,9.92,10.01,9.91,10.01
183,2020-09-24,9.95,9.95,9.95,9.95
182,2020-09-23,9.93,9.95,9.92,9.95
181,2020-09-22,9.93,9.99,9.92,9.99
180,2020-09-21,9.92,10.04,9.92,10.02
179,2020-09-18,9.99,10.04,9.99,10.04
178,2020-09-17,9.965,9.965,9.965,9.965
177,2020-09-16,9.97,9.97,9.97,9.97
176,2020-09-15,9.9,10.0,9.9,9.91
175,2020-09-14,9.93,9.93,9.89,9.8955
174,2020-09-11,9.93,9.93,9.93,9.93
173,2020-09-10,9.93,9.93,9.93,9.93
