,Date,Open,High,Low,Close
1105,2020-12-14,3.51,3.618,3.51,3.58
1104,2020-12-11,3.6416,3.6416,3.565,3.59
1103,2020-12-10,3.67,3.67,3.585,3.59
1102,2020-12-09,3.6,3.72,3.55,3.615
1101,2020-12-08,3.9,3.925,3.4901,3.725
1100,2020-12-07,3.69,3.69,3.412,3.65
1099,2020-12-04,3.63,3.63,3.315,3.605
1098,2020-12-03,3.53,3.73,3.27,3.35
1097,2020-12-02,3.29,3.622,3.12,3.46
1096,2020-12-01,3.34,3.34,3.11,3.25
1095,2020-11-30,2.94,3.405,2.94,3.23
1094,2020-11-27,2.9,2.94,2.9,2.92
1093,2020-11-25,2.9,2.95,2.76,2.89
1092,2020-11-24,2.9,2.95,2.9,2.92
1091,2020-11-23,2.95,2.99,2.9,2.91
1090,2020-11-20,2.71,2.95,2.65,2.95
1089,2020-11-19,2.675,2.78,2.675,2.78
1088,2020-11-18,2.77,2.77,2.65,2.7
1087,2020-11-17,2.65,2.78,2.65,2.73
1086,2020-11-16,2.65,2.83,2.61,2.67
1085,2020-11-13,2.6839,2.7113,2.62,2.65
1084,2020-11-12,2.6822,2.6822,2.6299,2.66
1083,2020-11-11,2.64,2.7,2.6,2.65
1082,2020-11-10,2.5532,2.64,2.55,2.59
1081,2020-11-09,2.6,2.6487,2.49,2.56
1080,2020-11-06,2.57,2.63,2.36,2.37
1079,2020-11-05,2.4003,2.4899,2.4003,2.465
1078,2020-11-04,2.36,2.42,2.36,2.42
1077,2020-11-03,2.46,2.46,2.32,2.39
1076,2020-11-02,2.45,2.4619,2.41,2.4184
1075,2020-10-30,2.5101,2.5115,2.48,2.48
1074,2020-10-29,2.52,2.5733,2.5,2.544
1073,2020-10-28,2.55,2.57,2.49,2.545
1072,2020-10-27,2.6,2.6695,2.59,2.59
1071,2020-10-26,2.8,2.8,2.63,2.65
1070,2020-10-23,3.0093,3.0093,2.7,2.77
1069,2020-10-22,2.85,3.03,2.8412,2.89
1068,2020-10-21,2.77,2.83,2.75,2.83
1067,2020-10-20,2.8999,2.9,2.65,2.7863
1066,2020-10-19,2.89,2.89,2.7133,2.85
1065,2020-10-16,2.78,2.9,2.7117,2.85
1064,2020-10-15,2.65,2.78,2.65,2.78
1063,2020-10-14,2.82,2.82,2.6844,2.73
1062,2020-10-13,2.93,2.93,2.75,2.75
1061,2020-10-12,2.81,3.1099,2.7739,2.96
1060,2020-10-09,2.63,2.81,2.63,2.81
1059,2020-10-08,2.5,2.65,2.5,2.63
1058,2020-10-07,2.46,2.54,2.445,2.5
1057,2020-10-06,2.695,2.695,2.52,2.52
1056,2020-10-05,2.48,2.75,2.46,2.49
1055,2020-10-02,2.56,2.56,2.43,2.495
1054,2020-10-01,2.51,2.69,2.49,2.54
1053,2020-09-30,2.55,2.68,2.38,2.52
1052,2020-09-29,2.575,2.595,2.55,2.595
1051,2020-09-28,2.5431,2.7,2.5,2.53
1050,2020-09-25,2.5299,2.7,2.43,2.62
1049,2020-09-24,2.6478,2.6478,2.46,2.54
1048,2020-09-23,2.61,2.6498,2.51,2.5107
1047,2020-09-22,2.4583,2.765,2.4583,2.68
1046,2020-09-21,2.55,2.55,2.44,2.44
1045,2020-09-18,2.535,2.58,2.45,2.58
1044,2020-09-17,2.53,2.53,2.479,2.52
1043,2020-09-16,2.6113,2.64,2.58,2.58
1042,2020-09-15,2.75,2.775,2.65,2.6502
1041,2020-09-14,2.83,2.83,2.6,2.69
1040,2020-09-11,2.83,2.83,2.75,2.75
1039,2020-09-10,2.59,2.79,2.57,2.79
1038,2020-09-09,2.55,2.61,2.51,2.59
1037,2020-09-08,2.53,2.545,2.43,2.545
1036,2020-09-04,2.52,2.64,2.42,2.5
1035,2020-09-03,2.62,2.6418,2.52,2.52
1034,2020-09-02,2.63,2.64,2.55,2.575
1033,2020-09-01,2.6,2.7356,2.6,2.6627
1032,2020-08-31,2.71,2.71,2.56,2.65
1031,2020-08-28,2.61,2.75,2.61,2.65
1030,2020-08-27,2.735,2.7499,2.6,2.67
1029,2020-08-26,2.8,2.8,2.745,2.7788
1028,2020-08-25,2.71,2.7905,2.71,2.7905
1027,2020-08-24,2.79,2.79,2.72,2.7202
1026,2020-08-21,2.78,2.85,2.71,2.78
1025,2020-08-20,2.9685,2.9685,2.81,2.81
1024,2020-08-19,3.05,3.09,2.93,2.98
1023,2020-08-18,3.1867,3.1867,2.98,3.02
1022,2020-08-17,3.04,3.14,3.04,3.08
1021,2020-08-14,3.12,3.151,3.05,3.07
1020,2020-08-13,3.15,3.15,3.04,3.06
1019,2020-08-12,3.05,3.15,3.02,3.1
1018,2020-08-11,3.2,3.395,3.0349,3.0349
1017,2020-08-10,3.06,3.75,3.0558,3.2
1016,2020-08-07,2.935,3.02,2.9,3.0
1015,2020-08-06,3.1015,3.1015,2.88,2.88
1014,2020-08-05,3.22,3.3,3.06,3.06
1013,2020-08-04,3.0,4.17,2.98,3.1
1012,2020-08-03,2.93,3.0,2.81,2.96
1011,2020-07-31,2.9346,3.05,2.91,2.91
1010,2020-07-30,2.764,3.03,2.764,2.94
1009,2020-07-29,2.9,2.9,2.77,2.77
1008,2020-07-28,2.9,2.9523,2.86,2.86
1007,2020-07-27,2.87,3.015,2.86,2.9
1006,2020-07-24,2.85,2.95,2.8001,2.86
1005,2020-07-23,2.955,2.97,2.76,2.83
1004,2020-07-22,2.96,2.98,2.9038,2.98
1003,2020-07-21,2.95,2.98,2.92,2.98
1002,2020-07-20,3.0,3.04,2.955,2.97
1001,2020-07-17,3.0,3.0,2.947,2.98
1000,2020-07-16,2.895,3.01,2.89,3.0
999,2020-07-15,2.904,3.02,2.82,3.0
998,2020-07-14,2.95,3.0,2.9,2.92
997,2020-07-13,2.815,2.89,2.74,2.89
996,2020-07-10,2.76,2.85,2.64,2.85
995,2020-07-09,2.86,2.918,2.77,2.87
994,2020-07-08,3.0,3.0,2.83,2.94
993,2020-07-07,3.02,3.09,2.91,2.93
992,2020-07-06,3.01,3.05,2.94,2.985
991,2020-07-02,3.05,3.16,2.927,3.01
990,2020-07-01,3.07,3.21,3.07,3.19
989,2020-06-30,3.09,3.15,2.94,3.06
988,2020-06-29,3.18,3.27,3.1,3.15
987,2020-06-26,3.07,3.37,2.9453,3.25
986,2020-06-25,2.975,3.0,2.94,2.98
985,2020-06-24,2.98,3.1001,2.68,2.81
984,2020-06-23,3.05,3.06,2.97,2.97
983,2020-06-22,2.995,3.19,2.98,2.99
982,2020-06-19,3.0191,3.1,2.97,3.05
981,2020-06-18,3.09,3.09,3.0201,3.09
980,2020-06-17,3.15,3.16,3.0,3.09
979,2020-06-16,2.93,3.13,2.93,3.13
978,2020-06-15,2.98,3.06,2.75,2.92
977,2020-06-12,3.05,3.19,2.98,3.02
976,2020-06-11,2.95,3.11,2.91,3.01
975,2020-06-10,3.01,3.13,2.95,3.0
974,2020-06-09,3.1,3.162,2.9501,3.0
973,2020-06-08,3.11,3.15,3.0,3.09
972,2020-06-05,3.09,3.185,2.98,3.0
971,2020-06-04,3.09,3.09,2.97,3.0
970,2020-06-03,3.16,3.16,2.8704,3.0
969,2020-06-02,3.0,3.17,2.86,3.05
968,2020-06-01,2.85,3.49,2.64,2.81
967,2020-05-29,2.25,2.45,2.24,2.39
966,2020-05-28,2.43,2.44,2.28,2.28
965,2020-05-27,2.04,2.436,2.04,2.3664
964,2020-05-26,2.2,2.2,2.01,2.04
963,2020-05-22,2.08,2.19,2.05,2.1
962,2020-05-21,2.12,2.14,2.01,2.03
961,2020-05-20,2.11,2.11,1.95,2.09
960,2020-05-19,2.05,2.18,2.0,2.11
959,2020-05-18,1.88,2.3264,1.88,2.1
958,2020-05-15,1.83,1.92,1.83,1.88
957,2020-05-14,1.79,1.89,1.7603,1.83
956,2020-05-13,2.17,2.205,1.79,1.93
955,2020-05-12,2.3625,2.3625,2.0,2.06
954,2020-05-11,2.39,2.43,2.25,2.25
