,Date,Open,High,Low,Close
5314,2020-12-14,7.8,7.99,7.73,7.91
5313,2020-12-11,7.97,7.98,7.85,7.96
5312,2020-12-10,7.76,7.94,7.531,7.92
5311,2020-12-09,8.0,8.0,7.75,7.79
5310,2020-12-08,7.83,7.97,7.79,7.97
5309,2020-12-07,7.96,7.96,7.75,7.86
5308,2020-12-04,7.82,8.0,7.79,7.95
5307,2020-12-03,7.69,7.82,7.6124,7.8
5306,2020-12-02,7.71,7.84,7.45,7.6
5305,2020-12-01,7.96,7.96,7.74,7.81
5304,2020-11-30,8.0,8.0,7.515,7.82
5303,2020-11-27,7.98,8.0,7.64,7.9
5302,2020-11-25,7.85,7.94,7.44,7.81
5301,2020-11-24,7.93,7.93,7.4845,7.85
5300,2020-11-23,8.06,8.11,7.87,7.93
5299,2020-11-20,7.42,8.03,7.42,7.87
5298,2020-11-19,7.55,7.6,7.2117,7.55
5297,2020-11-18,7.4,7.67,7.3152,7.39
5296,2020-11-17,7.14,7.44,7.07,7.39
5295,2020-11-16,6.83,7.41,6.66,7.02
5294,2020-11-13,6.75,6.805,6.52,6.53
5293,2020-11-12,6.84,6.93,6.63,6.73
5292,2020-11-11,6.71,6.85,6.51,6.85
5291,2020-11-10,6.0,7.015,5.77,6.68
5290,2020-11-09,5.54,5.78,5.35,5.55
5289,2020-11-06,5.44,5.55,5.35,5.37
5288,2020-11-05,5.2,5.48,5.2,5.4
5287,2020-11-04,5.3,5.41,5.19,5.2
5286,2020-11-03,5.3,5.63,5.25,5.42
5285,2020-11-02,5.32,5.38,5.15,5.24
5284,2020-10-30,5.3,5.34,5.15,5.25
5283,2020-10-29,5.2,5.34,5.1,5.27
5282,2020-10-28,5.1,5.35,5.05,5.21
5281,2020-10-27,5.14,5.42,5.13,5.22
5280,2020-10-26,5.15,5.28,5.11,5.14
5279,2020-10-23,5.21,5.3325,5.17,5.2
5278,2020-10-22,5.28,5.34,5.18,5.23
5277,2020-10-21,5.15,5.37,5.14,5.21
5276,2020-10-20,5.31,5.32,5.07,5.12
5275,2020-10-19,5.25,5.35,5.25,5.32
5274,2020-10-16,5.27,5.42,5.2301,5.25
5273,2020-10-15,4.85,5.33,4.85,5.29
5272,2020-10-14,4.85,4.87,4.75,4.82
5271,2020-10-13,4.8,4.935,4.75,4.85
5270,2020-10-12,4.95,4.95,4.76,4.83
5269,2020-10-09,4.99,5.02,4.94,4.97
5268,2020-10-08,5.39,5.39,4.95,4.98
5267,2020-10-07,5.15,5.42,5.12,5.28
5266,2020-10-06,5.18,5.4,5.14,5.14
5265,2020-10-05,5.27,5.33,5.095,5.13
5264,2020-10-02,5.09,5.35,5.06,5.22
5263,2020-10-01,5.23,5.35,5.18,5.23
5262,2020-09-30,5.41,5.53,5.21,5.25
5261,2020-09-29,5.57,5.63,5.44,5.45
5260,2020-09-28,5.48,5.67,5.48,5.62
5259,2020-09-25,5.15,5.43,5.15,5.37
5258,2020-09-24,5.19,5.515,5.11,5.2
5257,2020-09-23,5.25,5.38,5.0493,5.14
5256,2020-09-22,5.45,5.51,5.25,5.25
5255,2020-09-21,5.73,5.75,5.41,5.47
5254,2020-09-18,5.91,5.965,5.7,5.82
5253,2020-09-17,5.68,5.86,5.64,5.81
5252,2020-09-16,5.87,5.89,5.68,5.7
5251,2020-09-15,5.79,5.85,5.75,5.81
5250,2020-09-14,5.67,5.84,5.65,5.75
5249,2020-09-11,5.44,5.71,5.33,5.61
5248,2020-09-10,4.99,5.6,4.98,5.4
5247,2020-09-09,4.96,5.085,4.96,5.01
5246,2020-09-08,4.95,5.07,4.95,5.04
5245,2020-09-04,5.14,5.14,4.93,4.96
5244,2020-09-03,5.55,5.64,5.1,5.12
5243,2020-09-02,5.17,5.43,5.17,5.43
5242,2020-09-01,4.96,5.2,4.96,5.17
5241,2020-08-31,5.36,5.36,4.98,5.0
5240,2020-08-28,5.22,5.41,5.209,5.41
5239,2020-08-27,5.14,5.2,5.13,5.14
5238,2020-08-26,5.21,5.225,5.045,5.13
5237,2020-08-25,5.06,5.2,5.0484,5.18
5236,2020-08-24,5.11,5.11,5.01,5.07
5235,2020-08-21,5.18,5.195,5.1,5.1
5234,2020-08-20,5.17,5.23,5.15,5.18
5233,2020-08-19,5.23,5.32,5.19,5.21
5232,2020-08-18,5.31,5.31,5.17,5.23
5231,2020-08-17,5.02,5.28,4.99,5.25
5230,2020-08-14,5.09,5.2,4.96,4.98
5229,2020-08-13,4.98,5.18,4.98,5.06
5228,2020-08-12,5.2,5.2,4.8706,4.95
5227,2020-08-11,5.25,5.47,5.09,5.12
5226,2020-08-10,5.1,5.27,5.04,5.16
5225,2020-08-07,5.01,5.1172,5.0,5.02
5224,2020-08-06,5.09,5.09,4.93,5.03
5223,2020-08-05,5.1,5.1,4.88,5.03
5222,2020-08-04,5.0,5.14,5.0,5.09
5221,2020-08-03,4.97,5.065,4.94,4.98
5220,2020-07-31,5.04,5.04,4.66,4.88
5219,2020-07-30,4.94,5.07,4.89,5.0
5218,2020-07-29,4.9,5.11,4.9,4.96
5217,2020-07-28,4.75,4.91,4.75,4.85
5216,2020-07-27,4.68,4.75,4.6697,4.75
5215,2020-07-24,4.74,4.89,4.68,4.73
5214,2020-07-23,4.75,4.84,4.72,4.77
5213,2020-07-22,4.93,4.96,4.74,4.78
5212,2020-07-21,4.85,5.03,4.82,4.95
5211,2020-07-20,5.07,5.07,4.83,4.84
5210,2020-07-17,5.05,5.2,4.98,5.08
5209,2020-07-16,4.95,5.06,4.91,5.06
5208,2020-07-15,5.0,5.24,4.91,4.98
5207,2020-07-14,4.82,4.93,4.27,4.87
5206,2020-07-13,4.93,5.0,4.71,4.78
5205,2020-07-10,4.6,4.94,4.6,4.93
5204,2020-07-09,4.88,4.88,4.51,4.63
5203,2020-07-08,5.06,5.1,4.84,4.86
5202,2020-07-07,5.1,5.1,5.03,5.06
5201,2020-07-06,5.21,5.28,5.01,5.15
5200,2020-07-02,5.2,5.32,5.09,5.24
5199,2020-07-01,5.0,5.08,4.9,5.06
5198,2020-06-30,4.93,5.12,4.93,5.08
5197,2020-06-29,4.98,5.1,4.85,4.97
5196,2020-06-26,4.96,4.96,4.63,4.87
5195,2020-06-25,4.75,5.0,4.67,4.99
5194,2020-06-24,4.88,4.88,4.6,4.77
5193,2020-06-23,5.2,5.2,4.89,4.94
5192,2020-06-22,4.95,5.13,4.83,5.09
5191,2020-06-19,4.88,5.02,4.82,4.97
5190,2020-06-18,4.76,5.01,4.76,4.82
5189,2020-06-17,5.05,5.1,4.79,4.84
5188,2020-06-16,5.1,5.1,4.66,5.07
5187,2020-06-15,4.55,5.2,4.55,4.99
5186,2020-06-12,4.77,4.85,4.55,4.85
