,Date,Open,High,Low,Close
2366,2020-12-14,5.09,5.17,4.94,4.94
2365,2020-12-11,5.34,5.39,4.98,5.02
2364,2020-12-10,5.37,5.47,5.32,5.4
2363,2020-12-09,5.56,5.635,5.3,5.38
2362,2020-12-08,5.36,5.55,5.24,5.53
2361,2020-12-07,5.16,5.415,5.11,5.36
2360,2020-12-04,4.86,5.21,4.855,5.19
2359,2020-12-03,4.9,4.9,4.75,4.78
2358,2020-12-02,4.61,4.87,4.58,4.87
2357,2020-12-01,4.52,4.81,4.52,4.65
2356,2020-11-30,4.75,4.8,4.48,4.5
2355,2020-11-27,4.71,4.815,4.71,4.81
2354,2020-11-25,4.79,4.85,4.7,4.75
2353,2020-11-24,4.84,4.87,4.71,4.83
2352,2020-11-23,4.54,4.79,4.54,4.74
2351,2020-11-20,4.27,4.49,4.27,4.48
2350,2020-11-19,4.38,4.42,4.175,4.31
2349,2020-11-18,4.31,4.57,4.3,4.43
2348,2020-11-17,4.07,4.35,4.05,4.28
2347,2020-11-16,4.0,4.22,3.98,4.14
2346,2020-11-13,3.61,3.975,3.6,3.88
2345,2020-11-12,3.55,3.695,3.525,3.58
2344,2020-11-11,3.74,3.74,3.58,3.6
2343,2020-11-10,3.63,3.74,3.585,3.7
2342,2020-11-09,3.62,3.85,3.57,3.59
2341,2020-11-06,3.42,3.51,3.35,3.35
2340,2020-11-05,3.4,3.54,3.36,3.44
2339,2020-11-04,3.66,3.7309,3.35,3.4
2338,2020-11-03,3.74,3.8,3.665,3.75
2337,2020-11-02,3.54,3.68,3.51,3.65
2336,2020-10-30,3.71,3.725,3.465,3.49
2335,2020-10-29,3.52,3.72,3.38,3.71
2334,2020-10-28,3.71,3.79,3.505,3.52
2333,2020-10-27,3.97,3.97,3.68,3.72
2332,2020-10-26,4.02,4.045,3.89,3.97
2331,2020-10-23,3.78,4.085,3.78,4.07
2330,2020-10-22,3.78,3.82,3.68,3.77
2329,2020-10-21,3.8,3.89,3.7399,3.74
2328,2020-10-20,3.71,3.81,3.68,3.77
2327,2020-10-19,3.77,3.81,3.645,3.7
2326,2020-10-16,3.88,3.92,3.76,3.76
2325,2020-10-15,3.83,3.9499,3.715,3.9
2324,2020-10-14,3.69,3.97,3.69,3.89
2323,2020-10-13,3.67,3.7,3.57,3.65
2322,2020-10-12,3.64,3.76,3.57,3.71
2321,2020-10-09,3.83,3.83,3.56,3.6
2320,2020-10-08,3.58,3.725,3.56,3.71
2319,2020-10-07,3.5,3.57,3.44,3.53
2318,2020-10-06,3.71,3.72,3.44,3.45
2317,2020-10-05,3.52,3.69,3.515,3.63
2316,2020-10-02,3.3,3.52,3.27,3.49
2315,2020-10-01,3.41,3.45,3.29,3.36
2314,2020-09-30,3.47,3.57,3.41,3.42
2313,2020-09-29,3.52,3.531,3.395,3.49
2312,2020-09-28,3.43,3.55,3.4,3.5
2311,2020-09-25,3.42,3.4584,3.35,3.38
2310,2020-09-24,3.55,3.63,3.46,3.49
2309,2020-09-23,3.6,3.71,3.525,3.53
2308,2020-09-22,3.67,3.75,3.59,3.6
2307,2020-09-21,3.91,3.935,3.6,3.67
2306,2020-09-18,3.65,4.19,3.63,4.0
2305,2020-09-17,3.43,3.67,3.37,3.61
2304,2020-09-16,3.45,3.58,3.41,3.47
2303,2020-09-15,3.3,3.48,3.3,3.38
2302,2020-09-14,3.39,3.4443,3.18,3.27
2301,2020-09-11,3.35,3.47,3.33,3.37
2300,2020-09-10,3.38,3.44,3.3102,3.33
2299,2020-09-09,3.5,3.5,3.35,3.4
2298,2020-09-08,3.59,3.59,3.41,3.47
2297,2020-09-04,3.52,3.66,3.5001,3.64
2296,2020-09-03,3.43,3.525,3.387,3.48
2295,2020-09-02,3.43,3.52,3.3227,3.43
2294,2020-09-01,3.58,3.58,3.34,3.42
2293,2020-08-31,3.41,3.64,3.36,3.58
2292,2020-08-28,3.25,3.36,3.23,3.34
2291,2020-08-27,3.22,3.25,3.105,3.23
2290,2020-08-26,3.11,3.21,3.0777,3.18
2289,2020-08-25,3.2,3.26,3.07,3.11
2288,2020-08-24,3.13,3.21,3.06,3.21
2287,2020-08-21,3.09,3.09,3.0,3.06
2286,2020-08-20,3.19,3.23,3.1,3.13
2285,2020-08-19,3.38,3.45,3.19,3.24
2284,2020-08-18,3.38,3.41,3.32,3.39
2283,2020-08-17,3.43,3.48,3.33,3.39
2282,2020-08-14,3.3,3.47,3.29,3.47
2281,2020-08-13,3.43,3.46,3.33,3.34
2280,2020-08-12,3.49,3.54,3.26,3.48
2279,2020-08-11,3.53,3.63,3.39,3.42
2278,2020-08-10,3.17,3.51,3.17,3.4
2277,2020-08-07,3.04,3.15,2.965,3.15
2276,2020-08-06,3.16,3.215,3.04,3.04
2275,2020-08-05,3.3,3.39,3.12,3.13
2274,2020-08-04,3.36,3.45,3.2,3.24
2273,2020-08-03,3.39,3.63,3.1777,3.35
2272,2020-07-31,3.19,3.22,3.1,3.19
2271,2020-07-30,3.15,3.26,3.105,3.22
2270,2020-07-29,3.16,3.24,3.12,3.23
2269,2020-07-28,3.26,3.31,3.14,3.16
2268,2020-07-27,3.22,3.29,3.16,3.29
2267,2020-07-24,3.21,3.3,3.16,3.22
2266,2020-07-23,3.1,3.2599,3.1,3.25
2265,2020-07-22,3.02,3.18,3.01,3.11
2264,2020-07-21,3.03,3.14,3.0,3.07
2263,2020-07-20,3.0,3.04,2.95,2.98
2262,2020-07-17,2.98,3.06,2.95,3.05
2261,2020-07-16,2.97,3.05,2.94,2.98
2260,2020-07-15,3.05,3.05,2.94,2.99
2259,2020-07-14,2.86,3.02,2.83,2.95
2258,2020-07-13,3.06,3.09,2.86,2.89
2257,2020-07-10,2.74,3.0,2.73,3.0
2256,2020-07-09,2.77,2.83,2.71,2.76
2255,2020-07-08,2.83,2.83,2.73,2.79
2254,2020-07-07,2.89,2.92,2.82,2.84
2253,2020-07-06,2.76,2.94,2.76,2.93
2252,2020-07-02,3.05,3.06,2.65,2.68
2251,2020-07-01,2.98,3.1,2.9,2.93
2250,2020-06-30,2.86,3.01,2.85,2.96
2249,2020-06-29,2.76,3.045,2.76,2.93
2248,2020-06-26,2.91,2.93,2.71,2.72
2247,2020-06-25,3.0,3.01,2.82,2.95
2246,2020-06-24,3.09,3.13,2.96,3.02
2245,2020-06-23,3.29,3.34,3.02,3.14
2244,2020-06-22,2.9,3.25,2.89,3.24
2243,2020-06-19,2.86,2.92,2.71,2.9
2242,2020-06-18,2.96,2.98,2.78,2.82
2241,2020-06-17,3.3,3.3,2.95,2.99
2240,2020-06-16,3.48,3.48,3.19,3.26
2239,2020-06-15,3.02,3.34,2.97,3.3
2238,2020-06-12,3.33,3.34,3.02,3.16
2237,2020-06-11,3.35,3.56,3.14,3.15
2236,2020-06-10,4.15,4.17,3.61,3.62
2235,2020-06-09,4.24,4.27,4.05,4.15
2234,2020-06-08,4.02,4.36,4.02,4.3
2233,2020-06-05,3.75,3.99,3.69,3.97
2232,2020-06-04,3.5,3.65,3.44,3.64
2231,2020-06-03,3.35,3.6,3.35,3.49
2230,2020-06-02,3.31,3.4,3.23,3.24
2229,2020-06-01,3.45,3.5,3.24,3.24
2228,2020-05-29,3.42,3.53,3.34,3.41
2227,2020-05-28,3.5,3.67,3.43,3.5
2226,2020-05-27,3.25,3.48,3.15,3.46
2225,2020-05-26,3.13,3.19,3.01,3.17
2224,2020-05-22,3.19,3.19,2.99,3.01
2223,2020-05-21,3.12,3.34,3.06,3.2
2222,2020-05-20,3.05,3.18,3.0,3.16
2221,2020-05-19,3.0,3.15,2.89,3.05
2220,2020-05-18,2.73,3.06,2.71,3.04
2219,2020-05-15,2.61,2.63,2.45,2.58
2218,2020-05-14,2.52,2.68,2.33,2.61
2217,2020-05-13,2.92,2.96,2.58,2.61
2216,2020-05-12,3.03,3.1,2.91,2.91
2215,2020-05-11,3.39,3.4,2.92,3.13
2214,2020-05-08,2.96,3.66,2.96,3.57
2213,2020-05-07,2.81,3.03,2.81,2.86
2212,2020-05-06,3.07,3.12,2.79,2.8
2211,2020-05-05,3.16,3.32,3.04,3.05
2210,2020-05-04,3.08,3.26,3.0,3.09
2209,2020-05-01,3.12,3.23,3.06,3.16
2208,2020-04-30,3.23,3.23,3.0,3.15
2207,2020-04-29,3.0,3.35,2.99,3.25
2206,2020-04-28,2.72,2.9,2.63,2.85
2205,2020-04-27,2.65,2.65,2.5,2.61
2204,2020-04-24,2.72,2.73,2.43,2.66
2203,2020-04-23,2.66,2.83,2.57,2.72
2202,2020-04-22,2.91,2.96,2.68,2.68
2201,2020-04-21,3.0,3.0,2.8,2.82
2200,2020-04-20,3.12,3.16,3.01,3.03
2199,2020-04-17,3.27,3.33,3.1,3.18
2198,2020-04-16,3.3,3.33,3.01,3.09
2197,2020-04-15,3.2,3.41,3.1,3.29
2196,2020-04-14,3.36,3.59,3.3,3.41
2195,2020-04-13,3.16,3.45,3.1,3.43
2194,2020-04-09,3.93,3.93,3.05,3.06
2193,2020-04-08,3.86,3.94,3.74,3.8
2192,2020-04-07,4.03,4.17,3.62,3.75
2191,2020-04-06,3.83,4.03,3.74,3.9
2190,2020-04-03,3.67,3.88,3.53,3.65
2189,2020-04-02,3.62,3.79,3.48,3.67
2188,2020-04-01,3.7,3.98,3.53,3.62
2187,2020-03-31,3.54,3.93,3.48,3.85
2186,2020-03-30,3.34,3.62,3.2,3.53
2185,2020-03-27,3.4,3.48,3.23,3.32
2184,2020-03-26,3.26,3.6,3.22,3.58
