,Date,Open,High,Low,Close
5314,2020-12-14,7.1342,7.1342,6.75,6.8
5313,2020-12-11,7.0,7.2,6.82,6.96
5312,2020-12-10,6.4,7.295,6.4,7.1
5311,2020-12-09,6.5,6.5826,6.3012,6.44
5310,2020-12-08,6.22,6.5761,6.22,6.36
5309,2020-12-07,6.33,6.46,6.14,6.3
5308,2020-12-04,6.35,6.5,6.13,6.33
5307,2020-12-03,6.26,6.6,6.26,6.34
5306,2020-12-02,6.58,6.75,6.21,6.38
5305,2020-12-01,6.45,6.91,6.3701,6.58
5304,2020-11-30,5.93,6.54,5.83,6.355
5303,2020-11-27,6.0,6.05,5.9,5.9
5302,2020-11-25,6.04,6.085,5.91,6.0
5301,2020-11-24,6.04,6.22,5.85,6.08
5300,2020-11-23,6.34,6.34,5.8,6.04
5299,2020-11-20,6.54,6.54,6.3701,6.4
5298,2020-11-19,7.05,7.08,6.47,6.64
5297,2020-11-18,5.95,7.2,5.95,7.1
5296,2020-11-17,5.93,6.0,5.66,6.0
5295,2020-11-16,5.36,5.9,5.36,5.81
5294,2020-11-13,4.97,5.47,4.81,5.3
5293,2020-11-12,5.35,5.35,4.75,5.0
5292,2020-11-11,5.31,5.725,5.07,5.46
5291,2020-11-10,5.66,5.7591,5.33,5.34
5290,2020-11-09,5.38,5.92,5.38,5.76
5289,2020-11-06,5.72,5.82,5.41,5.41
5288,2020-11-05,5.44,5.97,5.44,5.8
5287,2020-11-04,5.49,5.49,5.23,5.44
5286,2020-11-03,5.3,5.5899,5.19,5.52
5285,2020-11-02,5.19,5.3,5.091,5.3
5284,2020-10-30,5.15,5.23,4.88,5.19
5283,2020-10-29,5.3,5.4699,4.9,5.15
5282,2020-10-28,5.11,5.396,4.96,5.2
5281,2020-10-27,4.01,5.4495,4.01,5.2
5280,2020-10-26,4.01,4.1,4.0,4.09
5279,2020-10-23,4.16,4.2248,4.03,4.05
5278,2020-10-22,4.08,4.2019,4.05,4.13
5277,2020-10-21,3.96,4.1537,3.9,4.01
5276,2020-10-20,4.01,4.05,3.88,3.92
5275,2020-10-19,4.15,4.24,3.96,4.01
5274,2020-10-16,4.1692,4.18,4.0401,4.1
5273,2020-10-15,4.1055,4.1342,4.0666,4.085
5272,2020-10-14,4.185,4.2205,4.08,4.08
5271,2020-10-13,4.31,4.31,4.0533,4.0999
5270,2020-10-12,4.84,4.84,4.27,4.3629
5269,2020-10-09,4.41,4.85,4.41,4.755
5268,2020-10-08,4.1,4.4,4.0601,4.4
5267,2020-10-07,4.01,4.2,4.0005,4.12
5266,2020-10-06,4.95,4.95,3.81,3.98
5265,2020-10-05,5.555,5.6,4.66,4.69
