,Date,Open,High,Low,Close
55,2020-12-14,9.58,9.8,8.0,8.3
54,2020-12-11,8.0814,8.17,7.37,7.51
53,2020-12-10,7.6,7.9377,7.27,7.56
52,2020-12-09,7.0,7.7,7.0,7.655
51,2020-12-08,6.57,7.0,6.57,7.0
50,2020-12-07,6.88,6.95,6.58,6.66
49,2020-12-04,7.04,7.14,6.9,6.92
48,2020-12-03,7.12,7.12,6.855,6.99
47,2020-12-02,7.09,7.25,6.9,6.97
46,2020-12-01,6.7,7.13,6.7,7.13
45,2020-11-30,7.28,7.29,6.52,6.7
44,2020-11-27,7.36,7.54,7.12,7.1201
43,2020-11-25,7.84,8.1634,7.02,7.34
42,2020-11-24,6.15,7.8,6.15,7.33
41,2020-11-23,5.99,6.1,5.89,6.05
40,2020-11-20,5.87,5.9,5.79,5.79
39,2020-11-19,5.85,5.95,5.83,5.9
38,2020-11-18,5.9,6.0,5.88,5.89
37,2020-11-17,5.76,5.9,5.76,5.825
36,2020-11-16,5.8,5.87,5.78,5.82
35,2020-11-13,5.94,5.94,5.7,5.73
34,2020-11-12,5.8,5.95,5.75,5.85
33,2020-11-11,5.94,6.0,5.75,5.94
32,2020-11-10,6.0,6.0,5.7,5.88
31,2020-11-09,5.95,5.95,5.85,5.85
30,2020-11-06,5.65,5.9,5.65,5.84
29,2020-11-05,5.86,6.05,5.61,5.685
28,2020-11-04,5.99,6.02,5.74,5.74
27,2020-11-03,6.0,6.01,5.8,5.87
26,2020-11-02,5.85,6.0,5.6919,5.87
25,2020-10-30,5.9,5.9,5.55,5.8
24,2020-10-29,5.88,6.06,5.7,5.89
23,2020-10-28,6.15,6.15,5.5,5.96
22,2020-10-27,5.7,6.1,5.4,6.05
21,2020-10-26,5.45,5.75,5.35,5.63
20,2020-10-23,5.31,5.35,5.2,5.35
19,2020-10-22,5.09,5.4399,5.09,5.31
18,2020-10-21,5.1,5.36,5.08,5.35
17,2020-10-20,5.01,5.2,5.01,5.1
16,2020-10-19,5.1,5.1,4.9547,5.08
15,2020-10-16,5.37,5.37,4.9201,5.09
14,2020-10-15,5.45,5.45,5.2,5.25
13,2020-10-14,5.05,5.5,5.0,5.26
12,2020-10-13,4.8,5.0,4.7612,5.0
11,2020-10-12,5.16,5.16,4.65,4.72
10,2020-10-09,5.08,5.1,4.6,4.9028
9,2020-10-08,5.19,5.25,4.85,4.88
8,2020-10-07,4.79,5.05,4.76,5.05
7,2020-10-06,4.75,5.05,4.52,4.7
6,2020-10-05,4.35,4.6,4.34,4.53
5,2020-10-02,4.4,4.49,4.39,4.49
4,2020-10-01,4.79,4.79,4.42,4.53
3,2020-09-30,4.62,4.9,4.56,4.71
2,2020-09-29,4.2501,4.97,4.2501,4.73
1,2020-09-28,4.55,4.55,4.05,4.52
0,2020-09-25,5.0,5.4,3.9,4.49
