,Date,Open,High,Low,Close
5314,2020-12-14,76.5,77.26,75.925,76.92
5313,2020-12-11,74.48,76.19,73.7898,75.65
5312,2020-12-10,75.94,76.28,74.98,75.63
5311,2020-12-09,77.97,78.75,75.57,75.77
5310,2020-12-08,78.84,79.25,77.38,77.95
5309,2020-12-07,77.8,78.2,77.14,78.0
5308,2020-12-04,74.58,77.91,74.58,77.91
5307,2020-12-03,72.54,74.73,72.02,74.44
5306,2020-12-02,72.6961,72.85,71.52,72.54
5305,2020-12-01,72.94,73.04,71.99,72.5
5304,2020-11-30,73.56,73.56,71.86,72.5
5303,2020-11-27,72.99,73.39,72.02,73.16
5302,2020-11-25,72.59,73.46,72.1424,72.5
5301,2020-11-24,73.42,74.29,71.94,72.69
5300,2020-11-23,73.34,73.42,72.24,72.93
5299,2020-11-20,71.15,72.875,70.969,72.61
5298,2020-11-19,71.13,72.19,70.915,72.19
5297,2020-11-18,72.01,72.34,70.12,71.56
5296,2020-11-17,68.67,73.25,68.67,72.1
5295,2020-11-16,71.82,72.9069,69.78,71.21
5294,2020-11-13,72.13,73.7081,71.17,71.48
5293,2020-11-12,74.73,74.73,70.725,71.98
5292,2020-11-11,74.12,75.33,72.77,75.33
5291,2020-11-10,74.32,76.7,73.48,74.4
5290,2020-11-09,75.75,75.75,72.05,73.72
5289,2020-11-06,72.0,74.58,70.0,71.875
5288,2020-11-05,76.0,78.0,75.82,76.8
5287,2020-11-04,74.16,76.17,74.16,76.17
5286,2020-11-03,76.12,76.89,74.09,74.71
5285,2020-11-02,74.38,75.37,73.77,75.37
5284,2020-10-30,74.13,75.12,73.13,73.79
5283,2020-10-29,73.97,75.48,73.76,74.75
5282,2020-10-28,74.47,74.85,73.66,74.54
5281,2020-10-27,75.25,76.46,75.25,75.69
5280,2020-10-26,76.37,76.37,75.26,75.53
5279,2020-10-23,76.49,78.0,76.49,76.92
5278,2020-10-22,76.79,77.13,75.5001,76.45
5277,2020-10-21,76.54,77.06,76.03,76.28
5276,2020-10-20,76.49,77.2,75.615,76.04
5275,2020-10-19,74.81,76.89,74.81,75.96
5274,2020-10-16,74.36,75.65,74.18,75.1
5273,2020-10-15,73.21,75.12,72.53,74.87
5272,2020-10-14,76.0,76.0,73.45,73.57
5271,2020-10-13,73.15,75.93,73.15,75.61
5270,2020-10-12,73.83,74.15,72.67,74.09
5269,2020-10-09,74.64,75.0,72.7,73.85
5268,2020-10-08,73.15,74.3,72.97,74.03
5267,2020-10-07,72.78,73.25,72.06,72.64
5266,2020-10-06,73.26,74.01,71.87,72.35
5265,2020-10-05,71.25,73.22,71.25,72.7
5264,2020-10-02,70.51,71.9199,70.5,71.11
5263,2020-10-01,69.1,71.58,69.1,71.15
5262,2020-09-30,69.56,69.8,68.44,68.9
5261,2020-09-29,68.825,69.85,68.48,69.54
5260,2020-09-28,68.12,68.61,67.53,68.04
5259,2020-09-25,67.47,67.96,67.47,67.77
