,Date,Open,High,Low,Close
276,2020-12-14,16.32,16.63,16.25,16.25
275,2020-12-11,16.4,16.7501,16.25,16.38
274,2020-12-10,16.69,17.19,16.39,16.48
273,2020-12-09,16.84,17.275,16.3,16.3
272,2020-12-08,16.06,16.99,16.06,16.94
271,2020-12-07,15.85,16.79,15.265,16.36
270,2020-12-04,15.6,16.19,15.21,15.85
269,2020-12-03,15.31,16.34,15.31,15.63
268,2020-12-02,15.44,16.0803,14.99,15.17
267,2020-12-01,16.68,16.85,15.54,15.54
266,2020-11-30,16.65,16.87,16.37,16.37
265,2020-11-27,16.76,17.06,16.6364,16.66
264,2020-11-25,16.71,16.95,16.6498,16.68
263,2020-11-24,17.32,17.35,16.69,16.69
262,2020-11-23,17.65,17.65,16.75,17.32
261,2020-11-20,16.66,17.45,16.66,17.33
260,2020-11-19,16.73,16.75,16.4,16.4
259,2020-11-18,17.35,17.39,16.46,16.46
258,2020-11-17,16.86,17.15,16.81,17.11
257,2020-11-16,17.05,17.05,16.5,16.87
256,2020-11-13,16.65,17.27,16.51,16.51
255,2020-11-12,17.57,17.57,16.38,16.41
254,2020-11-11,17.645,17.645,16.38,16.5
253,2020-11-10,17.08,17.83,16.97,17.0
252,2020-11-09,17.02,17.5,16.82,16.82
251,2020-11-06,16.58,16.58,16.32,16.33
250,2020-11-05,16.23,16.85,15.3,16.33
249,2020-11-04,16.04,16.34,15.08,16.2
248,2020-11-03,15.73,16.31,15.56,16.21
247,2020-11-02,15.16,15.7,14.75,15.69
246,2020-10-30,15.49,15.49,15.055,15.16
245,2020-10-29,14.48,15.89,14.21,15.76
244,2020-10-28,15.4,15.4,13.63,14.61
243,2020-10-27,16.01,16.37,15.8631,16.16
242,2020-10-26,17.02,17.02,16.37,16.38
241,2020-10-23,16.92,17.19,16.92,16.99
240,2020-10-22,16.43,16.949,16.43,16.83
239,2020-10-21,15.52,16.5,15.52,16.26
238,2020-10-20,15.67,16.08,15.21,15.64
237,2020-10-19,16.175,16.24,15.57,15.58
236,2020-10-16,15.83,16.23,15.83,16.0
235,2020-10-15,16.01,16.3,15.5225,15.92
234,2020-10-14,16.3,16.31,16.14,16.15
233,2020-10-13,16.26,16.785,16.16,16.38
232,2020-10-12,16.32,16.71,16.19,16.32
231,2020-10-09,16.26,16.26,15.97,16.1
230,2020-10-08,16.21,16.35,15.855,16.18
229,2020-10-07,16.0,16.25,15.7675,16.21
228,2020-10-06,16.09,16.59,15.63,16.09
227,2020-10-05,16.25,16.255,15.93,16.09
226,2020-10-02,16.15,16.38,15.82,15.95
225,2020-10-01,16.53,16.53,16.0,16.39
224,2020-09-30,16.0,16.62,15.9,16.54
223,2020-09-29,15.64,16.0,15.425,15.99
222,2020-09-28,15.36,16.19,15.36,15.82
221,2020-09-25,14.84,15.58,14.84,15.38
220,2020-09-24,15.54,15.78,14.59,15.27
219,2020-09-23,15.77,16.23,14.87,15.61
218,2020-09-22,15.89,16.0,15.5947,15.91
217,2020-09-21,15.31,16.27,14.64,15.9
216,2020-09-18,15.8,16.25,14.81,15.39
215,2020-09-17,15.93,15.93,15.27,15.61
214,2020-09-16,16.78,16.78,15.641,16.09
213,2020-09-15,16.85,17.08,15.801,16.76
212,2020-09-14,16.21,17.57,15.59,16.86
211,2020-09-11,15.92,16.2,15.61,15.93
210,2020-09-10,15.48,16.05,15.0231,15.75
209,2020-09-09,14.1,15.56,14.1,15.46
208,2020-09-08,13.16,14.11,13.16,14.0
207,2020-09-04,13.29,13.5,12.99,13.19
206,2020-09-03,13.72,14.35,12.99,13.19
205,2020-09-02,14.5,14.5,13.41,13.55
204,2020-09-01,14.29,14.8299,13.93,14.3
203,2020-08-31,13.33,14.43,13.12,14.25
202,2020-08-28,13.16,13.86,12.8,13.49
201,2020-08-27,13.55,13.55,12.95,13.21
200,2020-08-26,13.37,13.735,13.14,13.55
199,2020-08-25,13.25,13.66,12.86,13.41
198,2020-08-24,13.84,13.9,13.03,13.12
197,2020-08-21,12.95,13.98,12.95,13.79
196,2020-08-20,13.4,13.78,13.31,13.63
195,2020-08-19,13.79,14.35,13.0599,13.51
194,2020-08-18,13.63,13.7,12.98,13.6
193,2020-08-17,13.34,13.74,12.6801,13.74
192,2020-08-14,14.04,14.16,12.8,13.15
191,2020-08-13,13.79,14.45,13.3101,13.91
190,2020-08-12,13.16,13.7,12.98,13.13
189,2020-08-11,13.25,13.27,12.95,13.2
188,2020-08-10,13.37,13.6,13.2601,13.38
187,2020-08-07,13.18,13.34,13.0,13.27
186,2020-08-06,13.15,13.27,13.05,13.27
185,2020-08-05,13.61,13.61,13.01,13.26
184,2020-08-04,12.11,13.3,12.11,13.24
183,2020-08-03,11.71,12.21,11.53,12.16
182,2020-07-31,12.17,12.21,11.5,11.64
181,2020-07-30,12.31,12.51,11.89,12.21
180,2020-07-29,12.63,12.8,12.31,12.46
179,2020-07-28,12.9,12.9,12.47,12.59
178,2020-07-27,14.21,14.345,12.84,12.97
177,2020-07-24,13.78,14.75,12.5,14.05
176,2020-07-23,14.42,14.66,13.75,13.88
175,2020-07-22,14.85,14.851,13.7,14.22
174,2020-07-21,14.11,15.32,14.03,14.96
173,2020-07-20,14.22,14.647,13.87,14.03
172,2020-07-17,14.11,14.66,14.06,14.17
171,2020-07-16,14.05,14.18,13.91,14.15
170,2020-07-15,14.06,14.38,14.04,14.19
169,2020-07-14,13.17,14.17,13.17,13.81
168,2020-07-13,13.69,14.0,13.0,13.22
167,2020-07-10,12.95,13.52,12.75,13.52
166,2020-07-09,13.9,13.95,12.84,13.05
165,2020-07-08,12.84,13.26,12.76,13.21
164,2020-07-07,13.97,14.22,12.55,12.74
163,2020-07-06,14.05,14.34,13.87,13.92
162,2020-07-02,12.58,13.8,12.58,13.65
161,2020-07-01,13.08,13.13,12.04,12.42
160,2020-06-30,12.92,13.68,12.7,12.96
159,2020-06-29,13.85,13.9,12.7,13.0
158,2020-06-26,15.2,15.45,13.595,13.75
157,2020-06-25,19.79,20.67,17.76,18.27
156,2020-06-24,19.11,20.05,19.1,19.89
155,2020-06-23,21.56,22.5,20.68,21.29
154,2020-06-22,22.5,22.8,20.38,20.9
153,2020-06-19,22.585,23.545,21.67,22.61
152,2020-06-18,20.0,21.67,19.625,21.67
151,2020-06-17,19.67,19.91,18.13,19.91
150,2020-06-16,19.17,19.67,17.26,19.18
149,2020-06-15,17.3597,19.66,16.98,18.29
148,2020-06-12,17.06,17.48,16.49,16.87
147,2020-06-11,16.72,17.13,15.05,17.01
146,2020-06-10,17.49,17.5,16.51,16.51
