,Date,Open,High,Low,Close
451,2020-12-14,0.0798,0.1,0.075,0.0803
450,2020-12-11,0.08,0.08,0.07,0.0764
449,2020-12-10,0.0851,0.0979,0.0731,0.0823
448,2020-12-09,0.08,0.088,0.08,0.085
447,2020-12-08,0.0676,0.096,0.0675,0.0818
446,2020-12-07,0.08,0.0804,0.0678,0.0678
445,2020-12-04,0.0748,0.0749,0.067,0.071
444,2020-12-03,0.0702,0.075,0.067,0.067
443,2020-12-02,0.082,0.087,0.0711,0.0712
442,2020-12-01,0.0753,0.082,0.071,0.0713
441,2020-11-30,0.08,0.085,0.0733,0.0733
440,2020-11-27,0.086,0.086,0.076,0.0761
439,2020-11-25,0.082,0.086,0.074,0.074
438,2020-11-24,0.085,0.09,0.071,0.073
437,2020-11-23,0.09,0.09,0.065,0.07
436,2020-11-20,0.068,0.09,0.068,0.07
435,2020-11-19,0.0688,0.075,0.0532,0.06
434,2020-11-18,0.0492,0.0601,0.044,0.06
433,2020-11-17,0.0499,0.055,0.0408,0.0411
432,2020-11-16,0.0501,0.0501,0.04,0.04
431,2020-11-13,0.0501,0.0648,0.0461,0.0517
430,2020-11-12,0.06,0.071,0.0512,0.0517
429,2020-11-11,0.06,0.09,0.0512,0.059
428,2020-11-10,0.066,0.07,0.066,0.066
427,2020-11-09,0.0699,0.085,0.0456,0.065
426,2020-11-06,0.07,0.1199,0.0614,0.0699
425,2020-11-05,0.07,0.1775,0.05,0.0753
424,2020-11-04,0.061,0.078,0.05,0.078
423,2020-11-03,0.0717,0.0717,0.0717,0.0717
422,2020-11-02,0.0717,0.0717,0.0717,0.0717
421,2020-10-30,0.0717,0.0717,0.0717,0.0717
420,2020-10-29,0.0717,0.0717,0.0717,0.0717
419,2020-10-28,0.0764,0.0803,0.0569,0.0717
418,2020-10-27,0.075,0.0773,0.0605,0.0632
417,2020-10-26,0.0766,0.0853,0.0765,0.0853
416,2020-10-23,0.078,0.0813,0.0766,0.0766
415,2020-10-22,0.07,0.0718,0.07,0.07
414,2020-10-21,0.0707,0.0707,0.0707,0.0707
413,2020-10-20,0.074,0.074,0.0707,0.0707
412,2020-10-19,0.074,0.08,0.073,0.08
411,2020-10-16,0.072,0.072,0.072,0.072
410,2020-10-15,0.0701,0.0701,0.0701,0.0701
409,2020-10-14,0.0759,0.08,0.0749,0.0749
408,2020-10-13,0.08,0.08,0.08,0.08
407,2020-10-12,0.0765,0.08,0.0765,0.08
406,2020-10-09,0.07,0.07,0.07,0.07
405,2020-10-08,0.0734,0.0734,0.0734,0.0734
404,2020-10-07,0.08,0.08,0.07,0.0734
403,2020-10-06,0.07,0.07,0.07,0.07
402,2020-10-05,0.07,0.07,0.07,0.07
401,2020-10-02,0.07,0.07,0.07,0.07
400,2020-10-01,0.0799,0.0799,0.0799,0.0799
399,2020-09-30,0.07,0.08,0.0699,0.0701
398,2020-09-29,0.0749,0.075,0.065,0.065
397,2020-09-28,0.065,0.065,0.065,0.065
396,2020-09-25,0.065,0.065,0.065,0.065
395,2020-09-24,0.065,0.065,0.065,0.065
