,Date,Open,High,Low,Close
4276,2020-12-14,26.65,27.18,26.03,26.32
4275,2020-12-11,25.47,26.55,25.4,26.35
4274,2020-12-10,24.69,25.68,24.29,25.59
4273,2020-12-09,25.11,25.5,24.48,24.7
4272,2020-12-08,24.94,25.14,24.31,24.59
4271,2020-12-07,25.15,25.34,24.72,25.3
4270,2020-12-04,25.47,25.64,25.14,25.19
4269,2020-12-03,24.45,25.58,24.45,25.29
4268,2020-12-02,25.1,25.17,24.26,24.42
4267,2020-12-01,25.52,25.74,24.66,25.11
4266,2020-11-30,25.51,25.95,24.68,25.19
4265,2020-11-27,25.26,25.7,25.04,25.56
4264,2020-11-25,25.15,25.7,24.65,25.5
4263,2020-11-24,25.52,25.72,24.93,25.12
4262,2020-11-23,102.81,103.41,101.57,102.58
4261,2020-11-20,102.15,102.6627,100.96,102.52
4260,2020-11-19,100.57,102.27,99.61,102.22
4259,2020-11-18,101.45,103.04,101.06,101.24
4258,2020-11-17,96.72,101.85,96.19,101.31
4257,2020-11-16,95.96,97.77,94.0,97.7
4256,2020-11-13,91.01,94.68,90.85,93.96
4255,2020-11-12,91.1,92.31,89.32,90.48
4254,2020-11-11,88.91,91.71,88.2,90.62
4253,2020-11-10,87.46,90.41,86.01,89.0
4252,2020-11-09,98.95,101.63,87.2,87.4
4251,2020-11-06,97.79,99.08,97.02,97.38
4250,2020-11-05,92.3,98.2,91.61,97.65
4249,2020-11-04,88.27,91.54,87.74,91.17
4248,2020-11-03,90.45,91.0,88.43,89.27
4247,2020-11-02,89.71,90.715,87.12,89.0
4246,2020-10-30,86.5,89.1,85.315,89.0
4245,2020-10-29,90.69,91.99,85.31,86.13
4244,2020-10-28,85.79,87.72,84.775,86.9
4243,2020-10-27,87.26,88.82,86.96,87.82
4242,2020-10-26,88.0,88.295,85.15,86.62
4241,2020-10-23,89.7,89.7071,85.95,88.63
4240,2020-10-22,89.14,90.05,87.65,88.82
4239,2020-10-21,91.88,92.035,88.2,88.59
4238,2020-10-20,93.22,93.73,91.51,91.74
4237,2020-10-19,94.53,95.48,91.98,92.11
4236,2020-10-16,95.72,96.32,94.33,94.33
4235,2020-10-15,93.17,95.72,92.0,95.23
4234,2020-10-14,93.75,95.31,92.9,94.31
4233,2020-10-13,91.95,93.5,91.04,93.06
4232,2020-10-12,90.89,92.75,90.51,92.08
4231,2020-10-09,90.28,91.66,89.41,90.14
4230,2020-10-08,89.0,90.61,87.6,89.1
4229,2020-10-07,90.74,92.11,86.93,88.08
4228,2020-10-06,92.49,92.77,88.5,88.85
4227,2020-10-05,92.27,93.45,90.542,91.75
4226,2020-10-02,87.54,92.7992,86.35,91.56
4225,2020-10-01,90.73,91.99,89.075,89.72
4224,2020-09-30,88.46,90.345,88.46,89.19
4223,2020-09-29,90.04,90.38,87.845,88.24
4222,2020-09-28,90.19,90.76,88.81,90.3
4221,2020-09-25,85.89,88.77,85.26,87.61
4220,2020-09-24,85.0,87.22,82.72,85.76
4219,2020-09-23,87.21,88.4199,85.29,85.57
4218,2020-09-22,87.73,88.475,85.25,86.97
4217,2020-09-21,85.03,87.11,84.22,86.76
4216,2020-09-18,91.5,91.72,86.81,87.74
4215,2020-09-17,89.45,91.7099,88.55,90.96
4214,2020-09-16,95.0,95.59,88.82,90.69
4213,2020-09-15,94.61,96.46,93.51,94.09
4212,2020-09-14,88.53,93.65,88.45,92.92
4211,2020-09-11,85.83,87.35,84.1101,85.73
4210,2020-09-10,85.27,87.015,84.63,85.14
4209,2020-09-09,84.08,85.11,83.36,84.69
4208,2020-09-08,80.8,84.655,80.8,82.83
4207,2020-09-04,83.53,84.47,79.5,82.69
4206,2020-09-03,88.66,88.9466,82.02,82.72
4205,2020-09-02,88.08,89.2431,86.32,88.72
4204,2020-09-01,85.53,88.615,84.73,87.42
4203,2020-08-31,86.18,86.24,84.71,85.54
4202,2020-08-28,87.12,87.9503,85.89,86.19
4201,2020-08-27,87.72,88.69,86.08,86.48
4200,2020-08-26,86.77,87.78,86.06,87.5
4199,2020-08-25,87.57,87.57,85.3823,86.46
4198,2020-08-24,86.75,87.8,85.97,87.42
4197,2020-08-21,86.42,87.63,85.47,85.93
4196,2020-08-20,85.46,88.155,85.46,87.0
4195,2020-08-19,86.98,87.9,86.11,86.22
4194,2020-08-18,87.83,88.46,86.44,86.76
4193,2020-08-17,86.67,88.95,86.35,87.9
4192,2020-08-14,86.83,87.61,85.775,86.3
4191,2020-08-13,86.73,87.88,86.0797,87.32
4190,2020-08-12,86.73,87.44,86.24,87.25
4189,2020-08-11,88.24,88.79,85.55,85.84
4188,2020-08-10,87.21,89.23,86.71,87.19
4187,2020-08-07,85.85,87.14,85.53,87.02
4186,2020-08-06,85.37,87.33,84.83,86.28
4185,2020-08-05,82.93,85.93,82.93,85.8
4184,2020-08-04,82.91,84.39,81.7,82.85
4183,2020-08-03,81.08,84.32,80.96,82.97
4182,2020-07-31,82.46,84.58,79.85,80.95
4181,2020-07-30,83.76,84.56,76.075,81.02
4180,2020-07-29,76.0,78.275,75.2,78.22
4179,2020-07-28,75.75,76.65,74.62,74.85
4178,2020-07-27,73.62,76.0,73.5,75.86
4177,2020-07-24,74.6,74.83,72.24,73.48
4176,2020-07-23,74.96,75.73,72.8,74.76
4175,2020-07-22,73.27,75.375,73.27,75.11
4174,2020-07-21,74.14,75.87,73.4,73.79
4173,2020-07-20,75.18,75.58,72.7,73.69
4172,2020-07-17,76.0,76.81,74.94,75.79
4171,2020-07-16,77.2,77.2,75.37,75.8
4170,2020-07-15,76.49,78.18,75.57,77.65
4169,2020-07-14,72.13,74.41,70.04,74.27
4168,2020-07-13,74.35,74.78,71.8,72.04
4167,2020-07-10,71.09,73.69,70.41,73.26
4166,2020-07-09,72.51,72.74,68.84,70.95
4165,2020-07-08,71.77,73.15,70.85,72.8
4164,2020-07-07,72.15,72.71,70.96,71.41
4163,2020-07-06,73.48,74.24,71.1,73.44
4162,2020-07-02,74.0,74.62,70.84,71.03
4161,2020-07-01,72.09,73.1,71.12,72.32
