,Date,Open,High,Low,Close
5314,2020-12-14,0.57,0.5792,0.53,0.5638
5313,2020-12-11,0.61,0.61,0.523,0.552
5312,2020-12-10,0.6,0.6683,0.59,0.5948
5311,2020-12-09,0.76,0.7687,0.59,0.6065
5310,2020-12-08,0.6,0.7349,0.57,0.71
5309,2020-12-07,0.53,0.615,0.505,0.57
5308,2020-12-04,0.48,0.524,0.47,0.5066
5307,2020-12-03,0.49,0.49,0.466,0.4751
5306,2020-12-02,0.47,0.485,0.455,0.4749
5305,2020-12-01,0.4776,0.4797,0.455,0.4619
5304,2020-11-30,0.487,0.487,0.43,0.47
5303,2020-11-27,0.4248,0.5011,0.424,0.4774
5302,2020-11-25,0.425,0.43,0.42,0.425
5301,2020-11-24,0.418,0.4386,0.418,0.42
5300,2020-11-23,0.4211,0.4332,0.4124,0.418
5299,2020-11-20,0.433,0.4428,0.4201,0.4275
5298,2020-11-19,0.43,0.44,0.4237,0.433
5297,2020-11-18,0.4184,0.45,0.4122,0.4283
5296,2020-11-17,0.42,0.4225,0.3997,0.4164
5295,2020-11-16,0.4243,0.432,0.3913,0.4194
5294,2020-11-13,0.43,0.43,0.41,0.4147
5293,2020-11-12,0.431,0.4389,0.4156,0.423
5292,2020-11-11,0.4099,0.43,0.4,0.4081
5291,2020-11-10,0.38,0.407,0.3712,0.4068
5290,2020-11-09,0.3887,0.3939,0.38,0.3803
5289,2020-11-06,0.38,0.3814,0.361,0.3774
5288,2020-11-05,0.37,0.41,0.36,0.3984
5287,2020-11-04,0.37,0.378,0.3532,0.3683
5286,2020-11-03,0.3657,0.3779,0.3515,0.3611
5285,2020-11-02,0.375,0.3779,0.3611,0.3645
5284,2020-10-30,0.3823,0.3849,0.3587,0.36
5283,2020-10-29,0.372,0.3837,0.36,0.3823
5282,2020-10-28,0.38,0.3874,0.3527,0.3729
5281,2020-10-27,0.41,0.4106,0.38,0.3872
5280,2020-10-26,0.4092,0.4221,0.39,0.3962
5279,2020-10-23,0.415,0.4173,0.4,0.4105
5278,2020-10-22,0.41,0.4198,0.39,0.417
5277,2020-10-21,0.42,0.4399,0.399,0.4041
5276,2020-10-20,0.43,0.4497,0.413,0.4224
5275,2020-10-19,0.4306,0.4679,0.42,0.4384
5274,2020-10-16,0.4207,0.45,0.415,0.4387
5273,2020-10-15,0.419,0.44,0.401,0.414
5272,2020-10-14,0.43,0.455,0.4,0.4286
5271,2020-10-13,0.45,0.47,0.43,0.4394
5270,2020-10-12,0.3729,0.4099,0.37,0.4027
5269,2020-10-09,0.39,0.3921,0.3801,0.3907
5268,2020-10-08,0.39,0.4,0.375,0.3934
5267,2020-10-07,0.41,0.445,0.363,0.3968
5266,2020-10-06,0.35,0.3627,0.347,0.35
5265,2020-10-05,0.36,0.3649,0.346,0.346
5264,2020-10-02,0.35,0.36,0.343,0.3468
5263,2020-10-01,0.3421,0.3518,0.341,0.343
5262,2020-09-30,0.3555,0.3599,0.346,0.3474
5261,2020-09-29,0.355,0.36,0.342,0.354
5260,2020-09-28,0.35,0.355,0.341,0.3503
5259,2020-09-25,0.357,0.3599,0.3344,0.3513
5258,2020-09-24,0.3627,0.373,0.337,0.3457
5257,2020-09-23,0.405,0.428,0.3522,0.3623
5256,2020-09-22,0.3488,0.3679,0.33,0.3464
5255,2020-09-21,0.3201,0.388,0.3201,0.3475
5254,2020-09-18,0.39,0.39,0.365,0.3675
5253,2020-09-17,0.37,0.388,0.3558,0.3724
5252,2020-09-16,0.37,0.386,0.36,0.38
5251,2020-09-15,0.34,0.3849,0.339,0.367
5250,2020-09-14,0.35,0.3612,0.331,0.3431
5249,2020-09-11,0.35,0.35,0.326,0.336
5248,2020-09-10,0.3432,0.3615,0.334,0.3501
5247,2020-09-09,0.335,0.35,0.3277,0.3334
5246,2020-09-08,0.34,0.349,0.3251,0.3312
5245,2020-09-04,0.36,0.3849,0.3251,0.3558
5244,2020-09-03,0.3839,0.3849,0.3516,0.3572
5243,2020-09-02,0.38,0.3998,0.377,0.3784
5242,2020-09-01,0.3806,0.3936,0.3703,0.3829
5241,2020-08-31,0.4,0.41,0.387,0.4027
5240,2020-08-28,0.4021,0.41,0.3904,0.4047
5239,2020-08-27,0.41,0.42,0.4,0.41
5238,2020-08-26,0.41,0.42,0.39,0.4179
5237,2020-08-25,0.4079,0.417,0.4,0.4035
5236,2020-08-24,0.43,0.43,0.4,0.418
5235,2020-08-21,0.4259,0.4734,0.4,0.4335
5234,2020-08-20,0.439,0.4398,0.42,0.4295
5233,2020-08-19,0.468,0.47,0.42,0.4457
5232,2020-08-18,0.382,0.48,0.3751,0.4764
5231,2020-08-17,0.42,0.42,0.375,0.3862
5230,2020-08-14,0.4256,0.4299,0.401,0.4109
5229,2020-08-13,0.44,0.445,0.415,0.4231
5228,2020-08-12,0.4674,0.47,0.43,0.4396
5227,2020-08-11,0.48,0.485,0.4397,0.4504
5226,2020-08-10,0.43,0.485,0.43,0.4756
5225,2020-08-07,0.4499,0.45,0.42,0.4401
5224,2020-08-06,0.45,0.4758,0.4103,0.4576
5223,2020-08-05,0.51,0.5165,0.47,0.4807
5222,2020-08-04,0.4701,0.5355,0.465,0.5034
5221,2020-08-03,0.4792,0.48,0.4377,0.4538
5220,2020-07-31,0.526,0.556,0.452,0.4884
5219,2020-07-30,0.445,0.5369,0.44,0.5124
5218,2020-07-29,0.44,0.5187,0.41,0.4591
5217,2020-07-28,0.375,0.449,0.351,0.4438
5216,2020-07-27,0.4,0.409,0.36,0.3789
5215,2020-07-24,0.34,0.378,0.33,0.3745
5214,2020-07-23,0.3623,0.3644,0.35,0.3544
5213,2020-07-22,0.3872,0.3872,0.35,0.3629
5212,2020-07-21,0.37,0.39,0.37,0.38
5211,2020-07-20,0.37,0.38,0.35,0.36
5210,2020-07-17,0.32,0.35,0.32,0.34
5209,2020-07-16,0.317,0.328,0.3035,0.3234
5208,2020-07-15,0.3135,0.325,0.3089,0.3185
5207,2020-07-14,0.31,0.31,0.3,0.3
5206,2020-07-13,0.33,0.33,0.3,0.31
5205,2020-07-10,0.33,0.3366,0.32,0.3265
5204,2020-07-09,0.34,0.3441,0.3215,0.3231
5203,2020-07-08,0.38,0.38,0.34,0.35
5202,2020-07-07,0.34,0.43,0.32,0.4
5201,2020-07-06,0.37,0.37,0.32,0.33
