,Date,Open,High,Low,Close
1914,2020-12-14,17.415,17.415,16.35,16.42
1913,2020-12-11,16.38,16.7,16.2,16.27
1912,2020-12-10,16.22,16.7,16.12,16.62
1911,2020-12-09,16.72,16.92,16.302,16.45
1910,2020-12-08,16.13,16.61,16.06,16.47
1909,2020-12-07,16.37,16.95,15.55,16.37
1908,2020-12-04,16.17,16.65,15.525,16.59
1907,2020-12-03,16.26,16.26,15.8,15.9
1906,2020-12-02,15.12,16.2,15.12,16.05
1905,2020-12-01,15.23,15.605,15.01,15.06
1904,2020-11-30,15.7,15.755,14.753,14.89
1903,2020-11-27,16.03,16.36,15.85,15.93
1902,2020-11-25,16.37,16.37,15.89,16.07
1901,2020-11-24,15.98,16.71,15.98,16.6
1900,2020-11-23,15.47,16.01,15.22,15.61
1899,2020-11-20,15.29,15.88,14.97,15.18
1898,2020-11-19,15.54,15.93,15.22,15.62
1897,2020-11-18,16.455,16.455,15.55,15.55
1896,2020-11-17,15.83,15.99,15.41,15.73
1895,2020-11-16,15.5,16.17,15.5,16.14
1894,2020-11-13,14.66,15.12,14.37,14.87
1893,2020-11-12,14.51,14.545,14.11,14.42
1892,2020-11-11,15.5,15.96,14.56,14.81
1891,2020-11-10,15.21,15.76,14.96,15.39
1890,2020-11-09,12.95,15.47,12.95,14.95
1889,2020-11-06,14.03,14.03,12.59,12.67
1888,2020-11-05,12.95,14.085,12.95,13.82
1887,2020-11-04,13.36,13.36,12.75,12.92
1886,2020-11-03,13.21,13.79,13.16,13.73
1885,2020-11-02,12.78,13.09,12.73,13.0
1884,2020-10-30,12.41,12.8,12.41,12.59
1883,2020-10-29,12.39,12.86,12.09,12.69
1882,2020-10-28,12.945,12.945,12.33,12.4
1881,2020-10-27,13.4,13.6799,12.85,12.92
1880,2020-10-26,13.6,13.75,13.17,13.45
1879,2020-10-23,13.63,14.06,13.56,13.795
1878,2020-10-22,13.51,13.8378,13.01,13.61
1877,2020-10-21,13.51,13.64,13.4,13.5
1876,2020-10-20,13.57,13.86,13.405,13.52
1875,2020-10-19,13.69,13.98,13.52,13.55
1874,2020-10-16,13.5,13.89,13.38,13.55
1873,2020-10-15,13.32,13.58,13.01,13.56
1872,2020-10-14,13.92,14.01,13.32,13.32
1871,2020-10-13,14.26,14.26,13.73,13.87
1870,2020-10-12,14.12,14.4,13.38,14.35
1869,2020-10-09,15.03,15.03,14.39,14.44
1868,2020-10-08,14.72,14.94,14.501,14.83
1867,2020-10-07,14.34,14.69,14.22,14.67
1866,2020-10-06,14.61,14.78,14.04,14.07
1865,2020-10-05,14.15,14.395,14.09,14.36
1864,2020-10-02,13.07,14.08,12.99,13.92
1863,2020-10-01,13.25,13.625,13.05,13.41
1862,2020-09-30,13.23,13.6818,13.05,13.24
1861,2020-09-29,13.5,13.5,12.91,13.215
1860,2020-09-28,13.21,13.725,13.12,13.57
1859,2020-09-25,12.7,13.2,12.7,13.11
1858,2020-09-24,12.74,13.23,12.51,12.88
1857,2020-09-23,13.16,13.54,12.67,12.68
1856,2020-09-22,13.59,13.78,13.08,13.15
1855,2020-09-21,14.48,14.48,13.51,13.55
1854,2020-09-18,15.0,15.23,14.86,14.91
1853,2020-09-17,14.79,15.05,14.67,14.95
1852,2020-09-16,14.95,15.28,14.8,15.03
1851,2020-09-15,15.3,15.37,14.855,15.0
1850,2020-09-14,14.5,15.33,14.5,15.05
1849,2020-09-11,14.34,14.53,13.78,14.5
1848,2020-09-10,14.51,14.61,14.25,14.35
1847,2020-09-09,14.39,14.53,14.095,14.48
1846,2020-09-08,14.43,14.43,13.92,14.315
1845,2020-09-04,14.32,15.01,13.78,14.55
1844,2020-09-03,14.05,14.25,13.62,13.9
1843,2020-09-02,13.82,14.0,13.8,13.96
1842,2020-09-01,13.74,14.08,13.61,13.87
1841,2020-08-31,13.57,14.1,13.36,13.9
1840,2020-08-28,13.74,13.74,13.42,13.65
1839,2020-08-27,13.69,14.07,13.5,13.54
1838,2020-08-26,14.21,14.32,13.62,13.63
1837,2020-08-25,14.49,14.49,13.97,14.24
1836,2020-08-24,13.83,14.32,13.56,14.29
1835,2020-08-21,13.88,14.04,13.56,13.68
1834,2020-08-20,14.4,14.48,13.96,14.0
1833,2020-08-19,14.59,14.93,14.59,14.68
1832,2020-08-18,14.99,14.99,14.5,14.59
1831,2020-08-17,14.99,15.06,14.72,14.91
1830,2020-08-14,14.7,15.25,14.405,15.06
1829,2020-08-13,14.95,15.1609,14.7,14.89
1828,2020-08-12,15.39,15.5,14.815,15.06
1827,2020-08-11,14.87,15.43,14.87,15.04
1826,2020-08-10,13.98,14.64,13.75,14.6
1825,2020-08-07,13.13,13.87,12.87,13.87
1824,2020-08-06,13.16,13.39,13.06,13.17
1823,2020-08-05,12.77,13.29,12.77,13.28
1822,2020-08-04,13.11,13.25,13.03,13.19
1821,2020-08-03,13.34,13.46,13.08,13.18
1820,2020-07-31,13.15,13.32,12.85,13.25
1819,2020-07-30,13.05,13.4076,12.87,13.07
1818,2020-07-29,12.71,13.45,12.55,13.45
1817,2020-07-28,13.04,13.8163,12.59,12.63
1816,2020-07-27,13.5,13.56,13.09,13.1
1815,2020-07-24,13.78,13.97,13.54,13.59
1814,2020-07-23,14.88,14.88,13.415,13.79
1813,2020-07-22,14.78,14.95,14.395,14.8
1812,2020-07-21,14.15,14.93,14.15,14.83
1811,2020-07-20,14.35,14.39,13.84,14.09
1810,2020-07-17,14.76,14.95,14.45,14.46
1809,2020-07-16,14.62,14.96,14.43,14.79
1808,2020-07-15,14.34,14.87,14.02,14.78
1807,2020-07-14,13.92,14.04,13.57,13.85
1806,2020-07-13,13.96,14.24,13.5,13.97
1805,2020-07-10,12.95,13.84,12.95,13.72
1804,2020-07-09,13.69,14.1,12.94,12.96
1803,2020-07-08,13.62,13.97,13.2,13.71
1802,2020-07-07,14.3,14.3,13.53,13.66
1801,2020-07-06,14.75,15.17,14.24,14.5
1800,2020-07-02,15.36,15.43,14.26,14.43
1799,2020-07-01,15.69,15.8,14.86,14.88
1798,2020-06-30,15.24,15.8,15.24,15.71
1797,2020-06-29,14.69,15.5,14.59,15.36
1796,2020-06-26,14.55,14.94,13.92,14.49
1795,2020-06-25,14.23,14.93,14.09,14.9
1794,2020-06-24,14.72,14.89,14.0701,14.37
1793,2020-06-23,15.75,15.845,14.995,15.02
1792,2020-06-22,14.91,15.56,14.68,15.46
1791,2020-06-19,16.01,16.01,14.96,15.005
1790,2020-06-18,15.32,15.98,15.32,15.59
1789,2020-06-17,17.46,17.46,15.54,15.63
1788,2020-06-16,16.3,16.77,15.73,16.14
1787,2020-06-15,14.74,15.76,14.5,15.53
1786,2020-06-12,15.63,15.65,14.77,15.42
1785,2020-06-11,15.55,15.9,14.79,14.81
1784,2020-06-10,17.92,17.92,16.605,16.63
1783,2020-06-09,17.82,18.32,17.6,18.03
1782,2020-06-08,18.36,18.67,18.02,18.33
1781,2020-06-05,17.13,18.53,17.13,17.855
1780,2020-06-04,15.97,16.61,15.93,16.49
1779,2020-06-03,15.32,16.47,15.32,15.99
1778,2020-06-02,15.06,15.37,14.73,14.78
1777,2020-06-01,15.15,15.5,14.89,14.89
1776,2020-05-29,15.64,15.8248,14.79,14.95
1775,2020-05-28,16.15,16.27,15.52,15.96
1774,2020-05-27,15.0,15.92,14.56,15.87
1773,2020-05-26,14.17,14.595,13.955,14.52
1772,2020-05-22,13.92,14.02,13.455,13.68
1771,2020-05-21,13.74,14.18,13.67,13.77
1770,2020-05-20,13.51,14.13,13.26,13.74
1769,2020-05-19,13.48,13.75,12.93,13.26
1768,2020-05-18,13.0,13.73,12.85,13.63
1767,2020-05-15,12.4,12.5,12.11,12.4
1766,2020-05-14,12.0,12.58,11.73,12.41
1765,2020-05-13,12.9,13.17,12.0,12.36
1764,2020-05-12,13.54,13.67,12.97,13.04
1763,2020-05-11,13.47,13.67,12.87,13.52
1762,2020-05-08,13.61,14.01,13.385,13.71
1761,2020-05-07,13.13,13.77,13.03,13.25
1760,2020-05-06,13.53,13.656,12.88,12.97
1759,2020-05-05,14.07,14.6984,13.21,13.39
1758,2020-05-04,13.77,14.035,13.4,13.82
1757,2020-05-01,13.82,14.2,13.5036,14.01
1756,2020-04-30,14.49,14.85,14.1262,14.22
1755,2020-04-29,14.26,15.25,14.16,15.03
1754,2020-04-28,14.03,14.59,13.47,13.72
1753,2020-04-27,12.68,13.89,12.55,13.58
1752,2020-04-24,12.26,12.72,11.91,12.59
1751,2020-04-23,12.41,13.22,12.13,12.3
1750,2020-04-22,13.23,13.98,12.11,12.28
1749,2020-04-21,10.68,14.1799,10.68,12.91
1748,2020-04-20,10.19,10.525,9.94,10.39
1747,2020-04-17,10.08,10.66,10.02,10.54
1746,2020-04-16,9.8,9.99,9.315,9.67
1745,2020-04-15,10.46,10.46,9.775,9.85
1744,2020-04-14,11.12,11.395,10.66,10.89
1743,2020-04-13,10.7,11.24,10.19,10.91
1742,2020-04-09,10.75,11.47,10.33,10.67
1741,2020-04-08,10.85,10.94,10.37,10.6
1740,2020-04-07,10.44,11.12,10.25,10.54
1739,2020-04-06,9.32,10.05,9.32,9.75
1738,2020-04-03,8.36,8.9,8.33,8.86
1737,2020-04-02,8.31,9.015,8.14,8.51
1736,2020-04-01,9.28,9.29,8.28,8.36
1735,2020-03-31,9.66,9.94,9.34,9.67
1734,2020-03-30,9.73,9.73,9.17,9.6
1733,2020-03-27,8.52,10.01,8.52,9.55
1732,2020-03-26,8.81,10.07,8.5,9.66
1731,2020-03-25,9.07,9.095,8.6,8.66
1730,2020-03-24,9.01,10.105,8.7101,8.93
1729,2020-03-23,9.54,9.54,8.465,8.69
1728,2020-03-20,11.36,11.9,9.28,9.59
1727,2020-03-19,8.0,11.72,7.99,11.43
1726,2020-03-18,11.51,11.92,7.59,8.02
1725,2020-03-17,12.55,13.585,11.65,12.36
1724,2020-03-16,12.94,14.07,12.23,12.26
1723,2020-03-13,15.04,15.05,14.16,14.92
1722,2020-03-12,14.55,14.87,13.89,14.2
1721,2020-03-11,15.93,16.0,15.42,15.47
1720,2020-03-10,16.41,16.41,15.44,16.36
1719,2020-03-09,16.95,17.36,15.2,15.72
1718,2020-03-06,18.03,18.54,17.67,18.22
1717,2020-03-05,19.1,19.18,18.28,18.61
1716,2020-03-04,19.78,19.98,19.2,19.48
1715,2020-03-03,20.49,20.56,19.46,19.62
1714,2020-03-02,19.91,20.35,19.66,20.35
1713,2020-02-28,20.36,20.75,19.46,19.87
1712,2020-02-27,20.81,21.3725,20.4,20.91
1711,2020-02-26,21.32,21.5,21.05,21.21
1710,2020-02-25,22.08,22.08,21.0022,21.1
1709,2020-02-24,21.98,22.12,21.69,22.05
1708,2020-02-21,22.56,22.65,22.43,22.58
1707,2020-02-20,22.59,22.75,22.35,22.61
1706,2020-02-19,22.53,22.71,22.36,22.68
1705,2020-02-18,23.0,23.15,22.4,22.45
1704,2020-02-14,22.84,23.08,22.66,23.06
1703,2020-02-13,22.49,22.95,22.415,22.87
1702,2020-02-12,22.59,22.7,22.41,22.59
1701,2020-02-11,22.54,22.95,22.41,22.45
1700,2020-02-10,22.87,22.88,22.4,22.55
