,Date,Open,High,Low,Close
5311,2020-12-14,4.99,5.4,4.98,5.4
5310,2020-12-11,4.81,4.81,4.81,4.81
5309,2020-12-10,4.83,4.9,4.8,4.8
5308,2020-12-09,4.91,5.0,4.81,4.81
5307,2020-12-08,4.99,5.0,4.8,4.85
5306,2020-12-07,4.88,5.0086,4.85,4.9843
5305,2020-12-04,4.9414,4.9414,4.89,4.89
5304,2020-12-03,5.0,5.0,5.0,5.0
5303,2020-12-02,4.89,4.89,4.89,4.89
5302,2020-12-01,4.9623,4.9623,4.9623,4.9623
5301,2020-11-30,5.25,5.25,4.9585,4.9623
5300,2020-11-27,5.0,5.0,4.99,5.0
5299,2020-11-25,5.04,5.04,5.0,5.0
5298,2020-11-24,4.87,5.01,4.87,5.01
5297,2020-11-23,5.02,5.02,4.99,5.0
5296,2020-11-20,5.0,5.0,5.0,5.0
5295,2020-11-19,5.0,5.0,5.0,5.0
5294,2020-11-18,5.05,5.05,5.0,5.0
5293,2020-11-17,5.48,5.48,5.12,5.12
5292,2020-11-16,5.05,5.49,4.99,5.25
5291,2020-11-13,5.27,5.27,5.27,5.27
5290,2020-11-12,5.27,5.27,5.27,5.27
5289,2020-11-11,5.27,5.27,5.27,5.27
5288,2020-11-10,5.27,5.27,5.27,5.27
5287,2020-11-09,5.27,5.27,5.27,5.27
5286,2020-11-06,5.2402,5.2402,5.2402,5.2402
5285,2020-11-05,5.2402,5.2402,5.2402,5.2402
5284,2020-11-04,5.2402,5.2402,5.2402,5.2402
5283,2020-11-03,5.2402,5.2402,5.2402,5.2402
5282,2020-11-02,5.2402,5.2402,5.2402,5.2402
5281,2020-10-30,5.2402,5.2402,5.2402,5.2402
5280,2020-10-29,5.2402,5.2402,5.2402,5.2402
5279,2020-10-28,5.2402,5.2402,5.2402,5.2402
5278,2020-10-27,5.0201,5.361,5.0201,5.2402
5277,2020-10-26,5.8,5.97,5.37,5.37
5276,2020-10-23,5.43,5.49,5.43,5.49
5275,2020-10-22,5.202,5.6,5.202,5.6
5274,2020-10-21,5.18,5.18,5.18,5.18
5273,2020-10-20,5.18,5.18,5.18,5.18
5272,2020-10-19,5.18,5.18,5.18,5.18
5271,2020-10-16,5.18,5.18,5.18,5.18
5270,2020-10-15,5.4554,5.4554,5.4554,5.4554
5269,2020-10-14,5.5,5.5,5.5,5.5
5268,2020-10-13,5.5,5.5,5.5,5.5
5267,2020-10-12,5.5,5.5,5.5,5.5
5266,2020-10-09,5.53,5.53,5.5,5.5
5265,2020-10-08,5.6348,5.6348,5.6348,5.6348
5264,2020-10-07,5.6348,5.6348,5.6348,5.6348
5263,2020-10-06,5.4001,5.4001,5.4001,5.4001
5262,2020-10-05,5.4001,5.4001,5.4001,5.4001
5261,2020-10-02,5.4001,5.4001,5.4001,5.4001
5260,2020-10-01,5.2,5.91,5.2,5.91
5259,2020-09-30,6.0,6.0,6.0,6.0
5258,2020-09-29,6.0,6.0,6.0,6.0
5257,2020-09-28,6.0,6.0,6.0,6.0
5256,2020-09-25,5.69,5.96,5.69,5.96
5255,2020-09-24,5.38,5.38,5.38,5.38
5254,2020-09-23,5.475,5.475,5.475,5.475
5253,2020-09-22,5.46,5.59,5.46,5.56
5252,2020-09-21,5.06,5.0852,5.01,5.02
5251,2020-09-18,5.5,5.5,5.08,5.08
5250,2020-09-17,5.966,5.966,5.966,5.966
5249,2020-09-16,5.98,5.98,5.98,5.98
5248,2020-09-15,5.51,5.51,5.51,5.51
5247,2020-09-14,5.34,5.34,5.34,5.34
5246,2020-09-11,5.01,5.34,5.01,5.34
5245,2020-09-10,5.17,5.17,4.81,4.81
5244,2020-09-09,4.81,5.28,4.81,5.205
5243,2020-09-08,5.32,5.34,5.32,5.34
5242,2020-09-04,5.0,5.0,5.0,5.0
5241,2020-09-03,5.0,5.0,5.0,5.0
5240,2020-09-02,5.0002,5.0002,5.0,5.0
5239,2020-09-01,5.28,5.28,5.28,5.28
5238,2020-08-31,5.28,5.28,5.28,5.28
5237,2020-08-28,4.77,4.77,4.77,4.77
5236,2020-08-27,4.77,4.77,4.77,4.77
5235,2020-08-26,4.77,4.77,4.77,4.77
5234,2020-08-25,4.77,4.77,4.77,4.77
5233,2020-08-24,4.77,4.77,4.77,4.77
5232,2020-08-21,4.77,4.77,4.77,4.77
5231,2020-08-20,4.81,4.82,4.77,4.77
5230,2020-08-19,4.9,4.9,4.9,4.9
5229,2020-08-18,5.28,5.32,5.28,5.32
5228,2020-08-17,4.6702,5.14,4.66,5.14
5227,2020-08-14,5.21,5.21,5.21,5.21
5226,2020-08-13,5.23,5.3199,5.23,5.23
5225,2020-08-12,4.73,5.2278,4.51,5.225
5224,2020-08-11,4.2388,4.4352,4.18,4.4352
5223,2020-08-10,4.2,4.2299,4.17,4.17
5222,2020-08-07,4.39,4.4945,4.01,4.1688
5221,2020-08-06,4.42,4.42,4.42,4.42
5220,2020-08-05,4.41,4.42,4.41,4.42
5219,2020-08-04,4.43,4.43,4.43,4.43
5218,2020-08-03,4.5,4.5,4.42,4.4341
5217,2020-07-31,5.0,5.0,5.0,5.0
5216,2020-07-30,5.0,5.0,5.0,5.0
5215,2020-07-29,5.0,5.0,5.0,5.0
5214,2020-07-28,5.0,5.0,5.0,5.0
5213,2020-07-27,5.17,5.17,5.0,5.0
5212,2020-07-24,5.0,5.0,5.0,5.0
5211,2020-07-23,5.0,5.0,5.0,5.0
5210,2020-07-22,4.42,4.42,4.42,4.42
5209,2020-07-21,4.42,4.42,4.42,4.42
5208,2020-07-20,4.49,4.49,4.42,4.42
5207,2020-07-17,5.47,5.49,4.99,5.0
5206,2020-07-16,4.24,4.24,4.24,4.24
5205,2020-07-15,4.24,4.24,4.24,4.24
5204,2020-07-14,4.24,4.24,4.24,4.24
5203,2020-07-13,5.0,5.0,4.13,4.24
5202,2020-07-10,5.0,5.0,4.99,4.99
5201,2020-07-09,5.01,5.01,5.01,5.01
5200,2020-07-08,5.18,5.18,5.03,5.06
5199,2020-07-07,5.2,5.2,5.2,5.2
5198,2020-07-06,5.2,5.2,5.2,5.2
5197,2020-07-02,5.01,5.2,5.01,5.2
5196,2020-07-01,5.56,5.56,5.56,5.56
5195,2020-06-30,5.56,5.56,5.56,5.56
5194,2020-06-29,5.56,5.56,5.56,5.56
5193,2020-06-26,5.25,5.25,5.25,5.25
5192,2020-06-25,5.25,5.25,5.25,5.25
5191,2020-06-24,5.25,5.25,5.25,5.25
5190,2020-06-23,5.25,5.25,5.25,5.25
5189,2020-06-22,5.25,5.25,5.25,5.25
5188,2020-06-19,5.25,5.25,5.25,5.25
5187,2020-06-18,5.25,5.25,5.25,5.25
5186,2020-06-17,5.69,5.69,5.69,5.69
5185,2020-06-16,6.0,6.0,6.0,6.0
5184,2020-06-15,4.99,4.99,4.99,4.99
5183,2020-06-12,4.99,4.99,4.99,4.99
5182,2020-06-11,5.0,5.0007,4.99,4.99
5181,2020-06-10,4.96,4.96,4.96,4.96
5180,2020-06-09,4.96,4.96,4.96,4.96
5179,2020-06-08,4.96,4.96,4.96,4.96
5178,2020-06-05,4.96,4.96,4.96,4.96
5177,2020-06-04,4.96,4.96,4.96,4.96
5176,2020-06-03,4.96,4.96,4.96,4.96
5175,2020-06-02,5.26,5.26,5.17,5.222
5174,2020-06-01,5.5075,5.5075,5.5075,5.5075
5173,2020-05-29,5.5001,5.5075,5.5,5.5075
5172,2020-05-28,5.9,5.9,5.9,5.9
5171,2020-05-27,5.9,5.9,5.9,5.9
5170,2020-05-26,5.445,5.95,5.445,5.9
5169,2020-05-22,5.55,5.55,5.55,5.55
5168,2020-05-21,4.9,5.7999,4.9,5.45
5167,2020-05-20,4.3601,4.3601,4.3601,4.3601
5166,2020-05-19,4.36,4.36,4.36,4.36
5165,2020-05-18,4.3601,4.3601,4.3601,4.3601
5164,2020-05-15,4.8293,4.8293,4.3601,4.3601
5163,2020-05-14,4.4,4.4,4.4,4.4
5162,2020-05-13,4.4,4.4,4.4,4.4
5161,2020-05-12,4.4,4.4,3.97,4.36
5160,2020-05-11,4.36,4.4,4.355,4.4
