,Date,Open,High,Low,Close
681,2020-12-14,0.0231,0.031,0.0212,0.027
680,2020-12-11,0.026,0.026,0.0186,0.0212
679,2020-12-10,0.022,0.0266,0.017,0.018
678,2020-12-09,0.0261,0.03,0.0172,0.02
677,2020-12-08,0.0371,0.0371,0.024,0.0253
676,2020-12-07,0.03,0.0351,0.0262,0.0273
675,2020-12-04,0.03,0.0521,0.03,0.0305
674,2020-12-03,0.0262,0.0352,0.0262,0.0329
673,2020-12-02,0.0238,0.03,0.0238,0.0262
672,2020-12-01,0.0325,0.0325,0.022,0.0251
671,2020-11-30,0.0325,0.0325,0.0236,0.0277
670,2020-11-27,0.0227,0.0328,0.0227,0.0327
669,2020-11-25,0.0231,0.0243,0.0226,0.0228
668,2020-11-24,0.0279,0.0331,0.02,0.0275
667,2020-11-23,0.0274,0.03,0.022,0.0231
666,2020-11-20,0.02,0.03,0.02,0.0271
665,2020-11-19,0.022,0.022,0.02,0.0219
664,2020-11-18,0.02,0.0236,0.02,0.0201
663,2020-11-17,0.0208,0.0237,0.02,0.0237
662,2020-11-16,0.024,0.024,0.0206,0.0236
661,2020-11-13,0.0227,0.0245,0.0226,0.0238
660,2020-11-12,0.022,0.0281,0.022,0.025
659,2020-11-11,0.0225,0.0297,0.0225,0.0297
658,2020-11-10,0.029,0.03,0.0222,0.023
657,2020-11-09,0.0303,0.0303,0.0222,0.0253
656,2020-11-06,0.027,0.027,0.021,0.026
655,2020-11-05,0.031,0.031,0.0296,0.0296
654,2020-11-04,0.0345,0.0345,0.025,0.0312
653,2020-11-03,0.03,0.0345,0.0298,0.0345
652,2020-11-02,0.0355,0.0365,0.0254,0.0324
651,2020-10-30,0.0258,0.0375,0.0254,0.037
650,2020-10-29,0.04,0.04,0.0252,0.038
649,2020-10-28,0.03,0.04,0.0252,0.0295
648,2020-10-27,0.026,0.03,0.0211,0.03
647,2020-10-26,0.0268,0.0268,0.0206,0.021
646,2020-10-23,0.0219,0.03,0.0201,0.0241
645,2020-10-22,0.02,0.0219,0.02,0.021
644,2020-10-21,0.0214,0.0221,0.02,0.02
643,2020-10-20,0.0275,0.028,0.02,0.0214
642,2020-10-19,0.03,0.033,0.0205,0.028
641,2020-10-16,0.03,0.0321,0.0216,0.0299
