,Date,Open,High,Low,Close
5314,2020-12-14,140.0,146.24,139.58,143.14
5313,2020-12-11,137.21,139.25,131.0401,138.7
5312,2020-12-10,134.89,138.31,133.32,137.21
5311,2020-12-09,135.58,136.8176,132.71,134.65
5310,2020-12-08,131.7,135.46,129.64,135.08
5309,2020-12-07,133.44,133.91,129.43,129.98
5308,2020-12-04,130.49,134.125,130.04,133.47
5307,2020-12-03,132.06,132.71,129.46,129.94
5306,2020-12-02,132.09,132.09,130.61,131.28
5305,2020-12-01,132.95,133.965,132.43,132.49
5304,2020-11-30,135.34,136.98,131.96,132.64
5303,2020-11-27,134.6,135.855,134.29,135.54
5302,2020-11-25,135.34,138.0,134.91,135.07
5301,2020-11-24,138.49,138.49,135.4,135.43
5300,2020-11-23,137.01,138.03,135.18,137.77
5299,2020-11-20,136.2,137.99,134.74,136.02
5298,2020-11-19,139.55,139.55,135.275,136.67
5297,2020-11-18,142.14,142.17,137.38,137.48
5296,2020-11-17,142.49,142.49,139.7,141.11
5295,2020-11-16,142.52,144.26,141.45,142.93
5294,2020-11-13,141.18,141.7999,140.165,141.48
5293,2020-11-12,139.72,141.0,139.36,139.97
5292,2020-11-11,140.05,140.3,137.93,140.15
5291,2020-11-10,136.67,139.79,136.07,139.28
5290,2020-11-09,136.57,138.06,133.81,136.26
5289,2020-11-06,137.71,138.45,135.38,135.88
5288,2020-11-05,140.12,140.15,136.69,137.71
5287,2020-11-04,137.43,142.34,134.1,139.47
5286,2020-11-03,133.98,137.34,131.955,136.5
5285,2020-11-02,133.77,135.0,130.84,133.98
5284,2020-10-30,129.33,134.73,128.23,134.23
5283,2020-10-29,133.35,133.67,128.215,130.25
5282,2020-10-28,121.75,132.99,121.75,132.03
5281,2020-10-27,123.13,124.5,121.48,123.4
5280,2020-10-26,122.01,124.43,120.76,123.57
5279,2020-10-23,123.1,123.87,121.85,122.78
5278,2020-10-22,119.34,122.28,119.34,122.1
5277,2020-10-21,119.57,121.0,118.63,118.85
5276,2020-10-20,117.42,120.11,115.525,119.17
5275,2020-10-19,115.54,116.86,114.18,116.47
5274,2020-10-16,113.59,115.69,112.27,115.0
5273,2020-10-15,108.61,113.35,108.6,113.03
5272,2020-10-14,108.16,110.66,108.16,109.96
5271,2020-10-13,104.35,109.0,103.26,108.32
5270,2020-10-12,103.73,104.52,102.25,104.25
5269,2020-10-09,105.01,105.435,102.91,104.01
5268,2020-10-08,104.18,105.15,103.65,104.89
5267,2020-10-07,103.59,104.315,103.06,103.87
5266,2020-10-06,105.87,106.6,102.725,103.07
5265,2020-10-05,102.83,105.85,102.83,105.69
5264,2020-10-02,102.35,104.78,101.09,101.87
5263,2020-10-01,101.03,103.59,100.05,103.17
5262,2020-09-30,101.37,102.851,100.11,101.0
5261,2020-09-29,101.82,101.82,100.09,101.04
5260,2020-09-28,101.46,102.5,100.24,101.51
5259,2020-09-25,99.44,102.0,99.07,100.45
5258,2020-09-24,99.97,102.12,98.37,99.9
5257,2020-09-23,102.24,103.31,100.51,100.55
5256,2020-09-22,100.96,102.31,99.92,102.29
5255,2020-09-21,104.43,104.755,100.54,101.01
5254,2020-09-18,107.4,108.075,104.24,105.69
5253,2020-09-17,104.72,106.93,104.2166,106.67
5252,2020-09-16,105.86,106.98,105.2,106.08
5251,2020-09-15,105.47,107.33,105.01,105.75
5250,2020-09-14,103.76,106.06,103.76,104.84
5249,2020-09-11,102.98,103.8,101.52,102.52
5248,2020-09-10,103.79,104.6,102.31,102.44
5247,2020-09-09,102.9,104.45,102.0,103.9
5246,2020-09-08,103.79,104.87,102.67,102.71
5245,2020-09-04,105.49,106.37,102.84,105.37
5244,2020-09-03,108.67,108.67,103.54,104.56
5243,2020-09-02,105.13,109.48,105.13,109.12
5242,2020-09-01,106.23,107.34,104.55,105.51
5241,2020-08-31,105.83,107.55,105.06,106.96
5240,2020-08-28,105.67,106.45,104.85,106.04
5239,2020-08-27,105.46,106.18,104.0,105.67
5238,2020-08-26,104.68,105.45,104.29,105.04
5237,2020-08-25,105.83,107.35,103.58,105.05
5236,2020-08-24,108.15,108.15,105.4,105.92
5235,2020-08-21,106.83,107.56,105.86,107.25
5234,2020-08-20,106.52,107.325,105.01,106.62
5233,2020-08-19,110.02,110.11,107.02,107.12
5232,2020-08-18,111.15,111.3,109.095,110.93
5231,2020-08-17,109.27,111.32,108.03,110.75
5230,2020-08-14,109.45,109.91,108.71,109.47
5229,2020-08-13,110.71,111.0,108.44,109.38
5228,2020-08-12,109.66,110.82,108.89,110.52
5227,2020-08-11,111.01,111.93,108.93,109.15
5226,2020-08-10,112.41,112.96,110.83,110.93
5225,2020-08-07,112.8,113.27,111.64,112.79
5224,2020-08-06,113.3,113.55,111.69,112.2
5223,2020-08-05,115.34,115.34,112.69,113.07
5222,2020-08-04,115.87,116.12,113.45,114.09
5221,2020-08-03,113.06,116.8,113.06,116.41
5220,2020-07-31,113.42,113.42,110.3,111.47
5219,2020-07-30,111.31,114.455,111.285,113.5
5218,2020-07-29,115.99,120.41,111.4,112.73
5217,2020-07-28,114.3,114.5896,112.93,113.16
5216,2020-07-27,112.68,115.03,112.0,114.68
5215,2020-07-24,113.43,115.505,111.18,112.26
5214,2020-07-23,113.96,116.71,113.66,114.47
5213,2020-07-22,113.43,114.41,112.21,113.53
5212,2020-07-21,115.28,115.91,113.17,113.27
5211,2020-07-20,117.99,118.54,113.99,115.34
5210,2020-07-17,116.63,117.94,116.0,117.2
5209,2020-07-16,120.57,120.57,115.85,115.96
5208,2020-07-15,121.29,121.51,119.29,121.13
5207,2020-07-14,116.83,118.43,115.47,118.37
5206,2020-07-13,118.0,119.39,115.92,115.95
5205,2020-07-10,117.37,117.65,116.12,117.44
5204,2020-07-09,117.62,118.52,115.92,116.92
5203,2020-07-08,118.58,119.7,116.94,117.78
5202,2020-07-07,118.32,120.53,118.32,118.6
5201,2020-07-06,121.07,121.07,118.33,119.04
5200,2020-07-02,121.4,122.34,120.02,120.33
5199,2020-07-01,121.6,122.53,120.0,121.0
5198,2020-06-30,120.09,121.44,118.6,121.0
5197,2020-06-29,119.78,121.92,116.56,119.96
5196,2020-06-26,123.82,123.9,118.8,119.76
5195,2020-06-25,123.0,127.79,121.98,124.18
5194,2020-06-24,120.26,122.45,119.0,121.28
5193,2020-06-23,119.63,121.05,119.55,120.8
5192,2020-06-22,117.48,119.375,114.59,118.87
5191,2020-06-19,116.37,118.36,115.75,118.36
5190,2020-06-18,116.87,117.46,115.07,115.65
5189,2020-06-17,115.51,118.72,115.41,117.74
5188,2020-06-16,115.25,116.73,113.14,114.05
5187,2020-06-15,113.38,114.83,112.91,113.73
5186,2020-06-12,117.94,118.565,113.4,115.42
5185,2020-06-11,120.2,120.6184,115.86,116.3
5184,2020-06-10,124.14,125.26,122.77,122.86
5183,2020-06-09,124.81,127.305,124.2,124.53
5182,2020-06-08,122.98,125.93,122.98,125.82
5181,2020-06-05,123.78,125.035,122.05,123.64
5180,2020-06-04,124.43,125.835,121.78,122.42
5179,2020-06-03,122.88,125.94,122.215,125.7
5178,2020-06-02,119.65,123.845,118.37,123.06
5177,2020-06-01,117.74,120.995,116.71,120.28
5176,2020-05-29,115.72,118.19,113.9,117.95
5175,2020-05-28,117.54,118.72,114.54,115.0
5174,2020-05-27,118.7,119.285,113.395,116.81
5173,2020-05-26,119.44,121.35,117.66,118.45
5172,2020-05-22,117.33,117.98,116.32,117.57
5171,2020-05-21,119.92,119.92,116.8,117.2
5170,2020-05-20,120.24,121.0,118.62,120.18
5169,2020-05-19,120.58,124.78,118.43,118.44
5168,2020-05-18,118.24,119.78,117.42,119.26
5167,2020-05-15,113.42,117.0,112.53,116.36
5166,2020-05-14,112.1,114.14,111.34,113.43
5165,2020-05-13,114.01,116.74,112.09,113.08
5164,2020-05-12,117.66,118.9,114.15,114.25
5163,2020-05-11,112.69,116.32,112.69,115.66
5162,2020-05-08,114.0,114.57,112.705,113.43
5161,2020-05-07,114.79,114.79,111.84,111.98
5160,2020-05-06,113.27,115.39,112.31,112.96
5159,2020-05-05,114.96,116.12,110.75,111.56
5158,2020-05-04,108.88,111.92,107.415,111.91
5157,2020-05-01,108.0,110.13,106.89,109.12
5156,2020-04-30,108.18,112.09,105.87,109.56
5155,2020-04-29,107.84,113.48,104.66,107.97
5154,2020-04-28,112.79,113.45,109.38,109.74
5153,2020-04-27,111.91,112.78,111.045,111.58
5152,2020-04-24,110.82,111.98,107.4007,111.21
5151,2020-04-23,108.92,110.97,106.6098,109.99
5150,2020-04-22,105.97,109.43,105.22,108.07
5149,2020-04-21,105.02,106.1,103.26,104.0
5148,2020-04-20,104.08,108.68,103.05,106.44
5147,2020-04-17,99.42,105.3,97.9574,104.62
5146,2020-04-16,98.69,98.69,94.26,97.27
5145,2020-04-15,97.05,98.93,95.075,97.41
5144,2020-04-14,99.0,99.98,97.85,99.01
5143,2020-04-13,95.56,98.61,95.21,98.25
5142,2020-04-09,97.11,98.0,95.19,95.87
5141,2020-04-08,95.48,97.15,94.09,96.59
5140,2020-04-07,97.31,98.1,93.48,95.06
5139,2020-04-06,94.39,96.36,93.29,95.76
5138,2020-04-03,92.63,94.97,91.86,92.74
5137,2020-04-02,92.65,93.9,91.17,93.53
5136,2020-04-01,93.35,96.48,89.89,93.9
5135,2020-03-31,96.42,96.68,92.16,94.825
5134,2020-03-30,92.83,97.25,90.68,97.07
5133,2020-03-27,88.86,93.415,88.54,91.32
5132,2020-03-26,91.29,94.95,89.5,92.02
5131,2020-03-25,87.95,94.165,86.0,90.54
5130,2020-03-24,87.91,89.98,84.705,88.04
5129,2020-03-23,82.81,84.63,79.19,83.95
5128,2020-03-20,83.72,86.86,81.67,83.14
5127,2020-03-19,79.15,84.87,77.7,83.62
5126,2020-03-18,75.91,82.29,75.58,79.39
5125,2020-03-17,81.32,82.66,76.85,80.56
5124,2020-03-16,83.69,86.775,78.56,79.43
5123,2020-03-13,90.21,92.06,83.47,91.91
5122,2020-03-12,88.19,91.64,84.89,86.14
5121,2020-03-11,98.38,99.44,92.12,93.99
5120,2020-03-10,94.93,100.99,92.61,100.49
5119,2020-03-09,93.67,94.97,90.88,91.29
5118,2020-03-06,99.99,101.17,96.11,98.26
5117,2020-03-05,100.9,103.91,100.53,101.22
5116,2020-03-04,102.5,103.38,99.53,103.25
5115,2020-03-03,103.43,105.33,99.41,100.21
5114,2020-03-02,103.15,104.13,99.5,103.83
5113,2020-02-28,98.04,103.22,97.2837,102.96
5112,2020-02-27,104.79,105.27,100.72,100.79
5111,2020-02-26,104.44,109.31,104.0,105.81
5110,2020-02-25,116.42,116.64,110.06,112.86
5109,2020-02-24,112.01,116.98,111.07,115.35
5108,2020-02-21,107.29,108.44,106.71,106.96
5107,2020-02-20,106.94,108.12,105.74,107.42
5106,2020-02-19,106.41,107.825,106.24,106.92
5105,2020-02-18,104.03,106.11,103.13,105.98
5104,2020-02-14,104.26,105.3,103.23,104.19
5103,2020-02-13,105.0,105.455,103.6515,103.99
5102,2020-02-12,101.89,105.93,101.7,104.46
5101,2020-02-11,100.21,101.65,99.06,101.15
5100,2020-02-10,100.84,100.84,98.51,100.02
5099,2020-02-07,101.44,101.57,99.56,100.52
5098,2020-02-06,102.08,102.505,100.54,101.44
5097,2020-02-05,97.21,103.41,97.21,101.47
5096,2020-02-04,95.25,96.85,95.25,96.65
5095,2020-02-03,94.17,96.585,90.02,95.56
5094,2020-01-31,99.04,99.48,97.02,97.67
5093,2020-01-30,95.47,100.09,94.825,96.35
5092,2020-01-29,93.29,97.43,92.605,96.42
5091,2020-01-28,90.56,93.8,89.3,93.2
5090,2020-01-27,88.42,90.91,88.19,90.05
5089,2020-01-24,91.08,91.35,88.5,89.33
5088,2020-01-23,92.49,92.9,90.24,90.87
5087,2020-01-22,91.95,92.6,91.0,92.44
5086,2020-01-21,92.86,93.4,91.735,91.88
5085,2020-01-17,94.48,94.75,92.5,93.13
5084,2020-01-16,93.21,95.24,92.56,94.13
5083,2020-01-15,91.27,93.5,91.27,92.44
5082,2020-01-14,86.51,92.0,86.46,91.79
5081,2020-01-13,85.82,86.46,83.76,86.2
5080,2020-01-10,87.45,87.9,85.4,85.67
5079,2020-01-09,87.75,87.96,86.4,87.57
5078,2020-01-08,86.95,88.0,86.39,87.16
5077,2020-01-07,86.12,87.26,85.54,86.91
5076,2020-01-06,86.09,86.84,85.02,86.57
5075,2020-01-03,86.64,87.635,86.2,86.46
5074,2020-01-02,88.35,88.35,87.0,87.66
5073,2019-12-31,86.91,88.42,86.86,88.08
5072,2019-12-30,88.65,89.26,86.77,86.91
5071,2019-12-27,89.64,89.835,88.02,88.83
5070,2019-12-26,91.27,91.29,89.23,89.46
5069,2019-12-24,90.89,91.42,90.27,91.4
