,Date,Open,High,Low,Close
4276,2020-12-14,6.21,6.3,6.04,6.2
4275,2020-12-11,6.0,6.17,6.0,6.11
4274,2020-12-10,6.05,6.1,5.99,6.08
4273,2020-12-09,6.3,6.33,6.0,6.05
4272,2020-12-08,6.23,6.35,6.09,6.25
4271,2020-12-07,6.22,6.47,6.15,6.3
4270,2020-12-04,6.09,6.25,6.04,6.22
4269,2020-12-03,6.09,6.17,6.05,6.09
4268,2020-12-02,6.34,6.34,6.06,6.1
4267,2020-12-01,6.69,6.805,6.35,6.39
4266,2020-11-30,6.28,6.6,6.19,6.56
4265,2020-11-27,6.33,6.43,6.31,6.34
4264,2020-11-25,6.37,6.51,6.17,6.33
4263,2020-11-24,6.22,6.5,6.0,6.36
4262,2020-11-23,6.15,6.21,6.0537,6.13
4261,2020-11-20,5.75,6.19,5.75,6.11
4260,2020-11-19,5.77,6.0499,5.67,5.83
4259,2020-11-18,5.72,5.965,5.72,5.77
4258,2020-11-17,5.62,5.84,5.58,5.74
4257,2020-11-16,5.77,5.95,5.6,5.63
4256,2020-11-13,5.57,5.83,5.51,5.72
4255,2020-11-12,5.68,5.71,5.48,5.55
4254,2020-11-11,5.99,5.99,5.64,5.75
4253,2020-11-10,5.75,6.05,5.61,5.91
4252,2020-11-09,5.18,5.84,5.18,5.69
4251,2020-11-06,4.95,4.96,4.78,4.82
4250,2020-11-05,4.83,5.0,4.8,4.94
4249,2020-11-04,4.6,4.86,4.6,4.8
4248,2020-11-03,4.66,4.785,4.61,4.67
4247,2020-11-02,4.53,4.73,4.47,4.6
4246,2020-10-30,4.86,4.87,4.54,4.59
4245,2020-10-29,4.83,4.98,4.69,4.9
4244,2020-10-28,5.04,5.05,4.84,4.87
4243,2020-10-27,5.26,5.265,5.055,5.08
4242,2020-10-26,5.15,5.29,5.15,5.25
4241,2020-10-23,5.33,5.4,5.2,5.22
4240,2020-10-22,5.44,5.55,5.22,5.31
4239,2020-10-21,5.41,5.62,5.38,5.41
4238,2020-10-20,5.03,5.47,5.03,5.41
4237,2020-10-19,5.12,5.12,4.85,4.98
4236,2020-10-16,5.12,5.24,5.03,5.11
4235,2020-10-15,5.17,5.18,5.03,5.13
4234,2020-10-14,5.3,5.36,5.23,5.25
4233,2020-10-13,5.29,5.35,5.235,5.28
4232,2020-10-12,5.35,5.4,5.13,5.33
4231,2020-10-09,5.6,5.72,5.35,5.37
4230,2020-10-08,5.62,5.73,5.49,5.59
4229,2020-10-07,5.41,5.62,5.41,5.53
4228,2020-10-06,5.24,5.6,5.22,5.42
4227,2020-10-05,5.09,5.23,5.08,5.21
4226,2020-10-02,4.97,5.12,4.87,5.04
4225,2020-10-01,5.15,5.19,4.91,5.1
4224,2020-09-30,5.05,5.4,5.0,5.08
4223,2020-09-29,5.39,5.45,5.02,5.03
4222,2020-09-28,5.25,5.59,5.25,5.41
4221,2020-09-25,5.59,5.62,5.24,5.27
4220,2020-09-24,5.97,6.0127,5.8,5.87
4219,2020-09-23,6.08,6.16,5.93,5.96
4218,2020-09-22,6.47,6.47,6.06,6.14
4217,2020-09-21,6.52,6.55,6.31,6.42
4216,2020-09-18,6.73,6.73,6.5,6.65
4215,2020-09-17,6.78,6.78,6.52,6.64
4214,2020-09-16,6.64,6.7,6.54,6.61
4213,2020-09-15,6.71,6.7545,6.5,6.6
4212,2020-09-14,6.79,6.91,6.58,6.68
4211,2020-09-11,7.04,7.115,6.64,6.77
4210,2020-09-10,6.85,7.05,6.82,7.0
4209,2020-09-09,6.67,6.97,6.64,6.81
4208,2020-09-08,6.51,6.66,6.35,6.61
4207,2020-09-04,6.87,6.9,6.52,6.58
4206,2020-09-03,6.9,7.05,6.73,6.78
4205,2020-09-02,7.11,7.19,6.9,6.92
4204,2020-09-01,6.96,7.19,6.96,7.14
4203,2020-08-31,7.17,7.2,7.0,7.05
4202,2020-08-28,7.26,7.28,7.21,7.22
4201,2020-08-27,7.26,7.36,7.15,7.19
4200,2020-08-26,7.19,7.28,7.19,7.22
4199,2020-08-25,7.3,7.32,7.196,7.21
4198,2020-08-24,7.37,7.37,7.19,7.24
4197,2020-08-21,7.47,7.48,7.24,7.37
4196,2020-08-20,7.44,7.65,7.405,7.52
4195,2020-08-19,7.75,7.75,7.45,7.54
4194,2020-08-18,8.05,8.06,7.72,7.73
4193,2020-08-17,8.16,8.225,7.9806,8.09
4192,2020-08-14,8.08,8.19,7.9701,8.15
4191,2020-08-13,8.12,8.23,8.0101,8.14
4190,2020-08-12,8.02,8.23,7.97,8.12
4189,2020-08-11,7.84,8.19,7.84,8.05
4188,2020-08-10,8.04,8.28,7.73,7.82
4187,2020-08-07,6.71,8.12,6.6535,8.06
