,Date,Open,High,Low,Close
5314,2020-12-14,174.66,175.05,174.0206,174.13
5313,2020-12-11,174.84,174.9,174.5,174.58
5312,2020-12-10,174.75,175.22,174.47,174.88
5311,2020-12-09,174.61,174.69,174.43,174.64
5310,2020-12-08,174.39,174.69,174.36,174.61
5309,2020-12-07,174.39,174.68,174.17,174.68
5308,2020-12-04,174.36,174.68,174.27,174.66
5307,2020-12-03,174.25,174.48,174.21,174.41
5306,2020-12-02,174.25,174.45,174.25,174.26
5305,2020-12-01,174.09,174.5,174.02,174.19
5304,2020-11-30,174.13,174.22,173.77,173.98
5303,2020-11-27,174.12,174.17,173.9,173.9
5302,2020-11-25,174.1,174.23,174.06,174.11
5301,2020-11-24,174.25,174.27,174.0,174.12
5300,2020-11-23,173.66,173.67,173.46,173.5
5299,2020-11-20,173.65,173.655,173.33,173.51
5298,2020-11-19,173.4,173.72,173.4,173.68
5297,2020-11-18,173.62,173.69,173.18,173.26
5296,2020-11-17,173.75,173.75,173.51,173.62
5295,2020-11-16,173.98,173.98,173.55,173.7
5294,2020-11-13,173.51,173.86,173.485,173.84
5293,2020-11-12,173.55,173.67,173.42,173.5
5292,2020-11-11,173.31,173.67,173.3,173.43
5291,2020-11-10,173.26,173.55,173.17,173.3
5290,2020-11-09,174.31,174.6,172.93,172.98
5289,2020-11-06,173.5,173.9,173.33,173.72
5288,2020-11-05,173.5,174.04,173.38,173.38
5287,2020-11-04,173.05,173.73,172.87,173.38
5286,2020-11-03,172.8,172.98,172.53,172.87
5285,2020-11-02,172.78,173.11,172.43,172.54
5284,2020-10-30,172.35,172.8,172.18,172.8
5283,2020-10-29,172.5,172.85,172.12,172.28
5282,2020-10-28,172.58,172.98,172.15,172.41
5281,2020-10-27,172.36,173.08,172.3,172.96
5280,2020-10-26,172.49,173.08,172.26,172.46
5279,2020-10-23,173.29,173.5,172.35,172.56
5278,2020-10-22,172.0,172.1,171.52,171.73
5277,2020-10-21,171.93,172.07,171.72,171.86
5276,2020-10-20,171.8,172.11,171.67,171.8
5275,2020-10-19,172.05,172.06,171.5,171.51
5274,2020-10-16,172.2,172.32,171.95,171.96
5273,2020-10-15,171.92,172.16,171.74,172.0
5272,2020-10-14,172.19,172.24,171.91,172.0
5271,2020-10-13,171.97,172.09,171.83,172.03
5270,2020-10-12,171.67,172.0,171.67,171.88
5269,2020-10-09,171.98,171.98,171.76,171.9
5268,2020-10-08,171.99,172.025,171.63,171.83
5267,2020-10-07,171.91,172.01,171.86,171.95
5266,2020-10-06,171.95,172.06,171.5,171.68
5265,2020-10-05,172.29,172.29,171.75,171.84
5264,2020-10-02,171.21,172.1,171.21,171.93
5263,2020-10-01,172.0,172.65,170.95,171.63
5262,2020-09-30,172.13,172.21,171.9,172.0
5261,2020-09-29,172.25,172.25,171.75,172.0
5260,2020-09-28,172.18,172.24,171.77,171.95
5259,2020-09-25,171.9,172.16,171.82,171.99
5258,2020-09-24,171.86,172.4995,171.79,171.86
5257,2020-09-23,172.42,172.8,171.75,171.81
5256,2020-09-22,172.51,172.71,172.24,172.5
5255,2020-09-21,172.69,172.99,172.01,172.74
5254,2020-09-18,173.2,173.63,172.62,172.86
5253,2020-09-17,173.02,173.54,172.71,173.5
5252,2020-09-16,173.4,173.54,173.25,173.28
5251,2020-09-15,173.35,173.57,173.17,173.17
5250,2020-09-14,173.48,173.65,173.15,173.15
5249,2020-09-11,173.07,173.54,173.04,173.33
5248,2020-09-10,173.34,173.6,172.89,172.96
5247,2020-09-09,173.57,173.63,173.09,173.2
5246,2020-09-08,173.95,174.18,173.28,173.31
5245,2020-09-04,174.51,174.63,173.5001,173.85
5244,2020-09-03,174.5,174.9,173.89,174.38
5243,2020-09-02,173.69,174.97,173.6,174.66
5242,2020-09-01,173.25,173.85,173.25,173.8
5241,2020-08-31,173.11,173.99,173.0,173.67
