,Date,Open,High,Low,Close
5314,2020-12-14,20.21,20.21,20.07,20.14
5313,2020-12-11,20.94,21.24,20.85,20.95
5312,2020-12-10,21.0,21.0,20.86,20.9
5311,2020-12-09,20.83,20.9855,20.825,20.96
5310,2020-12-08,20.74,20.91,20.71,20.83
5309,2020-12-07,20.84,20.91,20.74,20.74
5308,2020-12-04,20.8,20.92,20.75,20.86
5307,2020-12-03,20.82,20.93,20.82,20.87
5306,2020-12-02,20.69,20.97,20.69,20.91
5305,2020-12-01,20.65,20.86,20.539,20.74
5304,2020-11-30,20.52,20.65,20.52,20.65
5303,2020-11-27,20.49,20.61,20.41,20.59
5302,2020-11-25,20.61,20.63,20.43,20.43
5301,2020-11-24,20.58,20.63,20.44,20.55
5300,2020-11-23,20.64,20.64,20.44,20.5
5299,2020-11-20,20.37,20.47,20.33,20.47
5298,2020-11-19,20.4,20.4,20.33,20.34
5297,2020-11-18,20.24,20.36,20.24,20.35
5296,2020-11-17,19.98,20.3,19.98,20.27
5295,2020-11-16,19.97,20.12,19.95,20.09
5294,2020-11-13,19.88,19.97,19.825,19.97
5293,2020-11-12,19.76,19.8899,19.76,19.85
5292,2020-11-11,19.73,19.92,19.73,19.87
5291,2020-11-10,19.84,19.85,19.75,19.76
5290,2020-11-09,20.0,20.045,19.75,19.79
5289,2020-11-06,19.9,19.9399,19.83,19.85
5288,2020-11-05,19.91,19.99,19.86,19.91
5287,2020-11-04,19.92,19.94,19.85,19.87
5286,2020-11-03,19.79,19.88,19.75,19.76
5285,2020-11-02,19.84,19.87,19.8039,19.81
5284,2020-10-30,19.98,19.98,19.75,19.76
5283,2020-10-29,19.95,19.96,19.85,19.95
5282,2020-10-28,19.87,19.92,19.81,19.81
5281,2020-10-27,19.92,19.92,19.83,19.84
5280,2020-10-26,19.99,19.99,19.909,19.92
5279,2020-10-23,19.95,19.97,19.8,19.96
5278,2020-10-22,19.85,19.87,19.85,19.87
5277,2020-10-21,19.79,19.849,19.79,19.83
5276,2020-10-20,19.71,19.85,19.6885,19.85
5275,2020-10-19,19.82,19.82,19.66,19.71
5274,2020-10-16,19.91,19.91,19.76,19.76
5273,2020-10-15,19.9,19.96,19.7421,19.77
5272,2020-10-14,20.0,20.0,19.84,19.91
5271,2020-10-13,20.07,20.1901,19.88,20.03
5270,2020-10-12,20.1,20.2315,19.99,19.99
5269,2020-10-09,20.06,20.37,19.87,20.08
5268,2020-10-08,19.98,20.0,19.9,19.9
5267,2020-10-07,20.08,20.08,19.92,19.92
