,Date,Open,High,Low,Close
1989,2020-12-14,29.35,30.16,29.28,29.5
1988,2020-12-11,28.8,29.32,28.36,29.15
1987,2020-12-10,27.87,29.51,27.77,28.93
1986,2020-12-09,28.05,28.665,27.0543,28.1
1985,2020-12-08,26.66,27.87,26.66,27.78
1984,2020-12-07,28.41,28.41,26.57,27.13
1983,2020-12-04,24.32,29.0,23.9801,28.49
1982,2020-12-03,23.97,24.15,23.319,24.03
1981,2020-12-02,23.28,24.565,22.935,23.92
1980,2020-12-01,22.68,23.44,22.548,23.37
1979,2020-11-30,23.7,24.02,21.93,22.25
1978,2020-11-27,24.44,24.55,23.53,23.88
1977,2020-11-25,24.58,25.0,24.22,24.61
1976,2020-11-24,24.51,26.1099,24.5,24.85
1975,2020-11-23,23.76,24.39,23.74,24.3
1974,2020-11-20,22.65,23.7,22.65,23.56
1973,2020-11-19,22.46,23.01,21.7601,22.91
1972,2020-11-18,23.06,23.68,22.53,22.58
1971,2020-11-17,22.79,23.32,22.79,23.17
1970,2020-11-16,22.75,23.26,22.46,23.09
1969,2020-11-13,22.36,22.605,21.68,22.47
1968,2020-11-12,22.57,22.9,21.66,22.0
1967,2020-11-11,22.96,23.0,22.17,22.75
1966,2020-11-10,23.0,23.22,22.36,22.77
1965,2020-11-09,23.5,24.0,22.89,22.94
1964,2020-11-06,23.69,23.75,22.0,22.55
1963,2020-11-05,21.2,23.89,21.2,23.54
1962,2020-11-04,21.18,21.64,20.745,21.07
1961,2020-11-03,22.09,22.26,21.24,21.82
1960,2020-11-02,20.83,21.93,20.44,21.64
1959,2020-10-30,21.02,21.02,20.3,20.78
1958,2020-10-29,20.27,21.13,19.84,21.13
1957,2020-10-28,20.1,21.03,19.49,20.38
1956,2020-10-27,20.94,21.63,20.11,20.55
1955,2020-10-26,22.6,22.75,20.82,21.0
1954,2020-10-23,23.11,23.7,22.46,22.84
1953,2020-10-22,22.35,23.22,22.34,23.19
1952,2020-10-21,23.4,23.65,22.285,22.4
1951,2020-10-20,23.28,23.6,23.13,23.38
1950,2020-10-19,23.22,23.7,22.78,22.93
1949,2020-10-16,23.49,23.92,22.9,22.96
1948,2020-10-15,23.47,23.785,22.9932,23.68
1947,2020-10-14,24.36,24.41,23.79,23.93
1946,2020-10-13,24.16,24.54,23.75,24.05
1945,2020-10-12,24.26,24.545,23.56,24.18
1944,2020-10-09,24.17,24.345,23.49,24.1
1943,2020-10-08,24.32,24.35,23.78,24.01
1942,2020-10-07,23.93,24.13,23.62,23.92
1941,2020-10-06,24.05,24.4,23.575,23.63
1940,2020-10-05,24.22,24.735,23.86,24.04
1939,2020-10-02,21.65,24.065,21.64,23.97
1938,2020-10-01,21.43,21.91,21.14,21.81
1937,2020-09-30,21.11,22.03,20.99,21.25
1936,2020-09-29,20.73,21.015,20.23,20.93
1935,2020-09-28,20.4,21.02,20.05,20.84
1934,2020-09-25,19.98,20.64,19.59,20.14
1933,2020-09-24,20.32,20.62,19.555,20.23
1932,2020-09-23,21.36,21.66,20.29,20.39
1931,2020-09-22,22.51,22.915,21.075,21.43
1930,2020-09-21,22.5,22.94,21.28,22.52
1929,2020-09-18,24.0,24.07,22.9,23.2
1928,2020-09-17,24.57,25.24,23.93,23.98
1927,2020-09-16,24.48,24.99,23.78,24.54
1926,2020-09-15,24.16,24.735,23.82,24.14
1925,2020-09-14,24.0,24.24,23.45,23.98
1924,2020-09-11,23.74,24.045,23.08,23.93
1923,2020-09-10,22.07,24.04,21.97,23.94
1922,2020-09-09,21.25,22.84,20.935,22.37
1921,2020-09-08,19.99,21.77,19.4,20.93
1920,2020-09-04,20.02,20.25,19.08,19.37
1919,2020-09-03,19.74,20.6399,19.43,19.91
1918,2020-09-02,20.1,20.1,19.27,19.66
1917,2020-09-01,18.77,20.08,18.4,19.79
1916,2020-08-31,20.52,20.52,18.55,18.91
1915,2020-08-28,21.31,21.33,20.08,20.7
1914,2020-08-27,20.93,21.67,20.8551,21.29
1913,2020-08-26,23.97,24.73,20.44,20.96
1912,2020-08-25,24.73,25.4,23.97,24.05
1911,2020-08-24,21.5,24.5,21.45,24.39
1910,2020-08-21,21.5,22.0799,21.0,21.15
1909,2020-08-20,19.6,21.82,19.6,21.75
1908,2020-08-19,19.46,20.5538,19.395,19.5
1907,2020-08-18,19.25,19.725,19.15,19.41
1906,2020-08-17,19.65,19.65,18.93,19.41
1905,2020-08-14,18.27,19.49,18.09,19.44
1904,2020-08-13,18.11,18.64,18.11,18.32
1903,2020-08-12,17.98,18.71,17.93,18.42
1902,2020-08-11,18.78,18.945,17.48,17.67
1901,2020-08-10,17.47,18.71,17.32,18.48
1900,2020-08-07,16.08,19.18,16.08,17.65
1899,2020-08-06,16.61,16.71,16.11,16.52
1898,2020-08-05,16.29,16.815,15.935,16.64
1897,2020-08-04,16.33,16.35,15.72,16.14
1896,2020-08-03,16.11,16.565,15.735,16.24
1895,2020-07-31,16.2,16.2,15.64,16.01
1894,2020-07-30,15.92,16.47,15.83,16.47
1893,2020-07-29,16.01,16.41,15.93,16.36
1892,2020-07-28,16.27,16.56,15.98,16.14
1891,2020-07-27,16.05,16.55,15.93,16.43
1890,2020-07-24,16.1419,16.5,16.045,16.21
1889,2020-07-23,16.12,16.8402,16.12,16.49
1888,2020-07-22,16.54,16.55,15.81,16.3
1887,2020-07-21,15.28,16.61,15.17,16.53
1886,2020-07-20,15.18,15.6,15.01,15.31
1885,2020-07-17,15.34,15.52,14.9,15.18
1884,2020-07-16,15.56,15.74,15.16,15.38
1883,2020-07-15,14.95,15.56,14.53,15.45
1882,2020-07-14,13.43,14.46,13.37,14.42
1881,2020-07-13,13.51,13.62,12.76,13.39
1880,2020-07-10,12.95,13.43,12.92,13.24
1879,2020-07-09,13.85,13.85,12.93,13.06
1878,2020-07-08,13.66,14.04,13.4,13.78
1877,2020-07-07,14.0,14.26,13.57,13.85
1876,2020-07-06,13.96,14.17,13.85,14.03
1875,2020-07-02,13.4,13.97,13.31,13.61
1874,2020-07-01,14.0,14.23,13.31,13.4
1873,2020-06-30,14.0,14.86,13.75,13.93
1872,2020-06-29,13.85,14.25,13.62,13.96
1871,2020-06-26,14.25,14.25,13.3,13.53
1870,2020-06-25,14.13,14.35,13.84,14.13
1869,2020-06-24,14.71,14.71,13.81,13.96
1868,2020-06-23,15.25,16.27,14.43,14.85
1867,2020-06-22,14.5,14.9,13.47,14.87
1866,2020-06-19,15.03,15.5,13.77,14.59
1865,2020-06-18,15.33,16.01,15.08,15.2
1864,2020-06-17,16.13,17.05,15.27,15.76
1863,2020-06-16,16.8,17.33,15.45,16.05
1862,2020-06-15,14.93,16.81,14.93,16.2
1861,2020-06-12,16.32,17.87,14.75,16.02
1860,2020-06-11,5.74,5.838,5.08,5.16
1859,2020-06-10,6.3,6.5,6.11,6.14
1858,2020-06-09,5.86,6.2399,5.86,6.16
1857,2020-06-08,6.15,6.1555,5.88,6.03
1856,2020-06-05,6.15,6.22,5.74,5.88
1855,2020-06-04,5.39,5.84,5.25,5.75
1854,2020-06-03,5.11,5.475,5.03,5.4
1853,2020-06-02,5.0,5.1,4.93,5.04
1852,2020-06-01,4.96,5.12,4.86,4.91
1851,2020-05-29,5.02,5.175,4.83,5.01
1850,2020-05-28,5.5,5.5,5.11,5.12
1849,2020-05-27,5.61,5.61,5.27,5.35
1848,2020-05-26,5.51,5.73,5.29,5.41
1847,2020-05-22,5.29,5.29,4.97,5.27
1846,2020-05-21,5.33,5.41,5.19,5.21
1845,2020-05-20,4.83,5.28,4.83,5.24
1844,2020-05-19,4.92,4.98,4.65,4.83
1843,2020-05-18,5.13,5.33,4.97,5.0
1842,2020-05-15,4.95,4.95,4.78,4.88
1841,2020-05-14,4.31,4.89,4.2,4.85
1840,2020-05-13,4.6,4.61,4.24,4.5
1839,2020-05-12,4.96,5.0016,4.59,4.61
1838,2020-05-11,4.75,4.88,4.645,4.81
1837,2020-05-08,4.6,5.01,4.47,4.97
1836,2020-05-07,4.33,4.68,4.3085,4.45
1835,2020-05-06,4.72,4.81,4.22,4.25
1834,2020-05-05,4.85,5.105,4.65,4.71
1833,2020-05-04,4.58,4.74,4.3716,4.61
1832,2020-05-01,4.89,5.0093,4.56,4.75
1831,2020-04-30,5.24,5.3,5.01,5.12
1830,2020-04-29,5.04,5.4,4.92,5.35
1829,2020-04-28,4.75,4.94,4.58,4.83
1828,2020-04-27,4.28,4.7,4.18,4.67
1827,2020-04-24,4.24,4.38,4.04,4.31
1826,2020-04-23,3.98,4.36,3.89,4.16
1825,2020-04-22,3.71,4.07,3.6,3.97
1824,2020-04-21,3.73,3.83,3.56,3.62
1823,2020-04-20,3.75,4.15,3.62,3.81
1822,2020-04-17,3.79,3.93,3.69,3.7
1821,2020-04-16,3.79,3.85,3.5,3.77
1820,2020-04-15,3.9,3.93,3.67,3.72
1819,2020-04-14,4.19,4.29,3.86,3.94
1818,2020-04-13,4.37,4.51,4.0,4.19
1817,2020-04-09,4.91,5.23,4.15,4.37
