,Date,Open,High,Low,Close
1129,2020-12-14,25.51,25.77,25.51,25.675
1128,2020-12-11,26.149,26.18,25.87,25.98
1127,2020-12-10,26.05,26.18,26.0,26.05
1126,2020-12-09,25.8854,26.14,25.8854,26.13
1125,2020-12-08,25.94,25.95,25.8508,25.9
1124,2020-12-07,25.81,26.01,25.81,25.85
1123,2020-12-04,25.86,25.9439,25.775,25.8323
1122,2020-12-03,25.91,25.91,25.81,25.81
1121,2020-12-02,25.95,25.995,25.91,25.91
1120,2020-12-01,25.96,26.1,25.9,25.98
1119,2020-11-30,26.05,26.1,25.867,26.08
1118,2020-11-27,25.9928,25.9928,25.86,25.99
1117,2020-11-25,25.79,26.05,25.79,26.05
1116,2020-11-24,25.9,26.0,25.9,26.0
1115,2020-11-23,25.9009,26.0,25.8503,26.0
1114,2020-11-20,25.81,26.04,25.8,25.97
1113,2020-11-19,25.88,26.0395,25.76,25.93
1112,2020-11-18,26.05,26.05,25.79,25.79
1111,2020-11-17,26.0,26.01,25.83,26.0
1110,2020-11-16,25.82,26.09,25.78,26.09
1109,2020-11-13,25.67,25.8573,25.65,25.75
1108,2020-11-12,25.9083,25.9083,25.66,25.67
1107,2020-11-11,25.875,25.875,25.75,25.75
1106,2020-11-10,25.76,25.92,25.67,25.78
1105,2020-11-09,25.85,25.94,25.659,25.87
1104,2020-11-06,25.68,25.73,25.61,25.63
1103,2020-11-05,26.0,26.16,25.64,25.64
1102,2020-11-04,25.74,25.88,25.74,25.86
1101,2020-11-03,25.6,25.9,25.55,25.59
1100,2020-11-02,25.62,25.7553,25.57,25.62
1099,2020-10-30,25.45,25.65,25.45,25.61
1098,2020-10-29,25.5079,25.58,25.5,25.55
1097,2020-10-28,25.68,25.68,25.49,25.5
1096,2020-10-27,25.6478,25.6925,25.59,25.68
1095,2020-10-26,25.55,25.68,25.54,25.67
1094,2020-10-23,25.65,25.7775,25.53,25.67
1093,2020-10-22,25.62,25.72,25.4,25.59
1092,2020-10-21,25.62,25.92,25.6069,25.6069
1091,2020-10-20,25.5979,25.86,25.5979,25.86
1090,2020-10-19,25.7087,25.8,25.5222,25.525
1089,2020-10-16,25.96,25.96,25.71,25.73
1088,2020-10-15,25.99,25.99,25.98,25.98
1087,2020-10-14,25.8738,25.9261,25.8738,25.9261
1086,2020-10-13,25.98,25.98,25.82,25.8364
1085,2020-10-12,26.11,26.11,25.96,26.0
1084,2020-10-09,25.992,26.11,25.955,26.11
1083,2020-10-08,26.0569,26.0569,25.952,26.0
1082,2020-10-07,26.0,26.1,25.82,25.99
1081,2020-10-06,26.15,26.26,25.96,26.03
1080,2020-10-05,25.975,26.1074,25.97,25.97
1079,2020-10-02,25.7,26.05,25.7,26.005
1078,2020-10-01,26.14,26.14,25.7,26.03
1077,2020-09-30,25.75,26.0,25.62,26.0
1076,2020-09-29,25.88,25.88,25.7,25.72
1075,2020-09-28,25.5264,25.925,25.5264,25.88
1074,2020-09-25,25.46,25.635,25.31,25.635
1073,2020-09-24,25.2,25.4,25.19,25.365
1072,2020-09-23,25.818,25.905,24.905,25.18
1071,2020-09-22,25.95,25.95,25.63,25.63
1070,2020-09-21,25.8,25.8,25.5,25.6303
1069,2020-09-18,25.795,25.89,25.7,25.89
1068,2020-09-17,25.8,25.93,25.75,25.93
1067,2020-09-16,25.8,25.84,25.7,25.84
1066,2020-09-15,25.5804,25.8273,25.5804,25.75
1065,2020-09-14,25.85,25.85,25.69,25.7722
1064,2020-09-11,26.14,26.14,25.85,26.0
1063,2020-09-10,26.05,26.05,25.7685,26.05
1062,2020-09-09,25.8,25.9,25.3149,25.9
1061,2020-09-08,25.7,25.7965,25.5,25.54
1060,2020-09-04,26.08,26.08,25.5,25.745
1059,2020-09-03,26.1,26.1,25.8454,25.8454
1058,2020-09-02,26.0,26.08,25.945,26.08
1057,2020-09-01,26.0,26.0,25.8583,25.98
1056,2020-08-31,26.05,26.05,25.77,25.99
1055,2020-08-28,26.1,26.1,25.78,25.84
1054,2020-08-27,26.1,26.1,25.8002,26.0
1053,2020-08-26,26.1,26.1,26.0,26.01
1052,2020-08-25,25.9,26.0,25.8,26.0
1051,2020-08-24,26.0,26.0,25.71,25.7637
1050,2020-08-21,25.91,26.02,25.9,26.02
1049,2020-08-20,25.91,26.05,25.91,25.91
1048,2020-08-19,25.955,25.99,25.91,25.91
1047,2020-08-18,26.04,26.11,25.95,25.95
1046,2020-08-17,26.0,26.04,25.94,26.04
