,Date,Open,High,Low,Close
5007,2020-12-14,65.32,65.45,63.2,63.24
5006,2020-12-11,63.67,64.435,63.09,64.25
5005,2020-12-10,64.3,65.53,63.68,64.03
5004,2020-12-09,65.24,65.64,64.55,65.02
5003,2020-12-08,65.29,66.535,64.775,64.95
5002,2020-12-07,64.46,66.5,64.46,65.72
5001,2020-12-04,64.0,64.615,63.58,64.2
5000,2020-12-03,61.52,64.19,61.52,63.19
4999,2020-12-02,62.64,63.81,62.37,62.48
4998,2020-12-01,64.08,64.51,63.27,63.49
4997,2020-11-30,64.95,64.96,62.96,62.98
4996,2020-11-27,65.25,65.26,64.01,64.54
4995,2020-11-25,64.88,65.575,64.45,65.26
4994,2020-11-24,64.98,65.95,64.56,65.47
4993,2020-11-23,65.07,65.8,63.41,63.68
4992,2020-11-20,64.93,65.05,63.68,64.51
4991,2020-11-19,63.44,65.36,62.37,65.2
4990,2020-11-18,65.96,66.88,63.77,63.83
4989,2020-11-17,65.38,66.66,64.27,65.95
4988,2020-11-16,67.65,68.24,65.375,66.42
4987,2020-11-13,62.81,65.93,62.81,65.57
4986,2020-11-12,65.31,65.98,62.7,63.58
4985,2020-11-11,67.54,67.54,64.845,65.52
4984,2020-11-10,67.13,69.365,65.86,67.84
4983,2020-11-09,60.95,72.24,60.635,66.66
4982,2020-11-06,57.38,57.9899,54.83,55.5
4981,2020-11-05,57.5,57.7,56.19,56.85
4980,2020-11-04,58.78,58.78,56.92,56.99
4979,2020-11-03,57.64,59.53,57.0,59.01
4978,2020-11-02,54.1,56.8,53.48,56.74
4977,2020-10-30,54.25,54.68,52.57,53.77
4976,2020-10-29,52.28,55.52,51.66,54.63
4975,2020-10-28,53.01,53.68,52.12,52.26
4974,2020-10-27,55.72,56.04,53.97,54.03
4973,2020-10-26,55.58,55.79,54.69,55.7
4972,2020-10-23,55.67,56.55,55.325,56.26
4971,2020-10-22,53.58,55.49,53.42,55.25
4970,2020-10-21,53.71,54.42,53.09,53.71
4969,2020-10-20,53.49,54.31,53.18,54.09
4968,2020-10-19,54.74,54.74,52.4815,52.58
4967,2020-10-16,54.02,55.36,53.34,54.28
4966,2020-10-15,53.34,55.52,53.24,55.05
4965,2020-10-14,54.31,54.7,53.62,53.87
4964,2020-10-13,55.23,55.38,53.48,54.26
4963,2020-10-12,56.44,56.44,55.26,55.87
4962,2020-10-09,57.66,57.66,55.83,56.31
4961,2020-10-08,56.61,57.5,56.26,57.22
4960,2020-10-07,56.99,57.23,55.63,56.1
4959,2020-10-06,57.87,57.95,56.27,56.66
4958,2020-10-05,58.2,58.57,56.57,57.47
4957,2020-10-02,55.4,58.19,54.91,57.94
