,Date,Open,High,Low,Close
5314,2020-12-14,44.5,44.825,44.2,44.61
5313,2020-12-11,44.57,44.99,44.06,44.25
5312,2020-12-10,43.4,44.53,43.2,44.44
5311,2020-12-09,44.07,45.09,43.6,43.82
5310,2020-12-08,44.13,44.38,43.33,43.77
5309,2020-12-07,44.5,45.24,43.84,44.3
5308,2020-12-04,44.51,45.07,44.04,44.97
5307,2020-12-03,44.3,44.47,43.55,44.12
5306,2020-12-02,44.48,45.325,44.21,44.48
5305,2020-12-01,43.51,44.89,43.12,44.86
5304,2020-11-30,41.64,43.43,41.52,43.04
5303,2020-11-27,42.12,42.85,41.58,41.8
5302,2020-11-25,42.2,43.09,41.65,41.97
5301,2020-11-24,41.56,42.135,41.3,42.03
5300,2020-11-23,41.33,41.78,40.78,41.3
5299,2020-11-20,42.07,42.35,40.81,40.97
5298,2020-11-19,41.24,42.74,41.0,41.95
5297,2020-11-18,42.2,42.41,41.43,41.47
5296,2020-11-17,41.94,42.68,41.85,42.23
5295,2020-11-16,41.73,42.74,41.325,42.26
5294,2020-11-13,40.49,41.1,40.24,40.88
5293,2020-11-12,40.87,41.23,40.02,40.3
5292,2020-11-11,40.73,41.75,40.63,41.11
5291,2020-11-10,40.53,40.75,39.15,40.53
5290,2020-11-09,41.5,42.96,40.18,40.23
5289,2020-11-06,37.7,39.41,37.4901,38.92
5288,2020-11-05,39.48,39.91,37.59,37.78
5287,2020-11-04,38.77,39.75,38.305,39.1
5286,2020-11-03,38.74,39.8,38.34,38.5
5285,2020-11-02,36.91,38.43,36.16,38.41
5284,2020-10-30,37.19,39.475,35.44,36.36
5283,2020-10-29,36.77,37.88,36.02,37.33
5282,2020-10-28,36.88,37.65,36.51,36.65
5281,2020-10-27,37.45,37.66,36.76,37.48
5280,2020-10-26,38.03,38.63,37.35,37.65
5279,2020-10-23,38.83,39.26,38.125,38.28
5278,2020-10-22,39.15,39.68,38.3,38.6
5277,2020-10-21,38.66,39.29,38.1075,38.99
5276,2020-10-20,39.04,39.43,38.62,38.71
5275,2020-10-19,40.09,40.27,38.49,38.65
5274,2020-10-16,40.95,41.74,39.77,39.78
5273,2020-10-15,41.34,41.65,40.51,40.96
5272,2020-10-14,40.48,41.87,40.48,41.65
5271,2020-10-13,40.0,40.745,39.43,40.57
5270,2020-10-12,40.42,40.81,39.97,40.08
5269,2020-10-09,39.96,40.335,39.51,40.16
5268,2020-10-08,40.33,40.54,39.55,39.85
5267,2020-10-07,39.94,40.44,39.38,40.08
5266,2020-10-06,39.76,40.9,39.47,39.76
5265,2020-10-05,40.43,40.48,38.945,39.22
5264,2020-10-02,39.89,40.5,39.34,40.16
5263,2020-10-01,40.84,41.22,39.97,40.37
5262,2020-09-30,40.64,41.09,40.11,40.47
5261,2020-09-29,39.95,40.15,39.44,40.03
5260,2020-09-28,39.8,40.36,39.21,39.87
5259,2020-09-25,38.83,39.47,38.5,39.15
5258,2020-09-24,38.11,39.39,37.9,38.82
5257,2020-09-23,38.99,39.07,37.88,38.35
5256,2020-09-22,39.41,39.94,38.775,39.21
5255,2020-09-21,40.15,40.525,38.25,39.36
5254,2020-09-18,40.72,41.07,40.06,40.16
5253,2020-09-17,40.49,41.015,39.95,40.73
5252,2020-09-16,41.23,41.795,40.99,41.08
5251,2020-09-15,41.41,41.81,40.69,41.15
5250,2020-09-14,42.12,42.26,40.54,41.12
5249,2020-09-11,42.0,42.435,40.77,41.4
5248,2020-09-10,42.38,43.61,42.38,42.46
5247,2020-09-09,42.98,43.09,41.82,42.26
5246,2020-09-08,42.36,43.77,42.08,42.72
5245,2020-09-04,42.74,43.35,41.04,43.08
5244,2020-09-03,44.14,45.49,42.12,42.52
5243,2020-09-02,43.54,44.69,43.54,44.36
5242,2020-09-01,44.0,44.29,43.32,43.53
5241,2020-08-31,44.49,44.78,44.03,44.07
5240,2020-08-28,45.18,45.35,44.82,44.92
5239,2020-08-27,45.73,46.25,45.02,45.14
5238,2020-08-26,44.29,46.04,44.16,45.46
5237,2020-08-25,44.71,45.5,44.165,44.5
5236,2020-08-24,42.97,45.04,42.72,44.98
5235,2020-08-21,43.85,44.17,42.38,42.73
5234,2020-08-20,44.44,44.44,43.77,44.03
5233,2020-08-19,44.7,45.62,44.52,44.68
5232,2020-08-18,44.81,45.1,44.19,44.77
5231,2020-08-17,45.49,45.49,44.09,44.89
5230,2020-08-14,45.72,46.105,45.23,45.37
5229,2020-08-13,45.48,46.27,45.41,45.83
5228,2020-08-12,45.8,46.54,45.0,45.51
